ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,LocalID,Paradigm_ID
nen-1sg_a-1,,nen,1sg_a,ynd,ynd,,,evans-2013,,,,,22147,3
nen-1sg_s-1,,nen,1sg_s,ynd,ynd,,,evans-2013,,,,,22148,3
nen-1sg_o-1,,nen,1sg_o,ynd,ynd,,,evans-2013,,,,,22149,3
nen-1sg_p-1,,nen,1sg_p,tande,tande,,,evans-2013,,,,,22150,3
nen-1du_a-1,,nen,1du_a,yndbem,yndbem,,,evans-2013,,,,,22151,3
nen-1du_s-1,,nen,1du_s,ynd,ynd,,,evans-2013,,,,,22152,3
nen-1du_o-1,,nen,1du_o,ynd,ynd,,,evans-2013,,,,,22153,3
nen-1du_p-1,,nen,1du_p,tbende,tbende,,,evans-2013,,,,,22154,3
nen-1pl_a-1,,nen,1pl_a,yndbem,yndbem,,,evans-2013,,,,,22155,3
nen-1pl_s-1,,nen,1pl_s,ynd,ynd,,,evans-2013,,,,,22156,3
nen-1pl_o-1,,nen,1pl_o,ynd,ynd,,,evans-2013,,,,,22157,3
nen-1pl_p-1,,nen,1pl_p,tbende,tbende,,,evans-2013,,,,,22158,3
nen-12du_a-1,,nen,12du_a,yndbem,yndbem,,,evans-2013,,,,,22159,3
nen-12du_s-1,,nen,12du_s,ynd,ynd,,,evans-2013,,,,,22160,3
nen-12du_o-1,,nen,12du_o,ynd,ynd,,,evans-2013,,,,,22161,3
nen-12du_p-1,,nen,12du_p,tbende,tbende,,,evans-2013,,,,,22162,3
nen-2sg_a-1,,nen,2sg_a,bm,bm,,,evans-2013,,,,,22163,3
nen-2sg_s-1,,nen,2sg_s,bm,bm,,,evans-2013,,,,,22164,3
nen-2sg_o-1,,nen,2sg_o,bm,bm,,,evans-2013,,,,,22165,3
nen-2sg_p-1,,nen,2sg_p,bende,bende,,,evans-2013,,,,,22166,3
nen-2du_a-1,,nen,2du_a,bmbem,bmbem,,,evans-2013,,,,,22167,3
nen-2du_s-1,,nen,2du_s,bm,bm,,,evans-2013,,,,,22168,3
nen-2du_o-1,,nen,2du_o,bm,bm,,,evans-2013,,,,,22169,3
nen-2du_p-1,,nen,2du_p,bbende,bbende,,,evans-2013,,,,,22170,3
nen-2pl_a-1,,nen,2pl_a,bmbem,bmbem,,,evans-2013,,,,,22171,3
nen-2pl_s-1,,nen,2pl_s,bm,bm,,,evans-2013,,,,,22172,3
nen-2pl_o-1,,nen,2pl_o,bm,bm,,,evans-2013,,,,,22173,3
nen-2pl_p-1,,nen,2pl_p,bbende,bbende,,,evans-2013,,,,,22174,3
nen-3sg_m_a-1,,nen,3sg_m_a,ymam,ymam,,,evans-2013,,,,,22175,3
nen-3sg_m_s-1,,nen,3sg_m_s,bä,bä,,,evans-2013,,,,,22176,3
nen-3sg_m_o-1,,nen,3sg_m_o,bä,bä,,,evans-2013,,,,,22177,3
nen-3sg_m_p-1,,nen,3sg_m_p,yande,yande,,,evans-2013,,,,,22178,3
nen-3sg_f_a-1,,nen,3sg_f_a,ymam,ymam,,,evans-2013,,,,,22179,3
nen-3sg_f_s-1,,nen,3sg_f_s,bä,bä,,,evans-2013,,,,,22180,3
nen-3sg_f_o-1,,nen,3sg_f_o,bä,bä,,,evans-2013,,,,,22181,3
nen-3sg_f_p-1,,nen,3sg_f_p,yande,yande,,,evans-2013,,,,,22182,3
nen-3sg_n_a-1,,nen,3sg_n_a,ymam,ymam,,,evans-2013,,,,,22183,3
nen-3sg_n_s-1,,nen,3sg_n_s,bä,bä,,,evans-2013,,,,,22184,3
nen-3sg_n_o-1,,nen,3sg_n_o,bä,bä,,,evans-2013,,,,,22185,3
nen-3sg_n_p-1,,nen,3sg_n_p,yande,yande,,,evans-2013,,,,,22186,3
nen-3du_m_a-1,,nen,3du_m_a,ymabem,ymabem,,,evans-2013,,,,,22187,3
nen-3du_m_s-1,,nen,3du_m_s,bä,bä,,,evans-2013,,,,,22188,3
nen-3du_m_o-1,,nen,3du_m_o,bä,bä,,,evans-2013,,,,,22189,3
nen-3du_m_p-1,,nen,3du_m_p,ybende,ybende,,,evans-2013,,,,,22190,3
nen-3du_f_a-1,,nen,3du_f_a,ymabem,ymabem,,,evans-2013,,,,,22191,3
nen-3du_f_s-1,,nen,3du_f_s,bä,bä,,,evans-2013,,,,,22192,3
nen-3du_f_o-1,,nen,3du_f_o,bä,bä,,,evans-2013,,,,,22193,3
nen-3du_f_p-1,,nen,3du_f_p,ybende,ybende,,,evans-2013,,,,,22194,3
nen-3du_n_a-1,,nen,3du_n_a,ymabem,ymabem,,,evans-2013,,,,,22195,3
nen-3du_n_s-1,,nen,3du_n_s,bä,bä,,,evans-2013,,,,,22196,3
nen-3du_n_o-1,,nen,3du_n_o,bä,bä,,,evans-2013,,,,,22197,3
nen-3du_n_p-1,,nen,3du_n_p,ybende,ybende,,,evans-2013,,,,,22198,3
nen-3pl_m_a-1,,nen,3pl_m_a,ymabem,ymabem,,,evans-2013,,,,,22199,3
nen-3pl_m_s-1,,nen,3pl_m_s,bä,bä,,,evans-2013,,,,,22200,3
nen-3pl_m_o-1,,nen,3pl_m_o,bä,bä,,,evans-2013,,,,,22201,3
nen-3pl_m_p-1,,nen,3pl_m_p,ybende,ybende,,,evans-2013,,,,,22202,3
nen-3pl_f_a-1,,nen,3pl_f_a,ymabem,ymabem,,,evans-2013,,,,,22203,3
nen-3pl_f_s-1,,nen,3pl_f_s,bä,bä,,,evans-2013,,,,,22204,3
nen-3pl_f_o-1,,nen,3pl_f_o,bä,bä,,,evans-2013,,,,,22205,3
nen-3pl_f_p-1,,nen,3pl_f_p,ybende,ybende,,,evans-2013,,,,,22206,3
nen-3pl_n_a-1,,nen,3pl_n_a,ymabem,ymabem,,,evans-2013,,,,,22207,3
nen-3pl_n_s-1,,nen,3pl_n_s,bä,bä,,,evans-2013,,,,,22208,3
nen-3pl_n_o-1,,nen,3pl_n_o,bä,bä,,,evans-2013,,,,,22209,3
nen-3pl_n_p-1,,nen,3pl_n_p,ybende,ybende,,,evans-2013,,,,,22210,3
kayardild-1sg_a-1,,kayardild,1sg_a,ŋada,ŋada,,,evans-1995,,,,,22211,4
kayardild-1sg_s-1,,kayardild,1sg_s,ŋada,ŋada,,,evans-1995,,,,,22212,4
kayardild-1sg_o-1,,kayardild,1sg_o,ŋijinji,ŋijinji,,,evans-1995,,,,,22213,4
kayardild-1sg_p-1,,kayardild,1sg_p,ŋijinda,ŋijinda,,,evans-1995,,,,,22214,4
kayardild-1du_a-1,,kayardild,1du_a,ŋara,ŋara,,,evans-1995,,,,,22215,4
kayardild-1du_s-1,,kayardild,1du_s,ŋara,ŋara,,,evans-1995,,,,,22216,4
kayardild-1du_o-1,,kayardild,1du_o,ŋarwanji,ŋarwanji,,,evans-1995,,,,,22217,4
kayardild-1du_p-1,,kayardild,1du_p,ŋarwanda,ŋarwanda,,,evans-1995,,,,,22218,4
kayardild-1pl_a-1,,kayardild,1pl_a,ŋalda,ŋalda,,,evans-1995,,,,,22219,4
kayardild-1pl_s-1,,kayardild,1pl_s,ŋalda,ŋalda,,,evans-1995,,,,,22220,4
kayardild-1pl_o-1,,kayardild,1pl_o,ŋalwanji,ŋalwanji,,,evans-1995,,,,,22221,4
kayardild-1pl_p-1,,kayardild,1pl_p,ŋalwanda,ŋalwanda,,,evans-1995,,,,,22222,4
kayardild-12du_a-1,,kayardild,12du_a,ŋakurra,ŋakurra,,,evans-1995,,,,,22223,4
kayardild-12du_s-1,,kayardild,12du_s,ŋakurra,ŋakurra,,,evans-1995,,,,,22224,4
kayardild-12du_o-1,,kayardild,12du_o,ŋakurwanji,ŋakurwanji,,,evans-1995,,,,,22225,4
kayardild-12du_o-2,,kayardild,12du_o,ŋakinji,ŋakinji,,,evans-1995,,,,,22226,4
kayardild-12du_p-1,,kayardild,12du_p,ŋakurwanda,ŋakurwanda,,,evans-1995,,,,,22227,4
kayardild-12du_p-2,,kayardild,12du_p,ŋakinda,ŋakinda,,,evans-1995,,,,,22228,4
kayardild-12pl_a-1,,kayardild,12pl_a,ŋakulda,ŋakulda,,,evans-1995,,,,,22229,4
kayardild-12pl_s-1,,kayardild,12pl_s,ŋakulda,ŋakulda,,,evans-1995,,,,,22230,4
kayardild-12pl_o-1,,kayardild,12pl_o,ŋakulwanji,ŋakulwanji,,,evans-1995,,,,,22231,4
kayardild-12pl_p-1,,kayardild,12pl_p,ŋakulwanda,ŋakulwanda,,,evans-1995,,,,,22232,4
kayardild-2sg_a-1,,kayardild,2sg_a,ñiŋka,ñiŋka,,,evans-1995,,,,,22233,4
kayardild-2sg_s-1,,kayardild,2sg_s,ñiŋka,ñiŋka,,,evans-1995,,,,,22234,4
kayardild-2sg_o-1,,kayardild,2sg_o,ŋumbanji,ŋumbanji,,,evans-1995,,,,,22235,4
kayardild-2sg_p-1,,kayardild,2sg_p,ŋumbanda,ŋumbanda,,,evans-1995,,,,,22236,4
kayardild-2du_a-1,,kayardild,2du_a,kirra,kirra,,,evans-1995,,,,,22237,4
kayardild-2du_s-1,,kayardild,2du_s,kira,kira,,,evans-1995,,,,,22238,4
kayardild-2du_o-1,,kayardild,2du_o,kirwanji,kirwanji,,,evans-1995,,,,,22239,4
kayardild-2du_p-1,,kayardild,2du_p,kirwanda,kirwanda,,,evans-1995,,,,,22240,4
kayardild-2pl_a-1,,kayardild,2pl_a,kilda,kilda,,,evans-1995,,,,,22241,4
kayardild-2pl_s-1,,kayardild,2pl_s,kilda,kilda,,,evans-1995,,,,,22242,4
kayardild-2pl_o-1,,kayardild,2pl_o,kilwanji,kilwanji,,,evans-1995,,,,,22243,4
kayardild-2pl_p-1,,kayardild,2pl_p,kilwanda,kilwanda,,,evans-1995,,,,,22244,4
kayardild-3sg_m_a-1,,kayardild,3sg_m_a,niya,niya,,,evans-1995,,,,,22245,4
kayardild-3sg_m_s-1,,kayardild,3sg_m_s,niya,niya,,,evans-1995,,,,,22246,4
kayardild-3sg_m_o-1,,kayardild,3sg_m_o,niwanji,niwanji,,,evans-1995,,,,,22247,4
kayardild-3sg_m_p-1,,kayardild,3sg_m_p,niwanda,niwanda,,,evans-1995,,,,,22248,4
kayardild-3sg_f_a-1,,kayardild,3sg_f_a,niya,niya,,,evans-1995,,,,,22249,4
kayardild-3sg_f_s-1,,kayardild,3sg_f_s,niya,niya,,,evans-1995,,,,,22250,4
kayardild-3sg_f_o-1,,kayardild,3sg_f_o,niwanji,niwanji,,,evans-1995,,,,,22251,4
kayardild-3sg_f_p-1,,kayardild,3sg_f_p,niwanda,niwanda,,,evans-1995,,,,,22252,4
kayardild-3sg_n_a-1,,kayardild,3sg_n_a,niya,niya,,,evans-1995,,,,,22253,4
kayardild-3sg_n_s-1,,kayardild,3sg_n_s,niya,niya,,,evans-1995,,,,,22254,4
kayardild-3sg_n_o-1,,kayardild,3sg_n_o,niwanji,niwanji,,,evans-1995,,,,,22255,4
kayardild-3sg_n_p-1,,kayardild,3sg_n_p,niwanda,niwanda,,,evans-1995,,,,,22256,4
kayardild-3du_m_a-1,,kayardild,3du_m_a,bira,bira,,,evans-1995,,,,,22257,4
kayardild-3du_m_s-1,,kayardild,3du_m_s,bira,bira,,,evans-1995,,,,,22258,4
kayardild-3du_m_o-1,,kayardild,3du_m_o,birwanji,birwanji,,,evans-1995,,,,,22259,4
kayardild-3du_m_p-1,,kayardild,3du_m_p,birwanda,birwanda,,,evans-1995,,,,,22260,4
kayardild-3du_f_a-1,,kayardild,3du_f_a,bira,bira,,,evans-1995,,,,,22261,4
kayardild-3du_f_s-1,,kayardild,3du_f_s,bira,bira,,,evans-1995,,,,,22262,4
kayardild-3du_f_o-1,,kayardild,3du_f_o,birwanji,birwanji,,,evans-1995,,,,,22263,4
kayardild-3du_f_p-1,,kayardild,3du_f_p,birwanda,birwanda,,,evans-1995,,,,,22264,4
kayardild-3du_n_a-1,,kayardild,3du_n_a,bira,bira,,,evans-1995,,,,,22265,4
kayardild-3du_n_s-1,,kayardild,3du_n_s,bira,bira,,,evans-1995,,,,,22266,4
kayardild-3du_n_o-1,,kayardild,3du_n_o,birwanji,birwanji,,,evans-1995,,,,,22267,4
kayardild-3du_n_p-1,,kayardild,3du_n_p,birwanda,birwanda,,,evans-1995,,,,,22268,4
kayardild-3pl_m_a-1,,kayardild,3pl_m_a,bilda,bilda,,,evans-1995,,,,,22269,4
kayardild-3pl_m_s-1,,kayardild,3pl_m_s,bilda,bilda,,,evans-1995,,,,,22270,4
kayardild-3pl_m_o-1,,kayardild,3pl_m_o,bilwanji,bilwanji,,,evans-1995,,,,,22271,4
kayardild-3pl_m_p-1,,kayardild,3pl_m_p,bilwanda,bilwanda,,,evans-1995,,,,,22272,4
kayardild-3pl_f_a-1,,kayardild,3pl_f_a,bilda,bilda,,,evans-1995,,,,,22273,4
kayardild-3pl_f_s-1,,kayardild,3pl_f_s,bilda,bilda,,,evans-1995,,,,,22274,4
kayardild-3pl_f_o-1,,kayardild,3pl_f_o,bilwanji,bilwanji,,,evans-1995,,,,,22275,4
kayardild-3pl_f_p-1,,kayardild,3pl_f_p,bilwanda,bilwanda,,,evans-1995,,,,,22276,4
kayardild-3pl_n_a-1,,kayardild,3pl_n_a,bilda,bilda,,,evans-1995,,,,,22277,4
kayardild-3pl_n_s-1,,kayardild,3pl_n_s,bilda,bilda,,,evans-1995,,,,,22278,4
kayardild-3pl_n_o-1,,kayardild,3pl_n_o,bilwanji,bilwanji,,,evans-1995,,,,,22279,4
kayardild-3pl_n_p-1,,kayardild,3pl_n_p,bilwanda,bilwanda,,,evans-1995,,,,,22280,4
nen-12pl_a-1,,nen,12pl_a,yndbem,yndbem,,,evans-2013,,,,,22281,3
nen-12pl_s-1,,nen,12pl_s,ynd,ynd,,,evans-2013,,,,,22282,3
nen-12pl_o-1,,nen,12pl_o,ynd,ynd,,,evans-2013,,,,,22283,3
nen-12pl_p-1,,nen,12pl_p,tbende,tbende,,,evans-2013,,,,,22284,3
nambu-1sg_a-1,,nambu,1sg_a,yndo,yndo,,,evans-2013,,,,,22285,5
nambu-1sg_s-1,,nambu,1sg_s,ynd,ynd,,,evans-2013,,,,,22286,5
nambu-1sg_o-1,,nambu,1sg_o,ynd,ynd,,,evans-2013,,,,,22287,5
nambu-1sg_p-1,,nambu,1sg_p,tane,tane,,,evans-2013,,,,,22288,5
nambu-1du_a-1,,nambu,1du_a,yndbem,yndbem,,,evans-2013,,,,,22289,5
nambu-1du_s-1,,nambu,1du_s,ynd,ynd,,,evans-2013,,,,,22290,5
nambu-1du_o-1,,nambu,1du_o,ynd,ynd,,,evans-2013,,,,,22291,5
nambu-1du_p-1,,nambu,1du_p,tbene,tbene,,,evans-2013,,,,,22292,5
nambu-1pl_a-1,,nambu,1pl_a,yndbem,yndbem,,,evans-2013,,,,,22293,5
nambu-1pl_s-1,,nambu,1pl_s,ynd,ynd,,,evans-2013,,,,,22294,5
nambu-1pl_o-1,,nambu,1pl_o,ynd,ynd,,,evans-2013,,,,,22295,5
nambu-1pl_p-1,,nambu,1pl_p,tbene,tbene,,,evans-2013,,,,,22296,5
nambu-12du_a-1,,nambu,12du_a,yndbem,yndbem,,,evans-2013,,,,,22297,5
nambu-12du_s-1,,nambu,12du_s,ynd,ynd,,,evans-2013,,,,,22298,5
nambu-12du_o-1,,nambu,12du_o,ynd,ynd,,,evans-2013,,,,,22299,5
nambu-12du_p-1,,nambu,12du_p,tbene,tbene,,,evans-2013,,,,,22300,5
nambu-12pl_a-1,,nambu,12pl_a,yndbem,yndbem,,,evans-2013,,,,,22301,5
nambu-12pl_s-1,,nambu,12pl_s,ynd,ynd,,,evans-2013,,,,,22302,5
nambu-12pl_o-1,,nambu,12pl_o,ynd,ynd,,,evans-2013,,,,,22303,5
nambu-12pl_p-1,,nambu,12pl_p,tbene,tbene,,,evans-2013,,,,,22304,5
nambu-2sg_a-1,,nambu,2sg_a,bmo,bmo,,,evans-2013,,,,,22305,5
nambu-2sg_s-1,,nambu,2sg_s,bm,bm,,,evans-2013,,,,,22306,5
nambu-2sg_o-1,,nambu,2sg_o,bm,bm,,,evans-2013,,,,,22307,5
nambu-2sg_p-1,,nambu,2sg_p,bene,bene,,,evans-2013,,,,,22308,5
nambu-2du_a-1,,nambu,2du_a,bmovem,bmovem,,,evans-2013,,,,,22309,5
nambu-2du_s-1,,nambu,2du_s,bm,bm,,,evans-2013,,,,,22310,5
nambu-2du_o-1,,nambu,2du_o,bm,bm,,,evans-2013,,,,,22311,5
nambu-2du_p-1,,nambu,2du_p,bbene,bbene,,,evans-2013,,,,,22312,5
nambu-2pl_a-1,,nambu,2pl_a,bmovem,bmovem,,,evans-2013,,,,,22313,5
nambu-2pl_s-1,,nambu,2pl_s,bm,bm,,,evans-2013,,,,,22314,5
nambu-2pl_o-1,,nambu,2pl_o,bm,bm,,,evans-2013,,,,,22315,5
nambu-2pl_p-1,,nambu,2pl_p,bbene,bbene,,,evans-2013,,,,,22316,5
nambu-3sg_m_a-1,,nambu,3sg_m_a,ymo,ymo,,,evans-2013,,,,,22317,5
nambu-3sg_m_s-1,,nambu,3sg_m_s,bä,bä,,,evans-2013,,,,,22318,5
nambu-3sg_m_o-1,,nambu,3sg_m_o,bä,bä,,,evans-2013,,,,,22319,5
nambu-3sg_m_p-1,,nambu,3sg_m_p,yäne,yäne,,,evans-2013,,,,,22320,5
nambu-3sg_f_a-1,,nambu,3sg_f_a,ymo,ymo,,,evans-2013,,,,,22321,5
nambu-3sg_f_s-1,,nambu,3sg_f_s,bä,bä,,,evans-2013,,,,,22322,5
nambu-3sg_f_o-1,,nambu,3sg_f_o,bä,bä,,,evans-2013,,,,,22323,5
nambu-3sg_f_p-1,,nambu,3sg_f_p,yäne,yäne,,,evans-2013,,,,,22324,5
nambu-3sg_n_a-1,,nambu,3sg_n_a,ymo,ymo,,,evans-2013,,,,,22325,5
nambu-3sg_n_s-1,,nambu,3sg_n_s,bä,bä,,,evans-2013,,,,,22326,5
nambu-3sg_n_o-1,,nambu,3sg_n_o,bä,bä,,,evans-2013,,,,,22327,5
nambu-3sg_n_p-1,,nambu,3sg_n_p,yäne,yäne,,,evans-2013,,,,,22328,5
nambu-3du_m_a-1,,nambu,3du_m_a,ymovem,ymovem,,,evans-2013,,,,,22329,5
nambu-3du_m_s-1,,nambu,3du_m_s,bä,bä,,,evans-2013,,,,,22330,5
nambu-3du_m_o-1,,nambu,3du_m_o,bä,bä,,,evans-2013,,,,,22331,5
nambu-3du_m_p-1,,nambu,3du_m_p,ybene,ybene,,,evans-2013,,,,,22332,5
nambu-3du_f_a-1,,nambu,3du_f_a,ymovem,ymovem,,,evans-2013,,,,,22333,5
nambu-3du_f_s-1,,nambu,3du_f_s,bä,bä,,,evans-2013,,,,,22334,5
nambu-3du_f_o-1,,nambu,3du_f_o,bä,bä,,,evans-2013,,,,,22335,5
nambu-3du_f_p-1,,nambu,3du_f_p,ybene,ybene,,,evans-2013,,,,,22336,5
nambu-3du_n_a-1,,nambu,3du_n_a,ymovem,ymovem,,,evans-2013,,,,,22337,5
nambu-3du_n_s-1,,nambu,3du_n_s,bä,bä,,,evans-2013,,,,,22338,5
nambu-3du_n_o-1,,nambu,3du_n_o,bä,bä,,,evans-2013,,,,,22339,5
nambu-3du_n_p-1,,nambu,3du_n_p,ybene,ybene,,,evans-2013,,,,,22340,5
nambu-3pl_m_a-1,,nambu,3pl_m_a,ymovem,ymovem,,,evans-2013,,,,,22341,5
nambu-3pl_m_s-1,,nambu,3pl_m_s,bä,bä,,,evans-2013,,,,,22342,5
nambu-3pl_m_o-1,,nambu,3pl_m_o,bä,bä,,,evans-2013,,,,,22343,5
nambu-3pl_m_p-1,,nambu,3pl_m_p,ybene,ybene,,,evans-2013,,,,,22344,5
nambu-3pl_f_a-1,,nambu,3pl_f_a,ymovem,ymovem,,,evans-2013,,,,,22345,5
nambu-3pl_f_s-1,,nambu,3pl_f_s,bä,bä,,,evans-2013,,,,,22346,5
nambu-3pl_f_o-1,,nambu,3pl_f_o,bä,bä,,,evans-2013,,,,,22347,5
nambu-3pl_f_p-1,,nambu,3pl_f_p,ybene,ybene,,,evans-2013,,,,,22348,5
