word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ɨne;;1sg_a;1st (excl) Person Singular;48910;;;;amha1245;appleyard-2013
ɨne;;1sg_s;1st (excl) Person Singular;48909;;;;amha1245;appleyard-2013
ɨnen ;;1sg_o;1st (excl) Person Singular;48908;;;;amha1245;appleyard-2013
jəne;;1sg_p;1st (excl) Person Singular;48907;;;;amha1245;appleyard-2013
ɨɲɲa ;;1du_a;1st (excl) Person Dual;48906;;;;amha1245;appleyard-2013
ɨɲɲa ;;1du_s;1st (excl) Person Dual;48905;;;;amha1245;appleyard-2013
ɨɲɲan;;1du_o;1st (excl) Person Dual;48904;;;;amha1245;appleyard-2013
jəɲɲa ;;1du_p;1st (excl) Person Dual;48903;;;;amha1245;appleyard-2013
ɨɲɲa ;;1pl_a;1st (excl) Person Plural;48902;;;;amha1245;appleyard-2013
ɨɲɲa ;;1pl_s;1st (excl) Person Plural;48901;;;;amha1245;appleyard-2013
ɨɲɲan;;1pl_o;1st (excl) Person Plural;48900;;;;amha1245;appleyard-2013
jəɲɲa ;;1pl_p;1st (excl) Person Plural;48899;;;;amha1245;appleyard-2013
ɨɲɲa ;;12du_a;1st (incl) Person Dual;48898;;;;amha1245;appleyard-2013
ɨɲɲa ;;12du_s;1st (incl) Person Dual;48897;;;;amha1245;appleyard-2013
ɨɲɲan;;12du_o;1st (incl) Person Dual;48896;;;;amha1245;appleyard-2013
jəɲɲa ;;12du_p;1st (incl) Person Dual;48895;;;;amha1245;appleyard-2013
ɨɲɲa ;;12pl_a;1st (incl) Person Plural;48894;;;;amha1245;appleyard-2013
ɨɲɲa ;;12pl_s;1st (incl) Person Plural;48893;;;;amha1245;appleyard-2013
ɨɲɲan;;12pl_o;1st (incl) Person Plural;48892;;;;amha1245;appleyard-2013
jəɲɲa ;;12pl_p;1st (incl) Person Plural;48891;;;;amha1245;appleyard-2013
antɨ;;2sg_a;2nd Person Singular;48890;;/antɨ/ is in fact the second person masculine form, the second person feminine form is /ant͡ʃi/ (Appleyard 2013:26).;;amha1245;appleyard-2013
antɨ;;2sg_s;2nd Person Singular;48889;;/antɨ/ is in fact the second person masculine form, the second person feminine form is /ant͡ʃi/ (Appleyard 2013:26).;;amha1245;appleyard-2013
antɨn;;2sg_o;2nd Person Singular;48888;;/antɨn/ is in fact the second person masculine form, the second person feminine form is /ant͡ʃin/ (Appleyard 2013:26).;;amha1245;appleyard-2013
jantɨ;;2sg_p;2nd Person Singular;48887;;/jantɨ/ is in fact the second person masculine form, the second person feminine form is /jant͡ʃi/ (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨnnantɨ;;2du_a;2nd Person Dual;48886;;;;amha1245;appleyard-2013
ɨnnantɨ ;;2du_s;2nd Person Dual;48885;;;;amha1245;appleyard-2013
ɨnnantɨn;;2du_o;2nd Person Dual;48884;;;;amha1245;appleyard-2013
jənnantɨ ;;2du_p;2nd Person Dual;48883;;;;amha1245;appleyard-2013
ɨnnantɨ ;;2pl_a;2nd Person Plural;48882;;;;amha1245;appleyard-2013
ɨnnantɨ ;;2pl_s;2nd Person Plural;48881;;;;amha1245;appleyard-2013
ɨnnantɨn;;2pl_o;2nd Person Plural;48880;;;;amha1245;appleyard-2013
jənnantɨ ;;2pl_p;2nd Person Plural;48879;;;;amha1245;appleyard-2013
ɨssu;;3sg_m_a;3rd Person Singular Masculine;48878;;The form /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨssu;;3sg_m_s;3rd Person Singular Masculine;48877;; /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨssun;;3sg_m_o;3rd Person Singular Masculine;48876;;;;amha1245;appleyard-2013
jəssu;;3sg_m_p;3rd Person Singular Masculine;48875;;;;amha1245;appleyard-2013
ɨsswa;;3sg_n_a;3rd Person Singular Neuter;48874;;The form /ɨrswa/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨsswa;;3sg_n_s;3rd Person Singular Neuter;48873;;The form /ɨrswa/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨsswan;;3sg_n_o;3rd Person Singular Neuter;48872;;;;amha1245;appleyard-2013
jəsswa;;3sg_n_p;3rd Person Singular Neuter;48871;;;;amha1245;appleyard-2013
ɨnnɨssu;;3d-a;3rd Person Dual;48870;;The form /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨnnɨssu;;3d-s;3rd Person Dual;48869;;The form /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨnnɨssun;;3d-o;3rd Person Dual;48868;;;;amha1245;appleyard-2013
jənnɨssu;;3d-p;3rd Person Dual;48867;;;;amha1245;appleyard-2013
ɨnnɨssu;;3p-a;3rd Person Plural;48866;;The form /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨnnɨssu;;3p-s;3rd Person Plural;48865;;The form /ɨrsu/ is also listed (Appleyard 2013:26).;;amha1245;appleyard-2013
ɨnnɨssun;;3p-o;3rd Person Plural;48864;;;;amha1245;appleyard-2013
jənnɨssu;;3p-p;3rd Person Plural;48863;;;;amha1245;appleyard-2013
