word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
jé,,1sg_a,1st (excl) Person Singular,45062,,,,arbo1245,hayward-1984
jé,,1sg_s,1st (excl) Person Singular,45061,,,,arbo1245,hayward-1984
jé,,1sg_o,1st (excl) Person Singular,45060,,,,arbo1245,hayward-1984
háwa,,1sg_p,1st (excl) Person Singular,45059,,,,arbo1245,hayward-1984
ʔonó,,1du_a,1st (excl) Person Dual,45058,,,,arbo1245,hayward-1984
ʔonó,,1du_s,1st (excl) Person Dual,45057,,,,arbo1245,hayward-1984
ʔonó,,1du_o,1st (excl) Person Dual,45056,,,,arbo1245,hayward-1984
toɦáwa,,1du_p,1st (excl) Person Dual,45055,,,,arbo1245,hayward-1984
ʔonó,,1pl_a,1st (excl) Person Plural,45054,,,,arbo1245,hayward-1984
ʔonó,,1pl_s,1st (excl) Person Plural,45053,,,,arbo1245,hayward-1984
ʔonó,,1pl_o,1st (excl) Person Plural,45052,,,,arbo1245,hayward-1984
toɦáwa,,1pl_p,1st (excl) Person Plural,45051,,,,arbo1245,hayward-1984
ʔonó,,12du_a,1st (incl) Person Dual,45050,,,,arbo1245,hayward-1984
ʔonó,,12du_s,1st (incl) Person Dual,45049,,,,arbo1245,hayward-1984
ʔonó,,12du_o,1st (incl) Person Dual,45048,,,,arbo1245,hayward-1984
toɦáwa,,12du_p,1st (incl) Person Dual,45047,,,,arbo1245,hayward-1984
ʔonó,,12pl_a,1st (incl) Person Plural,45046,,,,arbo1245,hayward-1984
ʔonó,,12pl_s,1st (incl) Person Plural,45045,,,,arbo1245,hayward-1984
ʔonó,,12pl_o,1st (incl) Person Plural,45044,,,,arbo1245,hayward-1984
toɦáwa,,12pl_p,1st (incl) Person Plural,45043,,,,arbo1245,hayward-1984
ké,,2sg_a,2nd Person Singular,45042,,,,arbo1245,hayward-1984
ké,,2sg_s,2nd Person Singular,45041,,,,arbo1245,hayward-1984
ké,,2sg_o,2nd Person Singular,45040,,,,arbo1245,hayward-1984
háako,,2sg_p,2nd Person Singular,45039,,,,arbo1245,hayward-1984
ʔín,,2du_a,2nd Person Dual,45038,,,,arbo1245,hayward-1984
ʔín,,2du_s,2nd Person Dual,45037,,,,arbo1245,hayward-1984
ʔín,,2du_o,2nd Person Dual,45036,,,,arbo1245,hayward-1984
toɦáko,,2du_p,2nd Person Dual,45035,,,,arbo1245,hayward-1984
ʔín,,2pl_a,2nd Person Plural,45034,,,,arbo1245,hayward-1984
ʔín,,2pl_s,2nd Person Plural,45033,,,,arbo1245,hayward-1984
ʔín,,2pl_o,2nd Person Plural,45032,,,,arbo1245,hayward-1984
toɦáko,,2pl_p,2nd Person Plural,45031,,,,arbo1245,hayward-1984
ʔúsu,,3sg_m_a,3rd Person Singular Masculine,45030,,,,arbo1245,hayward-1984
ʔúsu,,3sg_m_s,3rd Person Singular Masculine,45029,,,,arbo1245,hayward-1984
ʔusú,,3sg_m_o,3rd Person Singular Masculine,45028,,,,arbo1245,hayward-1984
hasúta,,3sg_m_p,3rd Person Singular Masculine,45027,,,,arbo1245,hayward-1984
ʔése,,3sg_n_a,3rd Person Singular Neuter,45026,,,,arbo1245,hayward-1984
ʔése,,3sg_n_s,3rd Person Singular Neuter,45025,,,,arbo1245,hayward-1984
ʔesé,,3sg_n_o,3rd Person Singular Neuter,45024,,,,arbo1245,hayward-1984
haséta,,3sg_n_p,3rd Person Singular Neuter,45023,,,,arbo1245,hayward-1984
ʔóso,,3d-a,3rd Person Dual,45022,,,,arbo1245,hayward-1984
ʔóso,,3d-s,3rd Person Dual,45021,,,,arbo1245,hayward-1984
ʔosó,,3d-o,3rd Person Dual,45020,,,,arbo1245,hayward-1984
toɦásuta,,3d-p,3rd Person Dual,45019,,,,arbo1245,hayward-1984
ʔóso,,3p-a,3rd Person Plural,45018,,,,arbo1245,hayward-1984
ʔóso,,3p-s,3rd Person Plural,45017,,,,arbo1245,hayward-1984
ʔosó,,3p-o,3rd Person Plural,45016,,,,arbo1245,hayward-1984
toɦásuta,,3p-p,3rd Person Plural,45015,,,,arbo1245,hayward-1984
