word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ana,,1sg_a,1st singular transitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
ana,,1sg_s,1st singular intransitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
" -i, -ni",,1sg_o,1st singular transitive object,,,,,cypr1248,Borg1985
" -i, -ni",,1sg_p,1st singular possessive,,,,,cypr1248,Borg1985
naxni,,12du_a,1st dual inclusive transitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
naxni,,12du_s,1st dual inclusive intransitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
 -na,,12du_o,1st dual inclusive transitive object,,,,,cypr1248,Borg1985
 -na,,12du_p,1st dual inclusive possessive,,,,,cypr1248,Borg1985
naxni,,1du_a,1st dual exclusive transitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
naxni,,1du_s,1st dual exclusive intransitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
 -na,,1du_o,1st dual exclusive transitive object,,,,,cypr1248,Borg1985
 -na,,1du_p,1st dual exclusive possessive,,,,,cypr1248,Borg1985
naxni,,12pl_a,1st plural inclusive transitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
naxni,,12pl_s,1st plural inclusive intransitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
 -na,,12pl_o,1st plural inclusive transitive object,,,,,cypr1248,Borg1985
 -na,,12pl_p,1st plural inclusive possessive,,,,,cypr1248,Borg1985
naxni,,1pl_a,1st plural exclusive transitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
naxni,,1pl_s,1st plural exclusive intransitive subject,,,"/a/ represents low central vowel, otherwise inline with IPA",,cypr1248,Borg1985
 -na,,1pl_o,1st plural exclusive transitive object,,,,,cypr1248,Borg1985
 -na,,1pl_p,1st plural exclusive possessive,,,,,cypr1248,Borg1985
int,,2sg_a,2nd singular transitive subject,,,,,cypr1248,Borg1985
int,,2sg_s,2nd singular intransitive subject,,,,,cypr1248,Borg1985
" -ak, -k",,2sg_o,2nd singular transitive object,,,,,cypr1248,Borg1985
" -ak, -k",,2sg_p,2nd singular possessive,,,,,cypr1248,Borg1985
intu,,2du_a,2nd dual transitive subject,,,,,cypr1248,Borg1985
intu,,2du_s,2nd dual intransitive subject,,,,,cypr1248,Borg1985
 -kon,,2du_o,2nd dual transitive object,,,,,cypr1248,Borg1985
 -kon,,2du_p,2nd dual possessive,,,,,cypr1248,Borg1985
