word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
yáa,,1sg_a,1st (excl) Person Singular,51442,,,,daas1238,tosco-2001
yáa,,1sg_s,1st (excl) Person Singular,51441,,,,daas1238,tosco-2001
ye,,1sg_o,1st (excl) Person Singular,51440,,,,daas1238,tosco-2001
cú,,1sg_p,1st (excl) Person Singular,51439,,The form /cu/ is also listed (Tosco 2001:211).,,daas1238,tosco-2001
ɲaaɲi,,1du_a,1st (excl) Person Dual,51438,,,,daas1238,tosco-2001
ɲaaɲi,,1du_s,1st (excl) Person Dual,51437,,,,daas1238,tosco-2001
ɲí,,1du_o,1st (excl) Person Dual,51436,,,,daas1238,tosco-2001
kíɲɲu,,1du_p,1st (excl) Person Dual,51435,,,,daas1238,tosco-2001
ɲaaɲi,,1pl_a,1st (excl) Person Plural,51434,,,,daas1238,tosco-2001
ɲaaɲi,,1pl_s,1st (excl) Person Plural,51433,,,,daas1238,tosco-2001
ɲí,,1pl_o,1st (excl) Person Plural,51432,,,,daas1238,tosco-2001
kíɲɲu,,1pl_p,1st (excl) Person Plural,51431,,,,daas1238,tosco-2001
ké,,12du_a,1st (incl) Person Dual,51430,,"The form /ʰé/ may optionally precede this element (Tosco 2001:211). In addition, the free variant /kí/ is also listed (Tosco 2001:211).",,daas1238,tosco-2001
ké,,12du_s,1st (incl) Person Dual,51429,,"The form /ʰé/ may optionally precede this element (Tosco 2001:211). In addition, the free variant /kí/ is also listed (Tosco 2001:211).",,daas1238,tosco-2001
ɲí,,12du_o,1st (incl) Person Dual,51428,,,,daas1238,tosco-2001
kúnnu,,12du_p,1st (incl) Person Dual,51427,,,,daas1238,tosco-2001
ké,,12pl_a,1st (incl) Person Plural,51426,,"The form /ʰé/ may optionally precede this element (Tosco 2001:211). In addition, the free variant /kí/ is also listed (Tosco 2001:211).",,daas1238,tosco-2001
ké,,12pl_s,1st (incl) Person Plural,51425,,"The form /ʰé/ may optionally precede this element (Tosco 2001:211). In addition, the free variant /kí/ is also listed (Tosco 2001:211).",,daas1238,tosco-2001
ɲí,,12pl_o,1st (incl) Person Plural,51424,,,,daas1238,tosco-2001
kúnnu,,12pl_p,1st (incl) Person Plural,51423,,,,daas1238,tosco-2001
kúo,,2sg_a,2nd Person Singular,51422,,,,daas1238,tosco-2001
kúo,,2sg_s,2nd Person Singular,51421,,,,daas1238,tosco-2001
ko,,2sg_o,2nd Person Singular,51420,,,,daas1238,tosco-2001
kú,,2sg_p,2nd Person Singular,51419,,The form /ku/ is also listed (Tosco 2001:211).,,daas1238,tosco-2001
ʔití,,2du_a,2nd Person Dual,51418,,,,daas1238,tosco-2001
ʔití,,2du_s,2nd Person Dual,51417,,,,daas1238,tosco-2001
ʔitíni,,2du_o,2nd Person Dual,51416,,,,daas1238,tosco-2001
kíccu,,2du_p,2nd Person Dual,51415,,,,daas1238,tosco-2001
ʔití,,2pl_a,2nd Person Plural,51414,,,,daas1238,tosco-2001
ʔití,,2pl_s,2nd Person Plural,51413,,,,daas1238,tosco-2001
ʔitíni,,2pl_o,2nd Person Plural,51412,,,,daas1238,tosco-2001
kíccu,,2pl_p,2nd Person Plural,51411,,,,daas1238,tosco-2001
ʰé,,3sg_m_a,3rd Person Singular Masculine,51410,,,,daas1238,tosco-2001
ʰé,,3sg_m_s,3rd Person Singular Masculine,51409,,,,daas1238,tosco-2001
ʰí,,3sg_m_o,3rd Person Singular Masculine,51408,,,,daas1238,tosco-2001
=lé,,3sg_m_p,3rd Person Singular Masculine,51407,,"This enclitic also functions as an emphasis marker (Tosco 2001:247-8). In addition, note that the phonologically conditioned variant /=llé/ occurs when this element attaches to a word with a final vowel (Tosco 2001:247).",,daas1238,tosco-2001
ʰé,,3sg_n_a,3rd Person Singular Neuter,51406,,,,daas1238,tosco-2001
ʰé,,3sg_n_s,3rd Person Singular Neuter,51405,,,,daas1238,tosco-2001
ʰí,,3sg_n_o,3rd Person Singular Neuter,51404,,,,daas1238,tosco-2001
=lé,,3sg_n_p,3rd Person Singular Neuter,51403,,"This enclitic also functions as an emphasis marker (Tosco 2001:247-8). In addition, note that the phonologically conditioned variant /=llé/ occurs when this element attaches to a word with a final vowel (Tosco 2001:247).",,daas1238,tosco-2001
ʰé,,3d-a,3rd Person Dual,51402,,,,daas1238,tosco-2001
ʰé,,3d-s,3rd Person Dual,51401,,,,daas1238,tosco-2001
ʰí,,3d-o,3rd Person Dual,51400,,,,daas1238,tosco-2001
=lé,,3d-p,3rd Person Dual,51399,,"This enclitic also functions as an emphasis marker (Tosco 2001:247-8). In addition, note that the phonologically conditioned variant /=llé/ occurs when this element attaches to a word with a final vowel (Tosco 2001:247).",,daas1238,tosco-2001
ʰé,,3p-a,3rd Person Plural,51398,,,,daas1238,tosco-2001
ʰé,,3p-s,3rd Person Plural,51397,,,,daas1238,tosco-2001
ʰí,,3p-o,3rd Person Plural,51396,,,,daas1238,tosco-2001
=lé,,3p-p,3rd Person Plural,51395,,"This enclitic also functions as an emphasis marker (Tosco 2001:247-8). In addition, note that the phonologically conditioned variant /=llé/ occurs when this element attaches to a word with a final vowel (Tosco 2001:247).",,daas1238,tosco-2001
