word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ni,,1sg_a,1st (excl) Person Singular,45158,,The forms 'in' and 'na' are also listed (Newman 2000).,,haus1257,newman-2000
ni,,1sg_s,1st (excl) Person Singular,45157,,The forms 'in' and 'na' are also listed (Newman 2000).,,haus1257,newman-2000
ni,,1sg_o,1st (excl) Person Singular,45156,,,,haus1257,newman-2000
-nā,,1sg_p,1st (excl) Person Singular,45155,,,,haus1257,newman-2000
mu,,1du_a,1st (excl) Person Dual,45154,,,,haus1257,newman-2000
mu,,1du_s,1st (excl) Person Dual,45153,,,,haus1257,newman-2000
mu,,1du_o,1st (excl) Person Dual,45152,,,,haus1257,newman-2000
-nmù,,1du_p,1st (excl) Person Dual,45151,,,,haus1257,newman-2000
mu,,1pl_a,1st (excl) Person Plural,45150,,,,haus1257,newman-2000
mu,,1pl_s,1st (excl) Person Plural,45149,,,,haus1257,newman-2000
mu,,1pl_o,1st (excl) Person Plural,45148,,,,haus1257,newman-2000
-nmù,,1pl_p,1st (excl) Person Plural,45147,,,,haus1257,newman-2000
mu,,12du_a,1st (incl) Person Dual,45146,,,,haus1257,newman-2000
mu,,12du_s,1st (incl) Person Dual,45145,,,,haus1257,newman-2000
mu,,12du_o,1st (incl) Person Dual,45144,,,,haus1257,newman-2000
-nmù,,12du_p,1st (incl) Person Dual,45143,,,,haus1257,newman-2000
mu,,12pl_a,1st (incl) Person Plural,45142,,,,haus1257,newman-2000
mu,,12pl_s,1st (incl) Person Plural,45141,,,,haus1257,newman-2000
mu,,12pl_o,1st (incl) Person Plural,45140,,,,haus1257,newman-2000
-nmù,,12pl_p,1st (incl) Person Plural,45139,,,,haus1257,newman-2000
ka,,2sg_a,2nd Person Singular,45138,,"'ka' is in fact the 2SgM form, the 2SgF form is 'ki' (Newman 2000).",,haus1257,newman-2000
ka,,2sg_s,2nd Person Singular,45137,,"'ka' is in fact the 2SgM form, the 2SgF form is 'ki' (Newman 2000).",,haus1257,newman-2000
ka,,2sg_o,2nd Person Singular,45136,,"'ka' is in fact the 2SgM form, the 2SgF form is 'ki' (Newman 2000).",,haus1257,newman-2000
-nkà,,2sg_p,2nd Person Singular,45135,,"'-nkà' is in fact the 2SgM form, the 2SgF form is '-nkì' (Newman 2000).",,haus1257,newman-2000
ku,,2du_a,2nd Person Dual,45134,,,,haus1257,newman-2000
ku,,2du_s,2nd Person Dual,45133,,,,haus1257,newman-2000
ku,,2du_o,2nd Person Dual,45132,,,,haus1257,newman-2000
-nkù,,2du_p,2nd Person Dual,45131,,,,haus1257,newman-2000
ku,,2pl_a,2nd Person Plural,45130,,,,haus1257,newman-2000
ku,,2pl_s,2nd Person Plural,45129,,,,haus1257,newman-2000
ku,,2pl_o,2nd Person Plural,45128,,,,haus1257,newman-2000
-nkù,,2pl_p,2nd Person Plural,45127,,,,haus1257,newman-2000
ya,,3sg_m_a,3rd Person Singular Masculine,45126,,,,haus1257,newman-2000
ya,,3sg_m_s,3rd Person Singular Masculine,45125,,,,haus1257,newman-2000
shi,,3sg_m_o,3rd Person Singular Masculine,45124,,,,haus1257,newman-2000
-nsà,,3sg_m_p,3rd Person Singular Masculine,45123,,The forms '/-nshì' and '-nasà' are also listed (Newman 2000).,,haus1257,newman-2000
ta,,3sg_n_a,3rd Person Singular Neuter,45122,,,,haus1257,newman-2000
ta,,3sg_n_s,3rd Person Singular Neuter,45121,,,,haus1257,newman-2000
ta,,3sg_n_o,3rd Person Singular Neuter,45120,,,,haus1257,newman-2000
-ntà,,3sg_n_p,3rd Person Singular Neuter,45119,,The form '-natà' is also listed (Newman 2000).,,haus1257,newman-2000
su,,3d-a,3rd Person Dual,45118,,,,haus1257,newman-2000
su,,3d-s,3rd Person Dual,45117,,,,haus1257,newman-2000
su,,3d-o,3rd Person Dual,45116,,,,haus1257,newman-2000
-nsù,,3d-p,3rd Person Dual,45115,,,,haus1257,newman-2000
su,,3p-a,3rd Person Plural,45114,,,,haus1257,newman-2000
su,,3p-s,3rd Person Plural,45113,,,,haus1257,newman-2000
su,,3p-o,3rd Person Plural,45112,,,,haus1257,newman-2000
-nsù,,3p-p,3rd Person Plural,45111,,,,haus1257,newman-2000
