word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
hum,,3p-p,3rd Person Plural,,,,,stan1318,ryding-2005
hum,,3p-o,3rd Person Plural,,,,,stan1318,ryding-2005
hum,,3p-s,3rd Person Plural,,,,,stan1318,ryding-2005
hum,,3p-a,3rd Person Plural,,,In fact 3plM is hum, 3plF is hunna,stan1318,ryding-2005
hum,,3d-p,3rd Person Dual,,,,,stan1318,ryding-2005
hum,,3d-o,3rd Person Dual,,,,,stan1318,ryding-2005
hum,,3d-s,3rd Person Dual,,,,,stan1318,ryding-2005
hum,,3d-a,3rd Person Dual,,,No gender distinction in the 3d,,stan1318,ryding-2005
at,,3sg_n_p,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
at,,3sg_n_o,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
hiya,,3sg_n_s,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
hiya,,3sg_n_a,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
ta,,3sg_m_p,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
ta,,3sg_m_o,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
huwa,,3sg_m_s,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
huwa,,3sg_m_a,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
-kum,,2pl_p,2nd Person Plural,,,,,stan1318,ryding-2005
-kum,,2pl_o,2nd Person Plural,,,,,stan1318,ryding-2005
ʔantum,,2pl_s,2nd Person Plural,,,,,stan1318,ryding-2005
ʔantum,,2pl_a,2nd Person Plural,,,,,stan1318,ryding-2005
-kuma:,,2du_p,2nd Person Dual,,,,,stan1318,ryding-2005
-kuma:,,2du_o,2nd Person Dual,,,,,stan1318,ryding-2005
ʔantuma:,,2du_s,2nd Person Dual,,,,,stan1318,ryding-2005
ʔantuma:,,2du_a,2nd Person Dual,,,2du forms don't distinguish gender,,stan1318,ryding-2005
-ka,,2sg_p,2nd Person Singular,,,,,stan1318,ryding-2005
-ka,,2sg_o,2nd Person Singular,,,,,stan1318,ryding-2005
ʔanta,,2sg_s,2nd Person Singular,,,,,stan1318,ryding-2005
ʔanta,,2sg_a,2nd Person Singular,,,In fact 2sgM ʔanta is distinguished from 2sgF ʔanti, only the masc is given here,stan1318,ryding-2005
-na:,,12pl_p,1st (incl) Person Plural,,,,,stan1318,ryding-2005
-na:,,12pl_o,1st (incl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,12pl_s,1st (incl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,12pl_a,1st (incl) Person Plural,,,,,stan1318,ryding-2005
-na:,,12du_p,1st (incl) Person Dual,,,,,stan1318,ryding-2005
-na:,,12du_o,1st (incl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,12du_s,1st (incl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,12du_a,1st (incl) Person Dual,,,,,stan1318,ryding-2005
-na:,,1pl_p,1st (excl) Person Plural,,,,,stan1318,ryding-2005
-na:,,1pl_o,1st (excl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,1pl_s,1st (excl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,1pl_a,1st (excl) Person Plural,,,,,stan1318,ryding-2005
-na:,,1du_p,1st (excl) Person Dual,,,,,stan1318,ryding-2005
-na:,,1du_o,1st (excl) Person Dual,,,n not conditioned by vowel vs consonant finality,,stan1318,ryding-2005
naHnu,,1du_s,1st (excl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,1du_a,1st (excl) Person Dual,,,,,stan1318,ryding-2005
-i:,,1sg_p,1st (excl) Person Singular,,,Allomorphy as for O,,stan1318,ryding-2005
-i:,,1sg_o,1st (excl) Person Singular,,,Shows alternation with -ni: when attached to vowel-final verbs,,stan1318,ryding-2005
ʔana:,,1sg_s,1st (excl) Person Singular,,,,,stan1318,ryding-2005
ʔana:,,1sg_a,1st (excl) Person Singular,,,,,stan1318,ryding-2005
-hum,,3p-p,3rd Person Plural,,,,,stan1318,ryding-2005
-hum,,3p-o,3rd Person Plural,,,,,stan1318,ryding-2005
hum,,3p-s,3rd Person Plural,,,,,stan1318,ryding-2005
hum,,3p-a,3rd Person Plural,,,,,stan1318,ryding-2005
-huma:,,3d-p,3rd Person Dual,,,,,stan1318,ryding-2005
-huma:,,3d-o,3rd Person Dual,,,,,stan1318,ryding-2005
huma:,,3d-s,3rd Person Dual,,,,,stan1318,ryding-2005
huma:,,3d-a,3rd Person Dual,,,,,stan1318,ryding-2005
-ha:,,3sg_n_p,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
-ha:,,3sg_n_o,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
hiya,,3sg_n_s,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
hiya,,3sg_n_a,3rd Person Singular Neuter,,,,,stan1318,ryding-2005
-hu,,3sg_m_p,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
-hu,,3sg_m_o,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
huwa,,3sg_m_s,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
huwa,,3sg_m_a,3rd Person Singular Masculine,,,,,stan1318,ryding-2005
-kum,,2pl_p,2nd Person Plural,,,The 2dF form is '-kunna'.,,stan1318,ryding-2005
-kum,,2pl_o,2nd Person Plural,,,The 2dF form is '-kunna'.,,stan1318,ryding-2005
ʔantum,,2pl_s,2nd Person Plural,,,"'ʔantum' is in fact the 2dM form, the 2dF form is 'ʔntunna'.",,stan1318,ryding-2005
ʔantum,,2pl_a,2nd Person Plural,,,"'ʔantum' is in fact the 2dM form, the 2dF form is 'ʔntunna'.",,stan1318,ryding-2005
-kuma:,,2du_p,2nd Person Dual,,,,,stan1318,ryding-2005
-kuma:,,2du_o,2nd Person Dual,,,,,stan1318,ryding-2005
ʔantuma:,,2du_s,2nd Person Dual,,,,,stan1318,ryding-2005
ʔantuma:,,2du_a,2nd Person Dual,,,,,stan1318,ryding-2005
-ka,,2sg_p,2nd Person Singular,,,The 2sgF form is '-ki'.,,stan1318,ryding-2005
-ka,,2sg_o,2nd Person Singular,,,The 2sgF form is '-ki'.,,stan1318,ryding-2005
ʔanta,,2sg_s,2nd Person Singular,,,"'ʔanta' is in fact the 2sgM form, 'ʔanti' is the 2sgF form.",,stan1318,ryding-2005
ʔanta,,2sg_a,2nd Person Singular,,,"'ʔanta' is in fact the 2sgM form, 'ʔanti' is the 2sgF form. ",,stan1318,ryding-2005
-na:,,12pl_p,1st (incl) Person Plural,,,,,stan1318,ryding-2005
-na:,,12pl_o,1st (incl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,12pl_s,1st (incl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,12pl_a,1st (incl) Person Plural,,,,,stan1318,ryding-2005
-na:,,12du_p,1st (incl) Person Dual,,,,,stan1318,ryding-2005
-na:,,12du_o,1st (incl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,12du_s,1st (incl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,12du_a,1st (incl) Person Dual,,,,,stan1318,ryding-2005
-na:,,1pl_p,1st (excl) Person Plural,,,,,stan1318,ryding-2005
-na:,,1pl_o,1st (excl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,1pl_s,1st (excl) Person Plural,,,,,stan1318,ryding-2005
naHnu,,1pl_a,1st (excl) Person Plural,,,,,stan1318,ryding-2005
-na:,,1du_p,1st (excl) Person Dual,,,,,stan1318,ryding-2005
-na:,,1du_o,1st (excl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,1du_s,1st (excl) Person Dual,,,,,stan1318,ryding-2005
naHnu,,1du_a,1st (excl) Person Dual,,,,,stan1318,ryding-2005
-i:,,1sg_p,1st (excl) Person Singular,,,"Shows alternation with the alomorph -ni:, which appears suffixed to nouns with a word final vowel.",,stan1318,ryding-2005
-i:,,1sg_o,1st (excl) Person Singular,,,"Shows alternation with the alomorph -ni:, which appears suffixed to verbs with a word final vowel..",,stan1318,ryding-2005
ʔana:,,1sg_s,1st (excl) Person Singular,,,,,stan1318,ryding-2005
ʔana:,,1sg_a,1st (excl) Person Singular,,,,,stan1318,ryding-2005
