word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
nunu,,1sg_a,1st (excl) Person Singular,53130,,,,bare1276,ramirez-2001
nunu,,1sg_s,1st (excl) Person Singular,53129,,,,bare1276,ramirez-2001
nunu,,1sg_o,1st (excl) Person Singular,53128,,,,bare1276,ramirez-2001
nu-,,1sg_p,1st (excl) Person Singular,53127,,,,bare1276,ramirez-2001
wani,,1du_a,1st (excl) Person Dual,53126,,,,bare1276,ramirez-2001
wani,,1du_s,1st (excl) Person Dual,53125,,,,bare1276,ramirez-2001
wani,,1du_o,1st (excl) Person Dual,53124,,,,bare1276,ramirez-2001
wa-,,1du_p,1st (excl) Person Dual,53123,,,,bare1276,ramirez-2001
wani,,1pl_a,1st (excl) Person Plural,53122,,,,bare1276,ramirez-2001
wani,,1pl_s,1st (excl) Person Plural,53121,,,,bare1276,ramirez-2001
wani,,1pl_o,1st (excl) Person Plural,53120,,,,bare1276,ramirez-2001
wani,,1pl_p,1st (excl) Person Plural,53119,,,,bare1276,ramirez-2001
wani,,12du_a,1st (incl) Person Dual,53118,,,,bare1276,ramirez-2001
wani,,12du_s,1st (incl) Person Dual,53117,,,,bare1276,ramirez-2001
wani,,12du_o,1st (incl) Person Dual,53116,,,,bare1276,ramirez-2001
wani,,12du_p,1st (incl) Person Dual,53115,,,,bare1276,ramirez-2001
wani,,12pl_a,1st (incl) Person Plural,53114,,,,bare1276,ramirez-2001
wani,,12pl_s,1st (incl) Person Plural,53113,,,,bare1276,ramirez-2001
wani,,12pl_o,1st (incl) Person Plural,53112,,,,bare1276,ramirez-2001
wani,,12pl_p,1st (incl) Person Plural,53111,,,,bare1276,ramirez-2001
bini,,2sg_a,2nd Person Singular,53110,,,,bare1276,ramirez-2001
bini,,2sg_s,2nd Person Singular,53109,,,,bare1276,ramirez-2001
bini,,2sg_o,2nd Person Singular,53108,,,,bare1276,ramirez-2001
bi-,,2sg_p,2nd Person Singular,53107,,,,bare1276,ramirez-2001
ini,,2du_a,2nd Person Dual,53106,,,,bare1276,ramirez-2001
ini,,2du_s,2nd Person Dual,53105,,,,bare1276,ramirez-2001
ini,,2du_o,2nd Person Dual,53104,,,,bare1276,ramirez-2001
ini-,,2du_p,2nd Person Dual,53103,,,,bare1276,ramirez-2001
ini,,2pl_a,2nd Person Plural,53102,,,,bare1276,ramirez-2001
ini,,2pl_s,2nd Person Plural,53101,,,,bare1276,ramirez-2001
ini,,2pl_o,2nd Person Plural,53100,,,,bare1276,ramirez-2001
ini-,,2pl_p,2nd Person Plural,53099,,,,bare1276,ramirez-2001
kuhu,,3sg_m_a,3rd Person Singular Masculine,53098,,,,bare1276,ramirez-2001
kuhu,,3sg_m_s,3rd Person Singular Masculine,53097,,,,bare1276,ramirez-2001
kuhu,,3sg_m_o,3rd Person Singular Masculine,53096,,,,bare1276,ramirez-2001
i-,,3sg_m_p,3rd Person Singular Masculine,53095,,,,bare1276,ramirez-2001
kuhũ,,3sg_n_a,3rd Person Singular Neuter,53094,,,,bare1276,ramirez-2001
kuhũ,,3sg_n_s,3rd Person Singular Neuter,53093,,,,bare1276,ramirez-2001
kuhũ,,3sg_n_o,3rd Person Singular Neuter,53092,,,,bare1276,ramirez-2001
u-,,3sg_n_p,3rd Person Singular Neuter,53091,,,,bare1276,ramirez-2001
"kuhuni, meni",,3d-a,3rd Person Dual,53090,,,,bare1276,ramirez-2001
"kuhuni, meni",,3d-s,3rd Person Dual,53089,,,,bare1276,ramirez-2001
"kuhuni, meni",,3d-o,3rd Person Dual,53088,,,,bare1276,ramirez-2001
me-,,3d-p,3rd Person Dual,53087,,,,bare1276,ramirez-2001
"kuhuni, meni",,3p-a,3rd Person Plural,53086,,,,bare1276,ramirez-2001
"kuhuni, meni",,3p-s,3rd Person Plural,53085,,,,bare1276,ramirez-2001
"kuhuni, meni",,3p-o,3rd Person Plural,53084,,,,bare1276,ramirez-2001
me-,,3p-p,3rd Person Plural,53083,,,,bare1276,ramirez-2001
