word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
nuha;;1sg_a;1st (excl) Person Singular;54736;;;;tari1256;aikhenvald-2003
nuha;;1sg_s;1st (excl) Person Singular;54735;;;;tari1256;aikhenvald-2003
nuha;;1sg_o;1st (excl) Person Singular;54734;;;;tari1256;aikhenvald-2003
nu-;;1sg_p;1st (excl) Person Singular;54733;;;;tari1256;aikhenvald-2003
waha;;1du_a;1st (excl) Person Dual;54732;;;;tari1256;aikhenvald-2003
waha;;1du_s;1st (excl) Person Dual;54731;;;;tari1256;aikhenvald-2003
waha;;1du_o;1st (excl) Person Dual;54730;;;;tari1256;aikhenvald-2003
wa-;;1du_p;1st (excl) Person Dual;54729;;;;tari1256;aikhenvald-2003
waha;;1pl_a;1st (excl) Person Plural;54728;;;;tari1256;aikhenvald-2003
waha;;1pl_s;1st (excl) Person Plural;54727;;;;tari1256;aikhenvald-2003
waha;;1pl_o;1st (excl) Person Plural;54726;;;;tari1256;aikhenvald-2003
wa-;;1pl_p;1st (excl) Person Plural;54725;;;;tari1256;aikhenvald-2003
waha;;12du_a;1st (incl) Person Dual;54724;;;;tari1256;aikhenvald-2003
waha;;12du_s;1st (incl) Person Dual;54723;;;;tari1256;aikhenvald-2003
waha;;12du_o;1st (incl) Person Dual;54722;;;;tari1256;aikhenvald-2003
wa-;;12du_p;1st (incl) Person Dual;54721;;;;tari1256;aikhenvald-2003
waha;;12pl_a;1st (incl) Person Plural;54720;;;;tari1256;aikhenvald-2003
waha;;12pl_s;1st (incl) Person Plural;54719;;;;tari1256;aikhenvald-2003
waha;;12pl_o;1st (incl) Person Plural;54718;;;;tari1256;aikhenvald-2003
wa-;;12pl_p;1st (incl) Person Plural;54717;;;;tari1256;aikhenvald-2003
piha;;2sg_a;2nd Person Singular;54716;;;;tari1256;aikhenvald-2003
piha;;2sg_s;2nd Person Singular;54715;;;;tari1256;aikhenvald-2003
piha;;2sg_o;2nd Person Singular;54714;;;;tari1256;aikhenvald-2003
pi-;;2sg_p;2nd Person Singular;54713;;;;tari1256;aikhenvald-2003
iha;;2du_a;2nd Person Dual;54712;;;;tari1256;aikhenvald-2003
iha;;2du_s;2nd Person Dual;54711;;;;tari1256;aikhenvald-2003
iha;;2du_o;2nd Person Dual;54710;;;;tari1256;aikhenvald-2003
i-;;2du_p;2nd Person Dual;54709;;;;tari1256;aikhenvald-2003
iha;;2pl_a;2nd Person Plural;54708;;;;tari1256;aikhenvald-2003
iha;;2pl_s;2nd Person Plural;54707;;;;tari1256;aikhenvald-2003
iha;;2pl_o;2nd Person Plural;54706;;;;tari1256;aikhenvald-2003
i-;;2pl_p;2nd Person Plural;54705;;;;tari1256;aikhenvald-2003
diha;;3sg_m_a;3rd Person Singular Masculine;54704;;;;tari1256;aikhenvald-2003
diha;;3sg_m_s;3rd Person Singular Masculine;54703;;;;tari1256;aikhenvald-2003
diha;;3sg_m_o;3rd Person Singular Masculine;54702;;;;tari1256;aikhenvald-2003
di-;;3sg_m_p;3rd Person Singular Masculine;54701;;;;tari1256;aikhenvald-2003
duha;;3sg_n_a;3rd Person Singular Neuter;54700;;;;tari1256;aikhenvald-2003
duha;;3sg_n_s;3rd Person Singular Neuter;54699;;;;tari1256;aikhenvald-2003
duha;;3sg_n_o;3rd Person Singular Neuter;54698;;;;tari1256;aikhenvald-2003
du-;;3sg_n_p;3rd Person Singular Neuter;54697;;;;tari1256;aikhenvald-2003
naha;;3d-a;3rd Person Dual;54696;;;;tari1256;aikhenvald-2003
naha;;3d-s;3rd Person Dual;54695;;;;tari1256;aikhenvald-2003
naha;;3d-o;3rd Person Dual;54694;;;;tari1256;aikhenvald-2003
na-;;3d-p;3rd Person Dual;54693;;;;tari1256;aikhenvald-2003
naha;;3p-a;3rd Person Plural;54692;;;;tari1256;aikhenvald-2003
naha;;3p-s;3rd Person Plural;54691;;;;tari1256;aikhenvald-2003
naha;;3p-o;3rd Person Plural;54690;;;;tari1256;aikhenvald-2003
na-;;3p-p;3rd Person Plural;54689;;;;tari1256;aikhenvald-2003
