word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mín;;1sg_a;1st (excl) Person Singular;45398;;;;adam1253;stennes-1967
mín;;1sg_s;1st (excl) Person Singular;45397;;;;adam1253;stennes-1967
mín;;1sg_o;1st (excl) Person Singular;45396;;;;adam1253;stennes-1967
-am ;;1sg_p;1st (excl) Person Singular;45395;;;;adam1253;stennes-1967
mínin;;1du_a;1st (excl) Person Dual;45394;;;;adam1253;stennes-1967
mínin;;1du_s;1st (excl) Person Dual;45393;;;;adam1253;stennes-1967
mínin;;1du_o;1st (excl) Person Dual;45392;;;;adam1253;stennes-1967
ʔámin;;1du_p;1st (excl) Person Dual;45391;;;;adam1253;stennes-1967
mínin;;1pl_a;1st (excl) Person Plural;45390;;;;adam1253;stennes-1967
mínin;;1pl_s;1st (excl) Person Plural;45389;;;;adam1253;stennes-1967
mínin;;1pl_o;1st (excl) Person Plural;45388;;;;adam1253;stennes-1967
ʔámin;;1pl_p;1st (excl) Person Plural;45387;;;;adam1253;stennes-1967
ʔénen;;12du_a;1st (incl) Person Dual;45386;;;;adam1253;stennes-1967
ʔénen;;12du_s;1st (incl) Person Dual;45385;;;;adam1253;stennes-1967
ʔénen;;12du_o;1st (incl) Person Dual;45384;;;;adam1253;stennes-1967
méeɗen, -men;;12du_p;1st (incl) Person Dual;45383;;;;adam1253;stennes-1967
ʔénen;;12pl_a;1st (incl) Person Plural;45382;;;;adam1253;stennes-1967
ʔénen;;12pl_s;1st (incl) Person Plural;45381;;;;adam1253;stennes-1967
ʔénen;;12pl_o;1st (incl) Person Plural;45380;;;;adam1253;stennes-1967
méeɗen, -men;;12pl_p;1st (incl) Person Plural;45379;;;;adam1253;stennes-1967
ʔáan;;2sg_a;2nd Person Singular;45378;;;;adam1253;stennes-1967
ʔáan;;2sg_s;2nd Person Singular;45377;;;;adam1253;stennes-1967
ʔáan;;2sg_o;2nd Person Singular;45376;;;;adam1253;stennes-1967
máaɗa, -ma;;2sg_p;2nd Person Singular;45375;;;;adam1253;stennes-1967
ʔónon;;2du_a;2nd Person Dual;45374;;;;adam1253;stennes-1967
ʔónon;;2du_s;2nd Person Dual;45373;;;;adam1253;stennes-1967
ʔónon;;2du_o;2nd Person Dual;45372;;;;adam1253;stennes-1967
méeɗon, mon;;2du_p;2nd Person Dual;45371;;;;adam1253;stennes-1967
ʔónon;;2pl_a;2nd Person Plural;45370;;;;adam1253;stennes-1967
ʔónon;;2pl_s;2nd Person Plural;45369;;;;adam1253;stennes-1967
ʔónon;;2pl_o;2nd Person Plural;45368;;;;adam1253;stennes-1967
méeɗon, mon;;2pl_p;2nd Person Plural;45367;;;;adam1253;stennes-1967
káŋko;;3sg_m_a;3rd Person Singular Masculine;45366;;;;adam1253;stennes-1967
káŋko;;3sg_m_s;3rd Person Singular Masculine;45365;;;;adam1253;stennes-1967
káŋko;;3sg_m_o;3rd Person Singular Masculine;45364;;;;adam1253;stennes-1967
máako;;3sg_m_p;3rd Person Singular Masculine;45363;;;;adam1253;stennes-1967
káyre;;3sg_n_a;3rd Person Singular Neuter;45362;;;;adam1253;stennes-1967
káyre;;3sg_n_s;3rd Person Singular Neuter;45361;;;;adam1253;stennes-1967
káyre;;3sg_n_o;3rd Person Singular Neuter;45360;;;;adam1253;stennes-1967
máare;;3sg_n_p;3rd Person Singular Neuter;45359;;;;adam1253;stennes-1967
kámɓe;;3d-a;3rd Person Dual;45358;;;;adam1253;stennes-1967
kámɓe;;3d-s;3rd Person Dual;45357;;;;adam1253;stennes-1967
kámɓe;;3d-o;3rd Person Dual;45356;;;;adam1253;stennes-1967
máɓɓe;;3d-p;3rd Person Dual;45355;;;;adam1253;stennes-1967
kámɓe;;3p-a;3rd Person Plural;45354;;;;adam1253;stennes-1967
kámɓe;;3p-s;3rd Person Plural;45353;;;;adam1253;stennes-1967
kámɓe;;3p-o;3rd Person Plural;45352;;;;adam1253;stennes-1967
máɓɓe;;3p-p;3rd Person Plural;45351;;;;adam1253;stennes-1967
