word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
enyɛ,,1sg_a,1st (excl) Person Singular,56113,,,,ajab1235,morley-2010
enyɛ,,1sg_s,1st (excl) Person Singular,56112,,,,ajab1235,morley-2010
enyɛ,,1sg_o,1st (excl) Person Singular,56111,,,,ajab1235,morley-2010
"ɲání, ɲáŋ",,1sg_p,1st (excl) Person Singular,56110,,,,ajab1235,morley-2010
mìwó,,1du_a,1st (excl) Person Dual,56109,,,,ajab1235,morley-2010
mìwó,,1du_s,1st (excl) Person Dual,56108,,,,ajab1235,morley-2010
mìwó,,1du_o,1st (excl) Person Dual,56107,,,,ajab1235,morley-2010
mìwó,,1du_p,1st (excl) Person Dual,56106,,,,ajab1235,morley-2010
mìwó,,1pl_a,1st (excl) Person Plural,56105,,,,ajab1235,morley-2010
mìwó,,1pl_s,1st (excl) Person Plural,56104,,,,ajab1235,morley-2010
mìwó,,1pl_o,1st (excl) Person Plural,56103,,,,ajab1235,morley-2010
mìwó,,1pl_p,1st (excl) Person Plural,56102,,,,ajab1235,morley-2010
miwó,,12du_a,1st (incl) Person Dual,56101,,,,ajab1235,morley-2010
miwó,,12du_s,1st (incl) Person Dual,56100,,,,ajab1235,morley-2010
miwó,,12du_o,1st (incl) Person Dual,56099,,,,ajab1235,morley-2010
mìwó,,12du_p,1st (incl) Person Dual,56098,,,,ajab1235,morley-2010
miwó,,12pl_a,1st (incl) Person Plural,56097,,,,ajab1235,morley-2010
miwó,,12pl_s,1st (incl) Person Plural,56096,,,,ajab1235,morley-2010
miwó,,12pl_o,1st (incl) Person Plural,56095,,,,ajab1235,morley-2010
mìwó,,12pl_p,1st (incl) Person Plural,56094,,,,ajab1235,morley-2010
ewɔ́,,2sg_a,2nd Person Singular,56093,,,,ajab1235,morley-2010
ewɔ́,,2sg_s,2nd Person Singular,56092,,,,ajab1235,morley-2010
ewɔ́,,2sg_o,2nd Person Singular,56091,,,,ajab1235,morley-2010
wòá,,2sg_p,2nd Person Singular,56090,,,,ajab1235,morley-2010
miwó,,2du_a,2nd Person Dual,56089,,,,ajab1235,morley-2010
miwó,,2du_s,2nd Person Dual,56088,,,,ajab1235,morley-2010
miwó,,2du_o,2nd Person Dual,56087,,,,ajab1235,morley-2010
míwò,,2du_p,2nd Person Dual,56086,,,,ajab1235,morley-2010
miwó,,2pl_a,2nd Person Plural,56085,,,,ajab1235,morley-2010
miwó,,2pl_s,2nd Person Plural,56084,,,,ajab1235,morley-2010
miwó,,2pl_o,2nd Person Plural,56083,,,,ajab1235,morley-2010
míwò,,2pl_p,2nd Person Plural,56082,,,,ajab1235,morley-2010
eyɛ,,3sg_m_a,3rd Person Singular Masculine,56081,,,,ajab1235,morley-2010
eyɛ,,3sg_m_s,3rd Person Singular Masculine,56080,,,,ajab1235,morley-2010
eyɛ,,3sg_m_o,3rd Person Singular Masculine,56079,,,,ajab1235,morley-2010
íyí,,3sg_m_p,3rd Person Singular Masculine,56078,,,,ajab1235,morley-2010
eyɛ,,3sg_n_a,3rd Person Singular Neuter,56077,,,,ajab1235,morley-2010
eyɛ,,3sg_n_s,3rd Person Singular Neuter,56076,,,,ajab1235,morley-2010
eyɛ,,3sg_n_o,3rd Person Singular Neuter,56075,,,,ajab1235,morley-2010
íyí,,3sg_n_p,3rd Person Singular Neuter,56074,,,,ajab1235,morley-2010
wé,,3d-a,3rd Person Dual,56073,,,,ajab1235,morley-2010
wé,,3d-s,3rd Person Dual,56072,,,,ajab1235,morley-2010
wé,,3d-o,3rd Person Dual,56071,,,,ajab1235,morley-2010
òwó,,3d-p,3rd Person Dual,56070,,,,ajab1235,morley-2010
wé,,3p-a,3rd Person Plural,56069,,,,ajab1235,morley-2010
wé,,3p-s,3rd Person Plural,56068,,,,ajab1235,morley-2010
wé,,3p-o,3rd Person Plural,56067,,,,ajab1235,morley-2010
òwó,,3p-p,3rd Person Plural,56066,,,,ajab1235,morley-2010
