word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
tí,,1sg_a,1st singular transitive subject,,,,,anii1246,Heine1999
â-ti,,1sg_s,1st singular intransitive subject,,,,,anii1247,Heine1999
â-ti,,1sg_o,1st singular transitive object,,,,,anii1248,Heine1999
tí,,1sg_p,1st singular possessive,,,,,anii1249,Heine1999
tsúm,,12du_a,1st dual inclusive transitive subject,,,,,anii1250,Heine1999
â-tsúm,,12du_s,1st dual inclusive intransitive subject,,,,,anii1251,Heine1999
â-tsúm,,12du_o,1st dual inclusive transitive object,,,,,anii1252,Heine1999
tsúm,,12du_p,1st dual inclusive possessive,,,,,anii1253,Heine1999
tsúm,,1du_a,1st dual exclusive transitive subject,,,,,anii1254,Heine1999
â-tsúm,,1du_s,1st dual exclusive intransitive subject,,,,,anii1255,Heine1999
â-tsúm,,1du_o,1st dual exclusive transitive object,,,,,anii1256,Heine1999
tsúm,,1du_p,1st dual exclusive possessive,,,,,anii1257,Heine1999
ǁé,,12pl_a,1st plural inclusive transitive subject,,,,,anii1258,Heine1999
â-ǁé,,12pl_s,1st plural inclusive intransitive subject,,,,,anii1259,Heine1999
â-ǁé,,12pl_o,1st plural inclusive transitive object,,,,,anii1260,Heine1999
ǁé,,12pl_p,1st plural inclusive possessive,,,,,anii1261,Heine1999
ǁé,,1pl_a,1st plural exclusive transitive subject,,,,,anii1262,Heine1999
â-ǁé,,1pl_s,1st plural exclusive intransitive subject,,,,,anii1263,Heine1999
â-ǁé,,1pl_o,1st plural exclusive transitive object,,,,,anii1264,Heine1999
ǁé,,1pl_p,1st plural exclusive possessive,,,,,anii1265,Heine1999
tsá,,2sg_a,2nd singular transitive subject,,,,,anii1266,Heine1999
â-tsá,,2sg_s,2nd singular intransitive subject,,,,,anii1267,Heine1999
â-tsá,,2sg_o,2nd singular transitive object,,,,,anii1268,Heine1999
tsá,,2sg_p,2nd singular possessive,,,,,anii1269,Heine1999
tséú,,2du_a,2nd dual transitive subject,,,,,anii1270,Heine1999
â-tséú,,2du_s,2nd dual intransitive subject,,,,,anii1271,Heine1999
â-tséú,,2du_o,2nd dual transitive object,,,,,anii1272,Heine1999
tséú,,2du_p,2nd dual possessive,,,,,anii1273,Heine1999
ǁéú,,2pl_a,2nd plural transitive subject,,,,,anii1274,Heine1999
â-ǁéú,,2pl_s,2nd plural intransitive subject,,,,,anii1275,Heine1999
â-ǁéú,,2pl_o,2nd plural transitive object,,,,,anii1276,Heine1999
ǁéú,,2pl_p,2nd plural possessive,,,,,anii1277,Heine1999
-m(à),,3sg_m_a,3rd singular gender1 transitive subject,,,,,anii1278,Heine1999
-m(à),,3sg_m_s,3rd singular gender1 intransitive subject,,,,,anii1279,Heine1999
-m(à),,3sg_m_o,3rd singular gender1 transitive object,,,,,anii1280,Heine1999
-m̀,,3sg_m_p,3rd singular gender1 possessive,,,,,anii1281,Heine1999
-hɛ̀,,3sg_f_a,3rd singular gender2 transitive subject,,,,,anii1282,Heine1999
-hɛ̀,,3sg_f_s,3rd singular gender2 intransitive subject,,,,,anii1283,Heine1999
-hɛ̀,,3sg_f_o,3rd singular gender2 transitive object,,,,,anii1284,Heine1999
-sì,,3sg_f_p,3rd singular gender2 possessive,,,,,anii1285,Heine1999
-tsà,,3d-a,3rd dual transitive subject,,,,,anii1286,Heine1999
-tsà,,3d-s,3rd dual intransitive subject,,,,,anii1287,Heine1999
-tsà,,3d-o,3rd dual transitive object,,,,,anii1288,Heine1999
-tsà,,3d-p,3rd dual possessive,,,,,anii1289,Heine1999
-ǁà,,3p-a,3rd plural transitive subject,,,,,anii1290,Heine1999
-ǁà,,3p-s,3rd plural intransitive subject,,,,,anii1291,Heine1999
-ǁà,,3p-o,3rd plural transitive object,,,,,anii1292,Heine1999
-ǁù,,3p-p,3rd plural possessive,,,,,anii1293,Heine1999
,,3du_m_a,3rd dual gender1 transitive subject,,,,,,Heine1999
,,3du_m_s,3rd dual gender1 intransitive subject,,,,,,Heine1999
,,3du_m_o,3rd dual gender1 transitive object,,,,,,Heine1999
,,3du_m_p,3rd dual gender1 possessive,,,,,,Heine1999
,,3du_f_a,3rd dual gender2 transitive subject,,,,,,Heine1999
,,3du_f_s,3rd dual gender2 intransitive subject,,,,,,Heine1999
,,3du_f_o,3rd dual gender2 transitive object,,,,,,Heine1999
,,3du_f_p,3rd dual gender2 possessive,,,,,,Heine1999
,,3du_n_a,3rd dual gender3 transitive subject,,,,,,Heine1999
,,3du_n_s,3rd dual gender3 intransitive subject,,,,,,Heine1999
,,3du_n_o,3rd dual gender3 transitive object,,,,,,Heine1999
,,3du_n_p,3rd dual gender3 possessive,,,,,,Heine1999
,,3pl_m_a,3rd plural gender1 transitive subject,,,,,,Heine1999
,,3pl_m_s,3rd plural gender1 intransitive subject,,,,,,Heine1999
,,3pl_m_o,3rd plural gender1 transitive object,,,,,,Heine1999
,,3pl_m_p,3rd plural gender1 possessive,,,,,,Heine1999
,,3pl_f_a,3rd plural gender2 transitive subject,,,,,,Heine1999
,,3pl_f_s,3rd plural gender2 intransitive subject,,,,,,Heine1999
,,3pl_f_o,3rd plural gender2 transitive object,,,,,,Heine1999
,,3pl_f_p,3rd plural gender2 possessive,,,,,,Heine1999
,,3pl_n_a,3rd plural gender3 transitive subject,,,,,,Heine1999
,,3pl_n_s,3rd plural gender3 intransitive subject,,,,,,Heine1999
,,3pl_n_o,3rd plural gender3 transitive object,,,,,,Heine1999
,,3pl_n_p,3rd plural gender3 possessive,,,,,,Heine1999
,,3sg_n_a,3rd singular gender3 transitive subject,,,,,,Heine1999
,,3sg_n_s,3rd singular gender3 intransitive subject,,,,,,Heine1999
,,3sg_n_o,3rd singular gender3 transitive object,,,,,,Heine1999
,,3sg_n_p,3rd singular gender3 possessive,,,,,,Heine1999
