word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mɛ̃˩;;1sg_a;1st (excl) Person Singular;56352;;;;atti1239;kutsch-et-al-1983
mɛ̃˩;;1sg_s;1st (excl) Person Singular;56351;;;;atti1239;kutsch-et-al-1983
mɛ̃˧;;1sg_o;1st (excl) Person Singular;56350;;;;atti1239;kutsch-et-al-1983
mɛ̃˧;;1sg_p;1st (excl) Person Singular;56349;;;;atti1239;kutsch-et-al-1983
hã˩;;1du_a;1st (excl) Person Dual;56348;;;;atti1239;kutsch-et-al-1983
hã˩;;1du_s;1st (excl) Person Dual;56347;;;;atti1239;kutsch-et-al-1983
hã˧;;1du_o;1st (excl) Person Dual;56346;;;;atti1239;kutsch-et-al-1983
hã˧;;1du_p;1st (excl) Person Dual;56345;;;;atti1239;kutsch-et-al-1983
hã˩;;1pl_a;1st (excl) Person Plural;56344;;;;atti1239;kutsch-et-al-1983
hã˩;;1pl_s;1st (excl) Person Plural;56343;;;;atti1239;kutsch-et-al-1983
hã˧;;1pl_o;1st (excl) Person Plural;56342;;;;atti1239;kutsch-et-al-1983
hã˧;;1pl_p;1st (excl) Person Plural;56341;;;;atti1239;kutsch-et-al-1983
hã˩;;12du_a;1st (incl) Person Dual;56340;;;;atti1239;kutsch-et-al-1983
hã˩;;12du_s;1st (incl) Person Dual;56339;;;;atti1239;kutsch-et-al-1983
hã˧;;12du_o;1st (incl) Person Dual;56338;;;;atti1239;kutsch-et-al-1983
hã˧;;12du_p;1st (incl) Person Dual;56337;;;;atti1239;kutsch-et-al-1983
hã˩;;12pl_a;1st (incl) Person Plural;56336;;;;atti1239;kutsch-et-al-1983
hã˩;;12pl_s;1st (incl) Person Plural;56335;;;;atti1239;kutsch-et-al-1983
hã˧;;12pl_o;1st (incl) Person Plural;56334;;;;atti1239;kutsch-et-al-1983
hã˧;;12pl_p;1st (incl) Person Plural;56333;;;;atti1239;kutsch-et-al-1983
bɔ˩;;2sg_a;2nd Person Singular;56332;;;;atti1239;kutsch-et-al-1983
bɔ˩;;2sg_s;2nd Person Singular;56331;;;;atti1239;kutsch-et-al-1983
bu˧;;2sg_o;2nd Person Singular;56330;;;;atti1239;kutsch-et-al-1983
bu˧;;2sg_p;2nd Person Singular;56329;;;;atti1239;kutsch-et-al-1983
mɔ̃˩;;2du_a;2nd Person Dual;56328;;;;atti1239;kutsch-et-al-1983
mɔ̃˩;;2du_s;2nd Person Dual;56327;;;;atti1239;kutsch-et-al-1983
mũ˥;;2du_o;2nd Person Dual;56326;;;;atti1239;kutsch-et-al-1983
mũ˥;;2du_p;2nd Person Dual;56325;;;;atti1239;kutsch-et-al-1983
mɔ̃˩;;2pl_a;2nd Person Plural;56324;;;;atti1239;kutsch-et-al-1983
mɔ̃˩;;2pl_s;2nd Person Plural;56323;;;;atti1239;kutsch-et-al-1983
mũ˥;;2pl_o;2nd Person Plural;56322;;;;atti1239;kutsch-et-al-1983
mũ˥;;2pl_p;2nd Person Plural;56321;;;;atti1239;kutsch-et-al-1983
wɔ˩;;3sg_m_a;3rd Person Singular Masculine;56320;;;;atti1239;kutsch-et-al-1983
wɔ˩;;3sg_m_s;3rd Person Singular Masculine;56319;;;;atti1239;kutsch-et-al-1983
wo˥;;3sg_m_o;3rd Person Singular Masculine;56318;;;;atti1239;kutsch-et-al-1983
wo˥;;3sg_m_p;3rd Person Singular Masculine;56317;;;;atti1239;kutsch-et-al-1983
yɛ˩;;3sg_n_a;3rd Person Singular Neuter;56316;;;;atti1239;kutsch-et-al-1983
yɛ˩;;3sg_n_s;3rd Person Singular Neuter;56315;;;;atti1239;kutsch-et-al-1983
ye˥;;3sg_n_o;3rd Person Singular Neuter;56314;;;;atti1239;kutsch-et-al-1983
ye˥;;3sg_n_p;3rd Person Singular Neuter;56313;;;;atti1239;kutsch-et-al-1983
ba˩;;3d-a;3rd Person Dual;56312;;;;atti1239;kutsch-et-al-1983
ba˩;;3d-s;3rd Person Dual;56311;;;;atti1239;kutsch-et-al-1983
ba˥;;3d-o;3rd Person Dual;56310;;;;atti1239;kutsch-et-al-1983
ba˥;;3d-p;3rd Person Dual;56309;;;;atti1239;kutsch-et-al-1983
ba˩;;3p-a;3rd Person Plural;56308;;;;atti1239;kutsch-et-al-1983
ba˩;;3p-s;3rd Person Plural;56307;;;;atti1239;kutsch-et-al-1983
ba˥;;3p-o;3rd Person Plural;56306;;;;atti1239;kutsch-et-al-1983
ba˥;;3p-p;3rd Person Plural;56305;;;;atti1239;kutsch-et-al-1983
