word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ɲi,,1sg_a,1st (excl) Person Singular,54928,,,,bala1301,wilson-1961
ɲi,,1sg_s,1st (excl) Person Singular,54927,,,,bala1301,wilson-1961
ɲiʔ,,1sg_o,1st (excl) Person Singular,54926,,,,bala1301,wilson-1961
da,,1sg_p,1st (excl) Person Singular,54925,,,,bala1301,wilson-1961
bah,,1du_a,1st (excl) Person Dual,54924,,,,bala1301,wilson-1961
bah,,1du_s,1st (excl) Person Dual,54923,,,,bala1301,wilson-1961
bah,,1du_o,1st (excl) Person Dual,54922,,,,bala1301,wilson-1961
bah,,1du_p,1st (excl) Person Dual,54921,,,,bala1301,wilson-1961
bah,,1pl_a,1st (excl) Person Plural,54920,,,,bala1301,wilson-1961
bah,,1pl_s,1st (excl) Person Plural,54919,,,,bala1301,wilson-1961
bah,,1pl_o,1st (excl) Person Plural,54918,,,,bala1301,wilson-1961
bah,,1pl_p,1st (excl) Person Plural,54917,,,,bala1301,wilson-1961
bah,,12du_a,1st (incl) Person Dual,54916,,,,bala1301,wilson-1961
bah,,12du_s,1st (incl) Person Dual,54915,,,,bala1301,wilson-1961
bah,,12du_o,1st (incl) Person Dual,54914,,,,bala1301,wilson-1961
bah,,12du_p,1st (incl) Person Dual,54913,,,,bala1301,wilson-1961
bah,,12pl_a,1st (incl) Person Plural,54912,,,,bala1301,wilson-1961
bah,,12pl_s,1st (incl) Person Plural,54911,,,,bala1301,wilson-1961
bah,,12pl_o,1st (incl) Person Plural,54910,,,,bala1301,wilson-1961
bah,,12pl_p,1st (incl) Person Plural,54909,,,,bala1301,wilson-1961
hu,,2sg_a,2nd Person Singular,54908,,,,bala1301,wilson-1961
hu,,2sg_s,2nd Person Singular,54907,,,,bala1301,wilson-1961
na,,2sg_o,2nd Person Singular,54906,,,,bala1301,wilson-1961
diʔ,,2sg_p,2nd Person Singular,54905,,,,bala1301,wilson-1961
bàa,,2du_a,2nd Person Dual,54904,,,,bala1301,wilson-1961
bàa,,2du_s,2nd Person Dual,54903,,,,bala1301,wilson-1961
bàa,,2du_o,2nd Person Dual,54902,,,,bala1301,wilson-1961
diin,,2du_p,2nd Person Dual,54901,,,,bala1301,wilson-1961
bàa,,2pl_a,2nd Person Plural,54900,,,,bala1301,wilson-1961
bàa,,2pl_s,2nd Person Plural,54899,,,,bala1301,wilson-1961
bàa,,2pl_o,2nd Person Plural,54898,,,,bala1301,wilson-1961
diin,,2pl_p,2nd Person Plural,54897,,,,bala1301,wilson-1961
hɔn,,3sg_m_a,3rd Person Singular Masculine,54896,,,,bala1301,wilson-1961
hɔn,,3sg_m_s,3rd Person Singular Masculine,54895,,,,bala1301,wilson-1961
ma,,3sg_m_o,3rd Person Singular Masculine,54894,,,,bala1301,wilson-1961
ma,,3sg_m_p,3rd Person Singular Masculine,54893,,,,bala1301,wilson-1961
baan,,3sg_n_a,3rd Person Singular Neuter,54892,,,,bala1301,wilson-1961
baan,,3sg_n_s,3rd Person Singular Neuter,54891,,,,bala1301,wilson-1961
ma,,3sg_n_o,3rd Person Singular Neuter,54890,,,,bala1301,wilson-1961
ma,,3sg_n_p,3rd Person Singular Neuter,54889,,,,bala1301,wilson-1961
báa,,3d-a,3rd Person Dual,54888,,,,bala1301,wilson-1961
báa,,3d-s,3rd Person Dual,54887,,,,bala1301,wilson-1961
"báa, baʔ",,3d-o,3rd Person Dual,54886,,,,bala1301,wilson-1961
baan,,3d-p,3rd Person Dual,54885,,,,bala1301,wilson-1961
báa,,3p-a,3rd Person Plural,54884,,,,bala1301,wilson-1961
báa,,3p-s,3rd Person Plural,54883,,,,bala1301,wilson-1961
"báa, baʔ",,3p-o,3rd Person Plural,54882,,,,bala1301,wilson-1961
baan,,3p-p,3rd Person Plural,54881,,,,bala1301,wilson-1961
