word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
-yag,,3p-p,3rd Person Plural,,,,,bidy1244,wilson-2007
yag,,3p-o,3rd Person Plural,,,,,bidy1244,wilson-2007
yag,,3p-s,3rd Person Plural,,,,,bidy1244,wilson-2007
yag,,3p-a,3rd Person Plural,,,,,bidy1244,wilson-2007
-yag,,3d-p,3rd Person Dual,,,,,bidy1244,wilson-2007
yag,,3d-o,3rd Person Dual,,,,,bidy1244,wilson-2007
yag,,3d-s,3rd Person Dual,,,,,bidy1244,wilson-2007
yag,,3d-a,3rd Person Dual,,,,,bidy1244,wilson-2007
-ɔg,,3sg_n_p,3rd Person Singular Neuter,,,,,bidy1244,wilson-2007
ɔg,,3sg_n_o,3rd Person Singular Neuter,,,,,bidy1244,wilson-2007
ɔg,,3sg_n_s,3rd Person Singular Neuter,,,,,bidy1244,wilson-2007
ɔg,,3sg_n_a,3rd Person Singular Neuter,,,,,bidy1244,wilson-2007
-ɔg,,3sg_m_p,3rd Person Singular Masculine,,,,,bidy1244,wilson-2007
ɔg,,3sg_m_o,3rd Person Singular Masculine,,,,,bidy1244,wilson-2007
ɔg,,3sg_m_s,3rd Person Singular Masculine,,,,,bidy1244,wilson-2007
ɔg,,3sg_m_a,3rd Person Singular Masculine,,,,,bidy1244,wilson-2007
-anɛ,,2pl_p,2nd Person Plural,,,,,bidy1244,wilson-2007
aanɛ,,2pl_o,2nd Person Plural,,,,,bidy1244,wilson-2007
aanɛ,,2pl_s,2nd Person Plural,,,,,bidy1244,wilson-2007
aanɛ,,2pl_a,2nd Person Plural,,,,,bidy1244,wilson-2007
-anɛ,,2du_p,2nd Person Dual,,,,,bidy1244,wilson-2007
aanɛ,,2du_o,2nd Person Dual,,,,,bidy1244,wilson-2007
aanɛ,,2du_s,2nd Person Dual,,,,,bidy1244,wilson-2007
aanɛ,,2du_a,2nd Person Dual,,,,,bidy1244,wilson-2007
-amɔ,,2sg_p,2nd Person Singular,,,,,bidy1244,wilson-2007
aamɔ,,2sg_o,2nd Person Singular,,,,,bidy1244,wilson-2007
aamɔ,,2sg_s,2nd Person Singular,,,,,bidy1244,wilson-2007
aamɔ,,2sg_a,2nd Person Singular,,,,,bidy1244,wilson-2007
-atɛ,,12pl_p,1st (incl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,12pl_o,1st (incl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,12pl_s,1st (incl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,12pl_a,1st (incl) Person Plural,,,,,bidy1244,wilson-2007
-atɛ,,12du_p,1st (incl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,12du_o,1st (incl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,12du_s,1st (incl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,12du_a,1st (incl) Person Dual,,,,,bidy1244,wilson-2007
-atɛ,,1pl_p,1st (excl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,1pl_o,1st (excl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,1pl_s,1st (excl) Person Plural,,,,,bidy1244,wilson-2007
aatɛ,,1pl_a,1st (excl) Person Plural,,,,,bidy1244,wilson-2007
-atɛ,,1du_p,1st (excl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,1du_o,1st (excl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,1du_s,1st (excl) Person Dual,,,,,bidy1244,wilson-2007
aatɛ,,1du_a,1st (excl) Person Dual,,,,,bidy1244,wilson-2007
"-ɲ, -ɛɲ",,1sg_p,1st (excl) Person Singular,,,,,bidy1244,wilson-2007
ɛɲo,,1sg_o,1st (excl) Person Singular,,,,,bidy1244,wilson-2007
ɛɲoɲ,,1sg_s,1st (excl) Person Singular,,,,,bidy1244,wilson-2007
ɛɲo,,1sg_a,1st (excl) Person Singular,,,,,bidy1244,wilson-2007
