word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
mã˧,,1sg_a,1st (excl) Person Singular,57439,,,,buam1238,morse-1976
mã˧,,1sg_s,1st (excl) Person Singular,57438,,,,buam1238,morse-1976
nɛ̃˧,,1sg_o,1st (excl) Person Singular,57437,,,,buam1238,morse-1976
"mĩã˥, nã˥",,1sg_p,1st (excl) Person Singular,57436,,,,buam1238,morse-1976
mɛ̃˩,,1du_a,1st (excl) Person Dual,57435,,,,buam1238,morse-1976
mɛ̃˩,,1du_s,1st (excl) Person Dual,57434,,,,buam1238,morse-1976
mɛ̃˩,,1du_o,1st (excl) Person Dual,57433,,,,buam1238,morse-1976
mĩã˥,,1du_p,1st (excl) Person Dual,57432,,,,buam1238,morse-1976
mɛ̃˩,,1pl_a,1st (excl) Person Plural,57431,,,,buam1238,morse-1976
mɛ̃˩,,1pl_s,1st (excl) Person Plural,57430,,,,buam1238,morse-1976
mɛ̃˩,,1pl_o,1st (excl) Person Plural,57429,,,,buam1238,morse-1976
mĩã˩,,1pl_p,1st (excl) Person Plural,57428,,,,buam1238,morse-1976
ke˩,,12du_a,1st (incl) Person Dual,57427,,,,buam1238,morse-1976
ke˩,,12du_s,1st (incl) Person Dual,57426,,,,buam1238,morse-1976
ke˩,,12du_o,1st (incl) Person Dual,57425,,,,buam1238,morse-1976
kia˩,,12du_p,1st (incl) Person Dual,57424,,,,buam1238,morse-1976
ke˩,,12pl_a,1st (incl) Person Plural,57423,,,,buam1238,morse-1976
ke˩,,12pl_s,1st (incl) Person Plural,57422,,,,buam1238,morse-1976
ke˩,,12pl_o,1st (incl) Person Plural,57421,,,,buam1238,morse-1976
kia˩,,12pl_p,1st (incl) Person Plural,57420,,,,buam1238,morse-1976
be˧,,2sg_a,2nd Person Singular,57419,,,,buam1238,morse-1976
be˧,,2sg_s,2nd Person Singular,57418,,,,buam1238,morse-1976
be˧,,2sg_o,2nd Person Singular,57417,,,,buam1238,morse-1976
bia˥,,2sg_p,2nd Person Singular,57416,,,,buam1238,morse-1976
ka˧,,2du_a,2nd Person Dual,57415,,,,buam1238,morse-1976
ka˧,,2du_s,2nd Person Dual,57414,,,,buam1238,morse-1976
ka˧,,2du_o,2nd Person Dual,57413,,,,buam1238,morse-1976
ka˥,,2du_p,2nd Person Dual,57412,,,,buam1238,morse-1976
ka˧,,2pl_a,2nd Person Plural,57411,,,,buam1238,morse-1976
ka˧,,2pl_s,2nd Person Plural,57410,,,,buam1238,morse-1976
ka˧,,2pl_o,2nd Person Plural,57409,,,,buam1238,morse-1976
ka˥,,2pl_p,2nd Person Plural,57408,,,,buam1238,morse-1976
a˩,,3sg_m_a,3rd Person Singular Masculine,57407,,,,buam1238,morse-1976
a˩,,3sg_m_s,3rd Person Singular Masculine,57406,,,,buam1238,morse-1976
"a˩, nã˩, nã˥",,3sg_m_o,3rd Person Singular Masculine,57405,,,,buam1238,morse-1976
ya˥,,3sg_m_p,3rd Person Singular Masculine,57404,,,,buam1238,morse-1976
a˩,,3sg_n_a,3rd Person Singular Neuter,57403,,,,buam1238,morse-1976
a˩,,3sg_n_s,3rd Person Singular Neuter,57402,,,,buam1238,morse-1976
"a˩, nã˩, nã˥",,3sg_n_o,3rd Person Singular Neuter,57401,,,,buam1238,morse-1976
ya˥,,3sg_n_p,3rd Person Singular Neuter,57400,,,,buam1238,morse-1976
ye˩,,3d-a,3rd Person Dual,57399,,,,buam1238,morse-1976
ye˩,,3d-s,3rd Person Dual,57398,,,,buam1238,morse-1976
"ye˩, nɛ̃˩, nɛ̃˥",,3d-o,3rd Person Dual,57397,,,,buam1238,morse-1976
"ye˩ ta˥, nɛ̃˩ ta˥",,3d-p,3rd Person Dual,57396,,,,buam1238,morse-1976
ye˩,,3p-a,3rd Person Plural,57395,,,,buam1238,morse-1976
ye˩,,3p-s,3rd Person Plural,57394,,,,buam1238,morse-1976
"ye˩, nɛ̃˩, nɛ̃˥",,3p-o,3rd Person Plural,57393,,,,buam1238,morse-1976
"ye˩ ta˥, nɛ̃˩ ta˥",,3p-p,3rd Person Plural,57440,,,,buam1238,morse-1976
