word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
m˩mɛ˩;;1sg_a;1st (excl) Person Singular;58826;;;;ejag1239;watters-1981
m˩mɛ˩;;1sg_s;1st (excl) Person Singular;58825;;;;ejag1239;watters-1981
əm˧˥;;1sg_o;1st (excl) Person Singular;58824;;;;ejag1239;watters-1981
-Vmɛ˥;;1sg_p;1st (excl) Person Singular;58823;;;;ejag1239;watters-1981
ɛd˧˥;;1du_a;1st (excl) Person Dual;58822;;;;ejag1239;watters-1981
ɛd˧˥;;1du_s;1st (excl) Person Dual;58821;;;;ejag1239;watters-1981
ɛd˧˥;;1du_o;1st (excl) Person Dual;58820;;;;ejag1239;watters-1981
-ədɛ˥;;1du_p;1st (excl) Person Dual;58819;;;;ejag1239;watters-1981
ɛd˧˥;;1pl_a;1st (excl) Person Plural;58818;;;;ejag1239;watters-1981
ɛd˧˥;;1pl_s;1st (excl) Person Plural;58817;;;;ejag1239;watters-1981
ɛd˧˥;;1pl_o;1st (excl) Person Plural;58816;;;;ejag1239;watters-1981
-ədɛ˥;;1pl_p;1st (excl) Person Plural;58815;;;;ejag1239;watters-1981
ɛd˧˥;;12du_a;1st (incl) Person Dual;58814;;;;ejag1239;watters-1981
ɛd˧˥;;12du_s;1st (incl) Person Dual;58813;;;;ejag1239;watters-1981
ɛd˧˥;;12du_o;1st (incl) Person Dual;58812;;;;ejag1239;watters-1981
-ədɛ˥;;12du_p;1st (incl) Person Dual;58811;;;;ejag1239;watters-1981
ɛd˧˥;;12pl_a;1st (incl) Person Plural;58810;;;;ejag1239;watters-1981
ɛd˧˥;;12pl_s;1st (incl) Person Plural;58809;;;;ejag1239;watters-1981
ɛd˧˥;;12pl_o;1st (incl) Person Plural;58808;;;;ejag1239;watters-1981
-ədɛ˥;;12pl_p;1st (incl) Person Plural;58807;;;;ejag1239;watters-1981
wɛ˩;;2sg_a;2nd Person Singular;58806;;;;ejag1239;watters-1981
wɛ˩;;2sg_s;2nd Person Singular;58805;;;;ejag1239;watters-1981
wa˧˥;;2sg_o;2nd Person Singular;58804;;;;ejag1239;watters-1981
-a;;2sg_p;2nd Person Singular;58803;;;;ejag1239;watters-1981
ɛn˧˥;;2du_a;2nd Person Dual;58802;;;;ejag1239;watters-1981
ɛn˧˥;;2du_s;2nd Person Dual;58801;;;;ejag1239;watters-1981
ɛn˧˥;;2du_o;2nd Person Dual;58800;;;;ejag1239;watters-1981
-ənɛ˥;;2du_p;2nd Person Dual;58799;;;;ejag1239;watters-1981
ɛn˧˥;;2pl_a;2nd Person Plural;58798;;;;ejag1239;watters-1981
ɛn˧˥;;2pl_s;2nd Person Plural;58797;;;;ejag1239;watters-1981
ɛn˧˥;;2pl_o;2nd Person Plural;58796;;;;ejag1239;watters-1981
-ənɛ˥;;2pl_p;2nd Person Plural;58795;;;;ejag1239;watters-1981
yɛ˧˥;;3sg_m_a;3rd Person Singular Masculine;58794;;;;ejag1239;watters-1981
yɛ˧˥;;3sg_m_s;3rd Person Singular Masculine;58793;;;;ejag1239;watters-1981
yɛ˧˥;;3sg_m_o;3rd Person Singular Masculine;58792;;;;ejag1239;watters-1981
-ɛ;;3sg_m_p;3rd Person Singular Masculine;58791;;;;ejag1239;watters-1981
N˥mə˥nɛ˩;;3sg_n_a;3rd Person Singular Neuter;58790;;;;ejag1239;watters-1981
N˥mə˥nɛ˩;;3sg_n_s;3rd Person Singular Neuter;58789;;;;ejag1239;watters-1981
N˥mə˥nɛ˩;;3sg_n_o;3rd Person Singular Neuter;58788;;;;ejag1239;watters-1981
-ɛ;;3sg_n_p;3rd Person Singular Neuter;58787;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3d-a;3rd Person Dual;58786;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3d-s;3rd Person Dual;58785;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3d-o;3rd Person Dual;58784;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3d-p;3rd Person Dual;58783;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3p-a;3rd Person Plural;58782;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3p-s;3rd Person Plural;58781;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3p-o;3rd Person Plural;58780;;;;ejag1239;watters-1981
a˥bɔ˧˩;;3p-p;3rd Person Plural;58779;;;;ejag1239;watters-1981
