word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mĩ˩;;1sg_a;1st (excl) Person Singular;56444;;;;gaaa1244;kropp-dakubu-1976
mĩ˩;;1sg_s;1st (excl) Person Singular;56443;;;;gaaa1244;kropp-dakubu-1976
mĩ˩;;1sg_o;1st (excl) Person Singular;56442;;;;gaaa1244;kropp-dakubu-1976
mĩ˥;;1sg_p;1st (excl) Person Singular;56441;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1du_a;1st (excl) Person Dual;56440;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1du_s;1st (excl) Person Dual;56439;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1du_o;1st (excl) Person Dual;56438;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1du_p;1st (excl) Person Dual;56437;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1pl_a;1st (excl) Person Plural;56436;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1pl_s;1st (excl) Person Plural;56435;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1pl_o;1st (excl) Person Plural;56434;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;1pl_p;1st (excl) Person Plural;56433;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12du_a;1st (incl) Person Dual;56432;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12du_s;1st (incl) Person Dual;56431;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12du_o;1st (incl) Person Dual;56430;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12du_p;1st (incl) Person Dual;56429;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12pl_a;1st (incl) Person Plural;56428;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12pl_s;1st (incl) Person Plural;56427;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12pl_o;1st (incl) Person Plural;56426;;;;gaaa1244;kropp-dakubu-1976
wɔ˩;;12pl_p;1st (incl) Person Plural;56425;;;;gaaa1244;kropp-dakubu-1976
o˩;;2sg_a;2nd Person Singular;56424;;;;gaaa1244;kropp-dakubu-1976
o˩;;2sg_s;2nd Person Singular;56423;;;;gaaa1244;kropp-dakubu-1976
bo˩, o˩;;2sg_o;2nd Person Singular;56422;;;;gaaa1244;kropp-dakubu-1976
o˥;;2sg_p;2nd Person Singular;56421;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2du_a;2nd Person Dual;56420;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2du_s;2nd Person Dual;56419;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2du_o;2nd Person Dual;56418;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2du_p;2nd Person Dual;56417;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2pl_a;2nd Person Plural;56416;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2pl_s;2nd Person Plural;56415;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2pl_o;2nd Person Plural;56414;;;;gaaa1244;kropp-dakubu-1976
ɲɛ̃˩;;2pl_p;2nd Person Plural;56413;;;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_m_a;3rd Person Singular Masculine;56412;;;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_m_s;3rd Person Singular Masculine;56411;;;;gaaa1244;kropp-dakubu-1976
lɛ˩;;3sg_m_o;3rd Person Singular Masculine;56410;;;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_m_p;3rd Person Singular Masculine;56409;;;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_n_a;3rd Person Singular Neuter;56408;;;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_n_s;3rd Person Singular Neuter;56407;;;;gaaa1244;kropp-dakubu-1976
Ø;;3sg_n_o;3rd Person Singular Neuter;56406;;3SG.INANIM O expressed by absence of any form;;gaaa1244;kropp-dakubu-1976
e˩;;3sg_n_p;3rd Person Singular Neuter;56405;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3d-a;3rd Person Dual;56404;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3d-s;3rd Person Dual;56403;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3d-o;3rd Person Dual;56402;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3d-p;3rd Person Dual;56401;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3p-a;3rd Person Plural;56400;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3p-s;3rd Person Plural;56399;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3p-o;3rd Person Plural;56398;;;;gaaa1244;kropp-dakubu-1976
amɛ̃˩;;3p-p;3rd Person Plural;56397;;;;gaaa1244;kropp-dakubu-1976
