word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
n˧,,1sg_a,1st (excl) Person Singular,57776,,,,ngan1299,higdon-2001
n˧,,1sg_s,1st (excl) Person Singular,57775,,,,ngan1299,higdon-2001
nni˧,,1sg_o,1st (excl) Person Singular,57774,,,,ngan1299,higdon-2001
n˧,,1sg_p,1st (excl) Person Singular,57773,,,,ngan1299,higdon-2001
ti˧,,1du_a,1st (excl) Person Dual,57772,,,,ngan1299,higdon-2001
ti˧,,1du_s,1st (excl) Person Dual,57771,,,,ngan1299,higdon-2001
tɛ˧,,1du_o,1st (excl) Person Dual,57770,,,,ngan1299,higdon-2001
ti˧,,1du_p,1st (excl) Person Dual,57769,,,,ngan1299,higdon-2001
ti˧,,1pl_a,1st (excl) Person Plural,57768,,,,ngan1299,higdon-2001
ti˧,,1pl_s,1st (excl) Person Plural,57767,,,,ngan1299,higdon-2001
tɛ˧,,1pl_o,1st (excl) Person Plural,57766,,,,ngan1299,higdon-2001
ti˧,,1pl_p,1st (excl) Person Plural,57765,,,,ngan1299,higdon-2001
ti˧,,12du_a,1st (incl) Person Dual,57764,,,,ngan1299,higdon-2001
ti˧,,12du_s,1st (incl) Person Dual,57763,,,,ngan1299,higdon-2001
tɛ˧,,12du_o,1st (incl) Person Dual,57762,,,,ngan1299,higdon-2001
ti˧,,12du_p,1st (incl) Person Dual,57761,,,,ngan1299,higdon-2001
ti˧,,12pl_a,1st (incl) Person Plural,57760,,,,ngan1299,higdon-2001
ti˧,,12pl_s,1st (incl) Person Plural,57759,,,,ngan1299,higdon-2001
tɛ˧,,12pl_o,1st (incl) Person Plural,57758,,,,ngan1299,higdon-2001
ti˧,,12pl_p,1st (incl) Person Plural,57757,,,,ngan1299,higdon-2001
a˧,,2sg_a,2nd Person Singular,57756,,,,ngan1299,higdon-2001
a˧,,2sg_s,2nd Person Singular,57755,,,,ngan1299,higdon-2001
ŋɛ˧,,2sg_o,2nd Person Singular,57754,,,,ngan1299,higdon-2001
a˧,,2sg_p,2nd Person Singular,57753,,,,ngan1299,higdon-2001
ni˧,,2du_a,2nd Person Dual,57752,,,,ngan1299,higdon-2001
ni˧,,2du_s,2nd Person Dual,57751,,,,ngan1299,higdon-2001
nɛ˧,,2du_o,2nd Person Dual,57750,,,,ngan1299,higdon-2001
ni˧,,2du_p,2nd Person Dual,57749,,,,ngan1299,higdon-2001
ni˧,,2pl_a,2nd Person Plural,57748,,,,ngan1299,higdon-2001
ni˧,,2pl_s,2nd Person Plural,57747,,,,ngan1299,higdon-2001
nɛ˧,,2pl_o,2nd Person Plural,57746,,,,ngan1299,higdon-2001
ni˧,,2pl_p,2nd Person Plural,57745,,,,ngan1299,higdon-2001
u˩,,3sg_m_a,3rd Person Singular Masculine,57744,,,,ngan1299,higdon-2001
u˩,,3sg_m_s,3rd Person Singular Masculine,57743,,,,ngan1299,higdon-2001
wɔ˧,,3sg_m_o,3rd Person Singular Masculine,57742,,,,ngan1299,higdon-2001
u˧,,3sg_m_p,3rd Person Singular Masculine,57741,,,,ngan1299,higdon-2001
li˩,,3sg_n_a,3rd Person Singular Neuter,57740,,,,ngan1299,higdon-2001
li˩,,3sg_n_s,3rd Person Singular Neuter,57739,,,,ngan1299,higdon-2001
lɛ˩,,3sg_n_o,3rd Person Singular Neuter,57738,,,,ngan1299,higdon-2001
li˧,,3sg_n_p,3rd Person Singular Neuter,57737,,,,ngan1299,higdon-2001
bi˩,,3d-a,3rd Person Dual,57736,,,,ngan1299,higdon-2001
bi˩,,3d-s,3rd Person Dual,57735,,,,ngan1299,higdon-2001
bɛ˩,,3d-o,3rd Person Dual,57734,,,,ngan1299,higdon-2001
bi˧,,3d-p,3rd Person Dual,57733,,,,ngan1299,higdon-2001
bi˩,,3p-a,3rd Person Plural,57732,,,,ngan1299,higdon-2001
bi˩,,3p-s,3rd Person Plural,57731,,,,ngan1299,higdon-2001
bɛ˩,,3p-o,3rd Person Plural,57730,,,,ngan1299,higdon-2001
bi˧,,3p-p,3rd Person Plural,57729,,,,ngan1299,higdon-2001
