word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mɩ˩;;1sg_a;1st (excl) Person Singular;58064;;;;boun1243;elders-2008
mɩ˩;;1sg_s;1st (excl) Person Singular;58063;;;;boun1243;elders-2008
-mɩ;;1sg_o;1st (excl) Person Singular;58062;;;;boun1243;elders-2008
mɩ=;;1sg_p;1st (excl) Person Singular;58061;;;;boun1243;elders-2008
bɩ˩;;1du_a;1st (excl) Person Dual;58060;;;;boun1243;elders-2008
bɩ˩;;1du_s;1st (excl) Person Dual;58059;;;;boun1243;elders-2008
-bɩ;;1du_o;1st (excl) Person Dual;58058;;;;boun1243;elders-2008
bɩ=;;1du_p;1st (excl) Person Dual;58057;;;;boun1243;elders-2008
bɩ˩;;1pl_a;1st (excl) Person Plural;58056;;;;boun1243;elders-2008
bɩ˩;;1pl_s;1st (excl) Person Plural;58055;;;;boun1243;elders-2008
-bɩ;;1pl_o;1st (excl) Person Plural;58054;;;;boun1243;elders-2008
bɩ=;;1pl_p;1st (excl) Person Plural;58053;;;;boun1243;elders-2008
bɩ˩;;12du_a;1st (incl) Person Dual;58052;;;;boun1243;elders-2008
bɩ˩;;12du_s;1st (incl) Person Dual;58051;;;;boun1243;elders-2008
-bɩ;;12du_o;1st (incl) Person Dual;58050;;;;boun1243;elders-2008
bɩ=;;12du_p;1st (incl) Person Dual;58049;;;;boun1243;elders-2008
bɩ˩;;12pl_a;1st (incl) Person Plural;58048;;;;boun1243;elders-2008
bɩ˩;;12pl_s;1st (incl) Person Plural;58047;;;;boun1243;elders-2008
-bɩ;;12pl_o;1st (incl) Person Plural;58046;;;;boun1243;elders-2008
bɩ=;;12pl_p;1st (incl) Person Plural;58045;;;;boun1243;elders-2008
wʊ˩;;2sg_a;2nd Person Singular;58044;;;;boun1243;elders-2008
wʊ˩;;2sg_s;2nd Person Singular;58043;;;;boun1243;elders-2008
-gʊ;;2sg_o;2nd Person Singular;58042;;;;boun1243;elders-2008
wʊ=;;2sg_p;2nd Person Singular;58041;;;;boun1243;elders-2008
ʔɩ̃˩;;2du_a;2nd Person Dual;58040;;;;boun1243;elders-2008
ʔɩ̃˩;;2du_s;2nd Person Dual;58039;;;;boun1243;elders-2008
-ʔɩ̃;;2du_o;2nd Person Dual;58038;;;;boun1243;elders-2008
ʔɩ̃=;;2du_p;2nd Person Dual;58037;;;;boun1243;elders-2008
ʔɩ̃˩;;2pl_a;2nd Person Plural;58036;;;;boun1243;elders-2008
ʔɩ̃˩;;2pl_s;2nd Person Plural;58035;;;;boun1243;elders-2008
-ʔɩ̃;;2pl_o;2nd Person Plural;58034;;;;boun1243;elders-2008
ʔɩ̃=;;2pl_p;2nd Person Plural;58033;;;;boun1243;elders-2008
hɔ̃˩;;3sg_m_a;3rd Person Singular Masculine;58032;;;;boun1243;elders-2008
hɔ̃˩;;3sg_m_s;3rd Person Singular Masculine;58031;;;;boun1243;elders-2008
-ɛ;;3sg_m_o;3rd Person Singular Masculine;58030;;;;boun1243;elders-2008
bɔ=;;3sg_m_p;3rd Person Singular Masculine;58029;;;;boun1243;elders-2008
xɔ˩;;3sg_n_a;3rd Person Singular Neuter;58028;;;;boun1243;elders-2008
xɔ˩;;3sg_n_s;3rd Person Singular Neuter;58027;;;;boun1243;elders-2008
-gɛ;;3sg_n_o;3rd Person Singular Neuter;58026;;;;boun1243;elders-2008
xɔ=;;3sg_n_p;3rd Person Singular Neuter;58025;;;;boun1243;elders-2008
bɔ˩;;3d-a;3rd Person Dual;58024;;;;boun1243;elders-2008
bɔ˩;;3d-s;3rd Person Dual;58023;;;;boun1243;elders-2008
-bɛ;;3d-o;3rd Person Dual;58022;;;;boun1243;elders-2008
bɔ̃=;;3d-p;3rd Person Dual;58021;;;;boun1243;elders-2008
bɔ˩;;3p-a;3rd Person Plural;58020;;;;boun1243;elders-2008
bɔ˩;;3p-s;3rd Person Plural;58019;;;;boun1243;elders-2008
-bɛ;;3p-o;3rd Person Plural;58018;;;;boun1243;elders-2008
bɔ̃=;;3p-p;3rd Person Plural;58017;;;;boun1243;elders-2008
