word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mɨ˥;;1sg_a;1st (excl) Person Singular;58634;;;;kwan1276;robson-2011
mɨ˥;;1sg_s;1st (excl) Person Singular;58633;;;;kwan1276;robson-2011
mɨ˥;;1sg_o;1st (excl) Person Singular;58632;;;;kwan1276;robson-2011
mɨ˥;;1sg_p;1st (excl) Person Singular;58631;;;;kwan1276;robson-2011
bi˥;;1du_a;1st (excl) Person Dual;58630;;;;kwan1276;robson-2011
bi˥;;1du_s;1st (excl) Person Dual;58629;;;;kwan1276;robson-2011
bi˥;;1du_o;1st (excl) Person Dual;58628;;;;kwan1276;robson-2011
bi˦;;1du_p;1st (excl) Person Dual;58627;;;;kwan1276;robson-2011
bi˥;;1pl_a;1st (excl) Person Plural;58626;;;;kwan1276;robson-2011
bi˥;;1pl_s;1st (excl) Person Plural;58625;;;;kwan1276;robson-2011
bi˥;;1pl_o;1st (excl) Person Plural;58624;;;;kwan1276;robson-2011
bi˦;;1pl_p;1st (excl) Person Plural;58623;;;;kwan1276;robson-2011
bi˥;;12du_a;1st (incl) Person Dual;58622;;;;kwan1276;robson-2011
bi˥;;12du_s;1st (incl) Person Dual;58621;;;;kwan1276;robson-2011
bi˥;;12du_o;1st (incl) Person Dual;58620;;;;kwan1276;robson-2011
bi˦;;12du_p;1st (incl) Person Dual;58619;;;;kwan1276;robson-2011
bi˥;;12pl_a;1st (incl) Person Plural;58618;;;;kwan1276;robson-2011
bi˥;;12pl_s;1st (incl) Person Plural;58617;;;;kwan1276;robson-2011
bi˥;;12pl_o;1st (incl) Person Plural;58616;;;;kwan1276;robson-2011
bi˦;;12pl_p;1st (incl) Person Plural;58615;;;;kwan1276;robson-2011
wu˩;;2sg_a;2nd Person Singular;58614;;;;kwan1276;robson-2011
wu˩;;2sg_s;2nd Person Singular;58613;;;;kwan1276;robson-2011
wu˩;;2sg_o;2nd Person Singular;58612;;;;kwan1276;robson-2011
yi˧;;2sg_p;2nd Person Singular;58611;;;;kwan1276;robson-2011
bɨ˥n;;2du_a;2nd Person Dual;58610;;;;kwan1276;robson-2011
bɨ˥n;;2du_s;2nd Person Dual;58609;;;;kwan1276;robson-2011
bɨ˥n;;2du_o;2nd Person Dual;58608;;;;kwan1276;robson-2011
bɨ˥n;;2du_p;2nd Person Dual;58607;;;;kwan1276;robson-2011
bɨ˥n;;2pl_a;2nd Person Plural;58606;;;;kwan1276;robson-2011
bɨ˥n;;2pl_s;2nd Person Plural;58605;;;;kwan1276;robson-2011
bɨ˥n;;2pl_o;2nd Person Plural;58604;;;;kwan1276;robson-2011
bɨ˥n;;2pl_p;2nd Person Plural;58603;;;;kwan1276;robson-2011
wu˧;;3sg_m_a;3rd Person Singular Masculine;58602;;;;kwan1276;robson-2011
wu˧;;3sg_m_s;3rd Person Singular Masculine;58601;;;;kwan1276;robson-2011
wu˧;;3sg_m_o;3rd Person Singular Masculine;58600;;;;kwan1276;robson-2011
ye˧;;3sg_m_p;3rd Person Singular Masculine;58599;;;;kwan1276;robson-2011
mɨ˧;;3sg_n_a;3rd Person Singular Neuter;58598;;;;kwan1276;robson-2011
mɨ˧;;3sg_n_s;3rd Person Singular Neuter;58597;;;;kwan1276;robson-2011
wu˧;;3sg_n_o;3rd Person Singular Neuter;58596;;;;kwan1276;robson-2011
ye˧;;3sg_n_p;3rd Person Singular Neuter;58595;;;;kwan1276;robson-2011
bɨ˧;;3d-a;3rd Person Dual;58594;;;;kwan1276;robson-2011
bɨ˧;;3d-s;3rd Person Dual;58593;;;;kwan1276;robson-2011
bɨ˧;;3d-o;3rd Person Dual;58592;;;;kwan1276;robson-2011
bɨ˧;;3d-p;3rd Person Dual;58591;;;;kwan1276;robson-2011
bɨ˧;;3p-a;3rd Person Plural;58590;;;;kwan1276;robson-2011
bɨ˧;;3p-s;3rd Person Plural;58589;;;;kwan1276;robson-2011
bɨ˧;;3p-o;3rd Person Plural;58588;;;;kwan1276;robson-2011
bɨ˧;;3p-p;3rd Person Plural;58587;;;;kwan1276;robson-2011
