word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
mə˧…N˧,,1sg_a,1st (excl) Person Singular,59300,,,,abar1238,lovegren-2013
mə˧…N˧,,1sg_s,1st (excl) Person Singular,59299,,,,abar1238,lovegren-2013
mə˩,,1sg_o,1st (excl) Person Singular,59298,,,,abar1238,lovegren-2013
mə˦,,1sg_p,1st (excl) Person Singular,59297,,,,abar1238,lovegren-2013
sə˧,,1du_a,1st (excl) Person Dual,59296,,,,abar1238,lovegren-2013
sə˧,,1du_s,1st (excl) Person Dual,59295,,,,abar1238,lovegren-2013
sə˩,,1du_o,1st (excl) Person Dual,59294,,,,abar1238,lovegren-2013
sə˦,,1du_p,1st (excl) Person Dual,59293,,,,abar1238,lovegren-2013
sə˧,,1pl_a,1st (excl) Person Plural,59292,,,,abar1238,lovegren-2013
sə˧,,1pl_s,1st (excl) Person Plural,59291,,,,abar1238,lovegren-2013
sə˩,,1pl_o,1st (excl) Person Plural,59290,,,,abar1238,lovegren-2013
sə˦,,1pl_p,1st (excl) Person Plural,59289,,,,abar1238,lovegren-2013
sə˧,,12du_a,1st (incl) Person Dual,59288,,,,abar1238,lovegren-2013
sə˧,,12du_s,1st (incl) Person Dual,59287,,,,abar1238,lovegren-2013
sə˩,,12du_o,1st (incl) Person Dual,59286,,,,abar1238,lovegren-2013
sə˦,,12du_p,1st (incl) Person Dual,59285,,,,abar1238,lovegren-2013
sə˧,,12pl_a,1st (incl) Person Plural,59284,,,,abar1238,lovegren-2013
sə˧,,12pl_s,1st (incl) Person Plural,59283,,,,abar1238,lovegren-2013
sə˩,,12pl_o,1st (incl) Person Plural,59282,,,,abar1238,lovegren-2013
sə˦,,12pl_p,1st (incl) Person Plural,59281,,,,abar1238,lovegren-2013
"i˧, bi˧",,2sg_a,2nd Person Singular,59280,,,,abar1238,lovegren-2013
"i˧, bi˧",,2sg_s,2nd Person Singular,59279,,,,abar1238,lovegren-2013
bi˩,,2sg_o,2nd Person Singular,59278,,,,abar1238,lovegren-2013
bi˦,,2sg_p,2nd Person Singular,59277,,,,abar1238,lovegren-2013
ba˧,,2du_a,2nd Person Dual,59276,,,,abar1238,lovegren-2013
ba˧,,2du_s,2nd Person Dual,59275,,,,abar1238,lovegren-2013
baa˧˩,,2du_o,2nd Person Dual,59274,,,,abar1238,lovegren-2013
baa˩˧,,2du_p,2nd Person Dual,59273,,,,abar1238,lovegren-2013
ba˧,,2pl_a,2nd Person Plural,59272,,,,abar1238,lovegren-2013
ba˧,,2pl_s,2nd Person Plural,59271,,,,abar1238,lovegren-2013
baa˧˩,,2pl_o,2nd Person Plural,59270,,,,abar1238,lovegren-2013
baa˩˧,,2pl_p,2nd Person Plural,59269,,,,abar1238,lovegren-2013
"wu˩, u˩",,3sg_m_a,3rd Person Singular Masculine,59268,,,,abar1238,lovegren-2013
"wu˩, u˩",,3sg_m_s,3rd Person Singular Masculine,59267,,,,abar1238,lovegren-2013
wu˩,,3sg_m_o,3rd Person Singular Masculine,59266,,,,abar1238,lovegren-2013
wu˥,,3sg_m_p,3rd Person Singular Masculine,59265,,,,abar1238,lovegren-2013
"wu˦, u˦",,3sg_n_a,3rd Person Singular Neuter,59264,,,,abar1238,lovegren-2013
"wu˦, u˦",,3sg_n_s,3rd Person Singular Neuter,59263,,,,abar1238,lovegren-2013
wu˥,,3sg_n_p,3rd Person Singular Neuter,59262,,,,abar1238,lovegren-2013
bu˦,,3d-a,3rd Person Dual,59261,,,,abar1238,lovegren-2013
bu˦,,3d-s,3rd Person Dual,59260,,,,abar1238,lovegren-2013
bu˦,,3d-o,3rd Person Dual,59259,,,,abar1238,lovegren-2013
bu˥,,3d-p,3rd Person Dual,59258,,,,abar1238,lovegren-2013
bu˦,,3p-a,3rd Person Plural,59257,,,,abar1238,lovegren-2013
bu˦,,3p-s,3rd Person Plural,59256,,,,abar1238,lovegren-2013
bu˦,,3p-o,3rd Person Plural,59255,,,,abar1238,lovegren-2013
bu˥,,3p-p,3rd Person Plural,59254,,,,abar1238,lovegren-2013
