word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
mə˧…N˧,,1sg_a,1st (excl) Person Singular,59149,,The preverbal forms of the first person singular pronouns show a discontinuous form mV- followed by a homorganic nasal.,,abar1238,lovegren-2013
mə˧…N˧,,1sg_s,1st (excl) Person Singular,59148,,The preverbal forms of the first person singular pronouns show a discontinuous form mV- followed by a homorganic nasal.,,abar1238,lovegren-2013
mə˩,,1sg_o,1st (excl) Person Singular,59147,,,,abar1238,lovegren-2013
mə˦,,1sg_p,1st (excl) Person Singular,59146,,,,abar1238,lovegren-2013
sə˧,,1du_a,1st (excl) Person Dual,59145,,,,abar1238,lovegren-2013
sə˧,,1du_s,1st (excl) Person Dual,59144,,,,abar1238,lovegren-2013
sə˩,,1du_o,1st (excl) Person Dual,59143,,,,abar1238,lovegren-2013
sə˦,,1du_p,1st (excl) Person Dual,59142,,,,abar1238,lovegren-2013
sə˧,,1pl_a,1st (excl) Person Plural,59141,,,,abar1238,lovegren-2013
sə˧,,1pl_s,1st (excl) Person Plural,59140,,,,abar1238,lovegren-2013
sə˩,,1pl_o,1st (excl) Person Plural,59139,,,,abar1238,lovegren-2013
sə˦,,1pl_p,1st (excl) Person Plural,59138,,,,abar1238,lovegren-2013
sə˧,,12du_a,1st (incl) Person Dual,59137,,,,abar1238,lovegren-2013
sə˧,,12du_s,1st (incl) Person Dual,59136,,,,abar1238,lovegren-2013
sə˩,,12du_o,1st (incl) Person Dual,59135,,,,abar1238,lovegren-2013
sə˦,,12du_p,1st (incl) Person Dual,59134,,,,abar1238,lovegren-2013
sə˧,,12pl_a,1st (incl) Person Plural,59133,,,,abar1238,lovegren-2013
sə˧,,12pl_s,1st (incl) Person Plural,59132,,,,abar1238,lovegren-2013
sə˩,,12pl_o,1st (incl) Person Plural,59131,,,,abar1238,lovegren-2013
sə˦,,12pl_p,1st (incl) Person Plural,59130,,,,abar1238,lovegren-2013
a˩,,2sg_a,2nd Person Singular,59129,,,,abar1238,lovegren-2013
a˩,,2sg_s,2nd Person Singular,59128,,,,abar1238,lovegren-2013
wɔ˩,,2sg_o,2nd Person Singular,59127,,,,abar1238,lovegren-2013
a˩˧,,2sg_p,2nd Person Singular,59126,,,,abar1238,lovegren-2013
ba˧,,2du_a,2nd Person Dual,59125,,,,abar1238,lovegren-2013
ba˧,,2du_s,2nd Person Dual,59124,,,,abar1238,lovegren-2013
ba˩,,2du_o,2nd Person Dual,59123,,,,abar1238,lovegren-2013
ba˩,,2du_p,2nd Person Dual,59122,,,,abar1238,lovegren-2013
ba˧,,2pl_a,2nd Person Plural,59121,,,,abar1238,lovegren-2013
ba˧,,2pl_s,2nd Person Plural,59120,,,,abar1238,lovegren-2013
ba˩,,2pl_o,2nd Person Plural,59119,,,,abar1238,lovegren-2013
ba˩,,2pl_p,2nd Person Plural,59118,,,,abar1238,lovegren-2013
"wu˩, u˩",,3sg_m_a,3rd Person Singular Masculine,59117,,,,abar1238,lovegren-2013
"wu˩, u˩",,3sg_m_s,3rd Person Singular Masculine,59116,,,,abar1238,lovegren-2013
wu˩,,3sg_m_o,3rd Person Singular Masculine,59115,,,,abar1238,lovegren-2013
yi˦,,3sg_m_p,3rd Person Singular Masculine,59114,,,,abar1238,lovegren-2013
"wu˦, u˦",,3sg_n_a,3rd Person Singular Neuter,59113,,,,abar1238,lovegren-2013
"wu˦, u˦",,3sg_n_s,3rd Person Singular Neuter,59112,,,,abar1238,lovegren-2013
wu˥,,3sg_n_o,3rd Person Singular Neuter,59111,,,,abar1238,lovegren-2013
"wu˧, wu˥",,3sg_n_p,3rd Person Singular Neuter,59110,,,,abar1238,lovegren-2013
bɛ˦,,3d-a,3rd Person Dual,59109,,,,abar1238,lovegren-2013
bɛ˦,,3d-s,3rd Person Dual,59108,,,,abar1238,lovegren-2013
be˥,,3d-o,3rd Person Dual,59107,,,,abar1238,lovegren-2013
"be˧, be˥",,3d-p,3rd Person Dual,59106,,,,abar1238,lovegren-2013
bɛ˦,,3p-a,3rd Person Plural,59105,,,,abar1238,lovegren-2013
bɛ˦,,3p-s,3rd Person Plural,59104,,,,abar1238,lovegren-2013
be˥,,3p-o,3rd Person Plural,59103,,,,abar1238,lovegren-2013
"be˧, be˥",,3p-p,3rd Person Plural,59102,,,,abar1238,lovegren-2013
