word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
mbi˧,,1sg_a,1st (excl) Person Singular,56960,,,,nort2774,toronzoni-1989
mbi˧,,1sg_s,1st (excl) Person Singular,56959,,,,nort2774,toronzoni-1989
mbi˧,,1sg_o,1st (excl) Person Singular,56958,,,,nort2774,toronzoni-1989
mbi˧,,1sg_p,1st (excl) Person Singular,56957,,,,nort2774,toronzoni-1989
e˥,,1du_a,1st (excl) Person Dual,56956,,,,nort2774,toronzoni-1989
e˥,,1du_s,1st (excl) Person Dual,56955,,,,nort2774,toronzoni-1989
e˥,,1du_o,1st (excl) Person Dual,56954,,,,nort2774,toronzoni-1989
e˥,,1du_p,1st (excl) Person Dual,56953,,,,nort2774,toronzoni-1989
e˥,,1pl_a,1st (excl) Person Plural,56952,,,,nort2774,toronzoni-1989
e˥,,1pl_s,1st (excl) Person Plural,56951,,,,nort2774,toronzoni-1989
e˥,,1pl_o,1st (excl) Person Plural,56950,,,,nort2774,toronzoni-1989
e˥,,1pl_p,1st (excl) Person Plural,56949,,,,nort2774,toronzoni-1989
e˥,,12du_a,1st (incl) Person Dual,56948,,,,nort2774,toronzoni-1989
e˥,,12du_s,1st (incl) Person Dual,56947,,,,nort2774,toronzoni-1989
e˥,,12du_o,1st (incl) Person Dual,56946,,,,nort2774,toronzoni-1989
e˥,,12du_p,1st (incl) Person Dual,56945,,,,nort2774,toronzoni-1989
e˥,,12pl_a,1st (incl) Person Plural,56944,,,,nort2774,toronzoni-1989
e˥,,12pl_s,1st (incl) Person Plural,56943,,,,nort2774,toronzoni-1989
e˥,,12pl_o,1st (incl) Person Plural,56942,,,,nort2774,toronzoni-1989
e˥,,12pl_p,1st (incl) Person Plural,56941,,,,nort2774,toronzoni-1989
mɔ˩,,2sg_a,2nd Person Singular,56940,,,,nort2774,toronzoni-1989
mɔ˩,,2sg_s,2nd Person Singular,56939,,,,nort2774,toronzoni-1989
mɔ˩,,2sg_o,2nd Person Singular,56938,,,,nort2774,toronzoni-1989
mɔ˩,,2sg_p,2nd Person Singular,56937,,,,nort2774,toronzoni-1989
ĩ˥,,2du_a,2nd Person Dual,56936,,,,nort2774,toronzoni-1989
ĩ˥,,2du_s,2nd Person Dual,56935,,,,nort2774,toronzoni-1989
ĩ˥,,2du_o,2nd Person Dual,56934,,,,nort2774,toronzoni-1989
ĩ˥,,2du_p,2nd Person Dual,56933,,,,nort2774,toronzoni-1989
ĩ˥,,2pl_a,2nd Person Plural,56932,,,,nort2774,toronzoni-1989
ĩ˥,,2pl_s,2nd Person Plural,56931,,,,nort2774,toronzoni-1989
ĩ˥,,2pl_o,2nd Person Plural,56930,,,,nort2774,toronzoni-1989
ĩ˥,,2pl_p,2nd Person Plural,56929,,,,nort2774,toronzoni-1989
lo˩,,3sg_m_a,3rd Person Singular Masculine,56928,,,,nort2774,toronzoni-1989
lo˩,,3sg_m_s,3rd Person Singular Masculine,56927,,,,nort2774,toronzoni-1989
lo˩,,3sg_m_o,3rd Person Singular Masculine,56926,,,,nort2774,toronzoni-1989
lo˩,,3sg_m_p,3rd Person Singular Masculine,56925,,,,nort2774,toronzoni-1989
lo˩,,3sg_n_a,3rd Person Singular Neuter,56924,,,,nort2774,toronzoni-1989
lo˩,,3sg_n_s,3rd Person Singular Neuter,56923,,,,nort2774,toronzoni-1989
lo˩,,3sg_n_o,3rd Person Singular Neuter,56922,,,,nort2774,toronzoni-1989
lo˩,,3sg_n_p,3rd Person Singular Neuter,56921,,,,nort2774,toronzoni-1989
a˥la˩,,3d-a,3rd Person Dual,56920,,,,nort2774,toronzoni-1989
a˥la˩,,3d-s,3rd Person Dual,56919,,,,nort2774,toronzoni-1989
a˥la˩,,3d-o,3rd Person Dual,56918,,,,nort2774,toronzoni-1989
a˥la˩,,3d-p,3rd Person Dual,56917,,,,nort2774,toronzoni-1989
a˥la˩,,3p-a,3rd Person Plural,56916,,,,nort2774,toronzoni-1989
a˥la˩,,3p-s,3rd Person Plural,56915,,,,nort2774,toronzoni-1989
a˥la˩,,3p-o,3rd Person Plural,56914,,,,nort2774,toronzoni-1989
a˥la˩,,3p-p,3rd Person Plural,56913,,,,nort2774,toronzoni-1989
