word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
à,,2sg_a,2nd Person Singular,45618,,,,sout2778,tucker-1995
ndɔ̀,,3sg_n_p,3rd Person Singular Neuter,45599,,,,sout2778,tucker-1995
à,,3p-s,3rd Person Plural,45593,,,,sout2778,tucker-1995
là,,2pl_s,2nd Person Plural,45609,,,,sout2778,tucker-1995
à,,3d-a,3rd Person Dual,45598,,,,sout2778,tucker-1995
ndá,,3d-o,3rd Person Dual,45596,,,,sout2778,tucker-1995
ndà ,,3d-p,3rd Person Dual,45595,,,,sout2778,tucker-1995
à,,3p-a,3rd Person Plural,45594,,,,sout2778,tucker-1995
à,,3d-s,3rd Person Dual,45597,,,,sout2778,tucker-1995
ɲá,,2pl_o,2nd Person Plural,45608,,,,sout2778,tucker-1995
ndú,,3sg_m_o,3rd Person Singular Masculine,45604,,,,sout2778,tucker-1995
ndɔ̀,,3sg_m_p,3rd Person Singular Masculine,45603,,,,sout2778,tucker-1995
ò,,3sg_n_a,3rd Person Singular Neuter,45602,,,,sout2778,tucker-1995
ò,,3sg_n_s,3rd Person Singular Neuter,45601,,,,sout2778,tucker-1995
ndú,,3sg_n_o,3rd Person Singular Neuter,45600,,,,sout2778,tucker-1995
ɲà,,2pl_p,2nd Person Plural,45607,,,,sout2778,tucker-1995
ò,,3sg_m_s,3rd Person Singular Masculine,45605,,,,sout2778,tucker-1995
ò,,3sg_m_a,3rd Person Singular Masculine,45606,,,,sout2778,tucker-1995
là,,2du_a,2nd Person Dual,45614,,,,sout2778,tucker-1995
là,,2pl_a,2nd Person Plural,45610,,,,sout2778,tucker-1995
à,,2sg_s,2nd Person Singular,45617,,,,sout2778,tucker-1995
là,,2du_s,2nd Person Dual,45613,,,,sout2778,tucker-1995
ɲà,,2du_p,2nd Person Dual,45611,,,,sout2778,tucker-1995
ɲá,,2du_o,2nd Person Dual,45612,,,,sout2778,tucker-1995
nùm,,2sg_o,2nd Person Singular,45616,,,,sout2778,tucker-1995
nùm ,,2sg_p,2nd Person Singular,45615,,,,sout2778,tucker-1995
ŋ́,,12pl_a,1st (incl) Person Plural,45622,,,,sout2778,tucker-1995
ndá,,3p-o,3rd Person Plural,45592,,,,sout2778,tucker-1995
náá,,12pl_o,1st (incl) Person Plural,45620,,,,sout2778,tucker-1995
nàà,,12pl_p,1st (incl) Person Plural,45619,,,,sout2778,tucker-1995
ŋ́,,12pl_s,1st (incl) Person Plural,45621,,,,sout2778,tucker-1995
ndà ,,3p-p,3rd Person Plural,45591,,,,sout2778,tucker-1995
ŋ́,,1du_a,1st (excl) Person Dual,45634,,,,sout2778,tucker-1995
ŋ́,,1du_s,1st (excl) Person Dual,45633,,,,sout2778,tucker-1995
