word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mun˩;;1sg_a;1st (excl) Person Singular;58730;;;;tika1246;stanley-1991
mun˩;;1sg_s;1st (excl) Person Singular;58729;;;;tika1246;stanley-1991
mun˩;;1sg_o;1st (excl) Person Singular;58728;;;;tika1246;stanley-1991
ɲɛm˩;;1sg_p;1st (excl) Person Singular;58727;;;;tika1246;stanley-1991
ɓwiʔ˧;;1du_a;1st (excl) Person Dual;58726;;;;tika1246;stanley-1991
ɓwiʔ˧;;1du_s;1st (excl) Person Dual;58725;;;;tika1246;stanley-1991
ɓwiʔ˧;;1du_o;1st (excl) Person Dual;58724;;;;tika1246;stanley-1991
ɲɛʔ˩;;1du_p;1st (excl) Person Dual;58723;;;;tika1246;stanley-1991
ɓwiʔ˧;;1pl_a;1st (excl) Person Plural;58722;;;;tika1246;stanley-1991
ɓwiʔ˧;;1pl_s;1st (excl) Person Plural;58721;;;;tika1246;stanley-1991
ɓwiʔ˧;;1pl_o;1st (excl) Person Plural;58720;;;;tika1246;stanley-1991
ɲɛʔ˩;;1pl_p;1st (excl) Person Plural;58719;;;;tika1246;stanley-1991
ɓwiʔ˧;;12du_a;1st (incl) Person Dual;58718;;;;tika1246;stanley-1991
ɓwiʔ˧;;12du_s;1st (incl) Person Dual;58717;;;;tika1246;stanley-1991
ɓwiʔ˧;;12du_o;1st (incl) Person Dual;58716;;;;tika1246;stanley-1991
ɲɛʔ˩;;12du_p;1st (incl) Person Dual;58715;;;;tika1246;stanley-1991
ɓwiʔ˧;;12pl_a;1st (incl) Person Plural;58714;;;;tika1246;stanley-1991
ɓwiʔ˧;;12pl_s;1st (incl) Person Plural;58713;;;;tika1246;stanley-1991
ɓwiʔ˧;;12pl_o;1st (incl) Person Plural;58712;;;;tika1246;stanley-1991
ɲɛʔ˩;;12pl_p;1st (incl) Person Plural;58711;;;;tika1246;stanley-1991
wu˩;;2sg_a;2nd Person Singular;58710;;;;tika1246;stanley-1991
wu˩;;2sg_s;2nd Person Singular;58709;;;;tika1246;stanley-1991
wu˩;;2sg_o;2nd Person Singular;58708;;;;tika1246;stanley-1991
ɲwu˩;;2sg_p;2nd Person Singular;58707;;;;tika1246;stanley-1991
ɓyin˧;;2du_a;2nd Person Dual;58706;;;;tika1246;stanley-1991
ɓyin˧;;2du_s;2nd Person Dual;58705;;;;tika1246;stanley-1991
ɓyin˧;;2du_o;2nd Person Dual;58704;;;;tika1246;stanley-1991
ɲin˧;;2du_p;2nd Person Dual;58703;;;;tika1246;stanley-1991
ɓyin˧;;2pl_a;2nd Person Plural;58702;;;;tika1246;stanley-1991
ɓyin˧;;2pl_s;2nd Person Plural;58701;;;;tika1246;stanley-1991
ɓyin˧;;2pl_o;2nd Person Plural;58700;;;;tika1246;stanley-1991
ɲin˧;;2pl_p;2nd Person Plural;58699;;;;tika1246;stanley-1991
a˩;;3sg_m_a;3rd Person Singular Masculine;58698;;;;tika1246;stanley-1991
a˩;;3sg_m_s;3rd Person Singular Masculine;58697;;;;tika1246;stanley-1991
nun˧;;3sg_m_o;3rd Person Singular Masculine;58696;;;;tika1246;stanley-1991
ɲon˧;;3sg_m_p;3rd Person Singular Masculine;58695;;;;tika1246;stanley-1991
sɛ˧;;3sg_n_a;3rd Person Singular Neuter;58694;;;;tika1246;stanley-1991
sɛ˧;;3sg_n_s;3rd Person Singular Neuter;58693;;;;tika1246;stanley-1991
son˧;;3sg_n_o;3rd Person Singular Neuter;58692;;;;tika1246;stanley-1991
ʃon˧;;3sg_n_p;3rd Person Singular Neuter;58691;;;;tika1246;stanley-1991
ɓɛ˧;;3d-a;3rd Person Dual;58690;;;;tika1246;stanley-1991
ɓɛ˧;;3d-s;3rd Person Dual;58689;;;;tika1246;stanley-1991
ɓon˧;;3d-o;3rd Person Dual;58688;;;;tika1246;stanley-1991
ɲan˧;;3d-p;3rd Person Dual;58687;;;;tika1246;stanley-1991
ɓɛ˧;;3p-a;3rd Person Plural;58686;;;;tika1246;stanley-1991
ɓɛ˧;;3p-s;3rd Person Plural;58685;;;;tika1246;stanley-1991
ɓon˧;;3p-o;3rd Person Plural;58684;;;;tika1246;stanley-1991
ɲan˧;;3p-p;3rd Person Plural;58683;;;;tika1246;stanley-1991
