word;ipa;parameter;description;alternative;comment;translation;glottocode;source
miŋ;miŋ;1sg_a;1st singular transitive subject;;;;pare1266;Bhattacharya, Sudhibhushan. 1954. Studies in the Parengi language. Indian Linguistics 14. 45-63.
miŋ;miŋ;1sg_s;1st singular intransitive subject;;;;pare1266;
e-niŋ;e-niŋ;1sg_o;1st singular transitive object;;;;pare1266;
niŋ-nu;niŋ-nu;1sg_p;1st singular possessive;;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;12du_a;1st dual inclusive transitive subject;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;12du_s;1st dual inclusive intransitive subject;bileŋ is the alternative form;;;pare1266;
e-biloŋ;e-biloŋ;12du_o;1st dual inclusive transitive object;bileŋ is the alternative form;;;pare1266;
biloŋ-nu;biloŋ-nu;12du_p;1st dual inclusive possessive;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;1du_a;1st dual exclusive transitive subject;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;1du_s;1st dual exclusive intransitive subject;bileŋ is the alternative form;;;pare1266;
e-biloŋ;e-biloŋ;1du_o;1st dual exclusive transitive object;bileŋ is the alternative form;;;pare1266;
biloŋ-nu;biloŋ-nu;1du_p;1st dual exclusive possessive;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;12pl_a;1st plural inclusive transitive subject;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;12pl_s;1st plural inclusive intransitive subject;bileŋ is the alternative form;;;pare1266;
e-biloŋ;e-biloŋ;12pl_o;1st plural inclusive transitive object;bileŋ is the alternative form;;;pare1266;
biloŋ-nu;biloŋ-nu;12pl_p;1st plural inclusive possessive;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;1pl_a;1st plural exclusive transitive subject;bileŋ is the alternative form;;;pare1266;
biloŋ, bileŋ;biloŋ, bileŋ;1pl_s;1st plural exclusive intransitive subject;bileŋ is the alternative form;;;pare1266;
e-biloŋ;e-biloŋ;1pl_o;1st plural exclusive transitive object;bileŋ is the alternative form;;;pare1266;
biloŋ-nu;biloŋ-nu;1pl_p;1st plural exclusive possessive;bileŋ is the alternative form;;;pare1266;
māŋ;māŋ;2sg_a;2nd singular transitive subject;;;;pare1266;
māŋ;māŋ;2sg_s;2nd singular intransitive subject;;;;pare1266;
e-nom;e-nom;2sg_o;2nd singular transitive object;;;;pare1266;
nom-ŋu;nom-ŋu;2sg_p;2nd singular possessive;;;;pare1266;
be;be;2du_a;2nd dual transitive subject;;;;pare1266;
be;be;2du_s;2nd dual intransitive subject;;;;pare1266;
e-be;e-be;2du_o;2nd dual transitive object;;;;pare1266;
be-ŋu;be-ŋu;2du_p;2nd dual possessive;;;;pare1266;
be;be;2pl_a;2nd plural transitive subject;;;;pare1266;
be;be;2pl_s;2nd plural intransitive subject;;;;pare1266;
e-be;e-be;2pl_o;2nd plural transitive object;;;;pare1266;
be-ŋu;be-ŋu;2pl_p;2nd plural possessive;;;;pare1266;
nōn, nōnu;nōn, nōnu;3sg_m_a;3rd singular gender1 transitive subject;nōnu is an alternate form;;;pare1266;It's not clear if the alternate form is a gender distinction.
nōn, nōnu;nōn, nōnu;3sg_m_s;3rd singular gender1 intransitive subject;nōnu is an alternate form;;;pare1266;
e-nōn;e-nōn;3sg_m_o;3rd singular gender1 transitive object;nōnu is an alternate form;;;pare1266;
nōn-nu;nōn-nu;3sg_m_p;3rd singular gender1 possessive;nōnu is an alternate form;;;pare1266;
nōn, nōnu;nōn, nōnu;3sg_f_a;3rd singular gender2 transitive subject;nōnu is an alternate form;;;pare1266;
nōn, nōnu;nōn, nōnu;3sg_f_s;3rd singular gender2 intransitive subject;nōnu is an alternate form;;;pare1266;
e-nōn;e-nōn;3sg_f_o;3rd singular gender2 transitive object;nōnu is an alternate form;;;pare1266;
nōn-nu;nōn-nu;3sg_f_p;3rd singular gender2 possessive;nōnu is an alternate form;;;pare1266;
nongi;nongi;3d-a;3rd dual transitive subject;noŋgi is an alternate form;;;pare1266;
nongi;nongi;3d-s;3rd dual intransitive subject;noŋgi is an alternate form;;;pare1266;
e-nongi;e-nongi;3d-o;3rd dual transitive object;noŋgi is an alternate form;;;pare1266;
nongi-nu;nongi-nu;3d-p;3rd dual possessive;noŋgi is an alternate form;;;pare1266;
nongi;nongi;3p-a;3rd plural transitive subject;noŋgi is an alternate form;;;pare1266;
nongi;nongi;3p-s;3rd plural intransitive subject;noŋgi is an alternate form;;;pare1266;
e-nongi;e-nongi;3p-o;3rd plural transitive object;noŋgi is an alternate form;;;pare1266;
nongi-nu;nongi-nu;3p-p;3rd plural possessive;noŋgi is an alternate form;;;pare1266;
