word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
au,,1sg_a,1st (excl) Person Singular,27892,,,,amar1273,grimes-et-at-2013
au,,1sg_s,1st (excl) Person Singular,27893,,,,amar1273,grimes-et-at-2013
=kau,,1sg_o,1st (excl) Person Singular,27894,,,,amar1273,grimes-et-at-2013
au,,1sg_p,1st (excl) Person Singular,27895,,,,amar1273,grimes-et-at-2013
hai,,1du_a,1st (excl) Person Dual,27896,,,,amar1273,grimes-et-at-2013
hai,,1du_s,1st (excl) Person Dual,27897,,,,amar1273,grimes-et-at-2013
=kai,,1du_o,1st (excl) Person Dual,27898,,,,amar1273,grimes-et-at-2013
hai,,1du_p,1st (excl) Person Dual,27899,,,,amar1273,grimes-et-at-2013
hai,,1pl_a,1st (excl) Person Plural,27900,,,,amar1273,grimes-et-at-2013
hai,,1pl_s,1st (excl) Person Plural,27901,,,,amar1273,grimes-et-at-2013
=kai,,1pl_o,1st (excl) Person Plural,27902,,,,amar1273,grimes-et-at-2013
hai,,1pl_p,1st (excl) Person Plural,27903,,,,amar1273,grimes-et-at-2013
hit,,12du_a,1st (incl) Person Dual,27904,,,,amar1273,grimes-et-at-2013
hit,,12du_s,1st (incl) Person Dual,27905,,,,amar1273,grimes-et-at-2013
=kit,,12du_o,1st (incl) Person Dual,27906,,,,amar1273,grimes-et-at-2013
hit,,12du_p,1st (incl) Person Dual,27907,,,,amar1273,grimes-et-at-2013
hit,,12pl_a,1st (incl) Person Plural,27908,,,,amar1273,grimes-et-at-2013
hit,,12pl_s,1st (incl) Person Plural,27909,,,,amar1273,grimes-et-at-2013
=kit,,12pl_o,1st (incl) Person Plural,27910,,,,amar1273,grimes-et-at-2013
hit,,12pl_p,1st (incl) Person Plural,27911,,,,amar1273,grimes-et-at-2013
ho,,2sg_a,2nd Person Singular,27912,,,,amar1273,grimes-et-at-2013
ho,,2sg_s,2nd Person Singular,27913,,,,amar1273,grimes-et-at-2013
=ko,,2sg_o,2nd Person Singular,27914,,,,amar1273,grimes-et-at-2013
ho,,2sg_p,2nd Person Singular,27915,,,,amar1273,grimes-et-at-2013
hi,,2du_a,2nd Person Dual,27916,,,,amar1273,grimes-et-at-2013
hi,,2du_s,2nd Person Dual,27917,,,,amar1273,grimes-et-at-2013
=ki,,2du_o,2nd Person Dual,27918,,,,amar1273,grimes-et-at-2013
hi,,2du_p,2nd Person Dual,27919,,,,amar1273,grimes-et-at-2013
hi,,2pl_a,2nd Person Plural,27920,,,,amar1273,grimes-et-at-2013
hi,,2pl_s,2nd Person Plural,27921,,,,amar1273,grimes-et-at-2013
=ki,,2pl_o,2nd Person Plural,27922,,,,amar1273,grimes-et-at-2013
hi,,2pl_p,2nd Person Plural,27923,,,,amar1273,grimes-et-at-2013
in,,3sg_m_a,3rd Person Singular Masculine,27924,,,,amar1273,grimes-et-at-2013
in,,3sg_m_s,3rd Person Singular Masculine,27925,,,,amar1273,grimes-et-at-2013
=e,,3sg_m_o,3rd Person Singular Masculine,27926,,,,amar1273,grimes-et-at-2013
