word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
taku;;1sg_a;1st (excl) Person Singular;48382;;;;gapa1238;lynch-et-al-2002
taku;;1sg_s;1st (excl) Person Singular;48381;;;;gapa1238;lynch-et-al-2002
taku;;1sg_o;1st (excl) Person Singular;48380;;;;gapa1238;lynch-et-al-2002
-ku;;1sg_p;1st (excl) Person Singular;48379;;;;gapa1238;lynch-et-al-2002
tokai;;1du_a;1st (excl) Person Dual;48378;;;;gapa1238;lynch-et-al-2002
tokai;;1du_s;1st (excl) Person Dual;48377;;;;gapa1238;lynch-et-al-2002
tokai;;1du_o;1st (excl) Person Dual;48376;;;;gapa1238;lynch-et-al-2002
-kai;;1du_p;1st (excl) Person Dual;48375;;;;gapa1238;lynch-et-al-2002
tokai;;1pl_a;1st (excl) Person Plural;48374;;;;gapa1238;lynch-et-al-2002
tokai;;1pl_s;1st (excl) Person Plural;48373;;;;gapa1238;lynch-et-al-2002
tokai;;1pl_o;1st (excl) Person Plural;48372;;;;gapa1238;lynch-et-al-2002
-kai;;1pl_p;1st (excl) Person Plural;48371;;;;gapa1238;lynch-et-al-2002
tota;;12du_a;1st (incl) Person Dual;48370;;;;gapa1238;lynch-et-al-2002
tota;;12du_s;1st (incl) Person Dual;48369;;;;gapa1238;lynch-et-al-2002
tota;;12du_o;1st (incl) Person Dual;48368;;;;gapa1238;lynch-et-al-2002
-ta;;12du_p;1st (incl) Person Dual;48367;;;;gapa1238;lynch-et-al-2002
tota;;12pl_a;1st (incl) Person Plural;48366;;;;gapa1238;lynch-et-al-2002
tota;;12pl_s;1st (incl) Person Plural;48365;;;;gapa1238;lynch-et-al-2002
tota;;12pl_o;1st (incl) Person Plural;48364;;;;gapa1238;lynch-et-al-2002
-ta;;12pl_p;1st (incl) Person Plural;48363;;;;gapa1238;lynch-et-al-2002
tam;;2sg_a;2nd Person Singular;48362;;;;gapa1238;lynch-et-al-2002
tam;;2sg_s;2nd Person Singular;48361;;;;gapa1238;lynch-et-al-2002
tam;;2sg_o;2nd Person Singular;48360;;;;gapa1238;lynch-et-al-2002
-m;;2sg_p;2nd Person Singular;48359;;;;gapa1238;lynch-et-al-2002
tami;;2du_a;2nd Person Dual;48358;;;;gapa1238;lynch-et-al-2002
tami;;2du_s;2nd Person Dual;48357;;;;gapa1238;lynch-et-al-2002
tami;;2du_o;2nd Person Dual;48356;;;;gapa1238;lynch-et-al-2002
-mi;;2du_p;2nd Person Dual;48355;;;;gapa1238;lynch-et-al-2002
tami;;2pl_a;2nd Person Plural;48354;;;;gapa1238;lynch-et-al-2002
tami;;2pl_s;2nd Person Plural;48353;;;;gapa1238;lynch-et-al-2002
tami;;2pl_o;2nd Person Plural;48352;;;;gapa1238;lynch-et-al-2002
-mi;;2pl_p;2nd Person Plural;48351;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_m_a;3rd Person Singular Masculine;48350;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_m_s;3rd Person Singular Masculine;48349;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_m_o;3rd Person Singular Masculine;48348;;;;gapa1238;lynch-et-al-2002
-na;;3sg_m_p;3rd Person Singular Masculine;48347;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_n_a;3rd Person Singular Neuter;48346;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_n_s;3rd Person Singular Neuter;48345;;;;gapa1238;lynch-et-al-2002
tuna;;3sg_n_o;3rd Person Singular Neuter;48344;;;;gapa1238;lynch-et-al-2002
-na;;3sg_n_p;3rd Person Singular Neuter;48343;;;;gapa1238;lynch-et-al-2002
ti;;3d-a;3rd Person Dual;48342;;;;gapa1238;lynch-et-al-2002
ti;;3d-s;3rd Person Dual;48341;;;;gapa1238;lynch-et-al-2002
ti;;3d-o;3rd Person Dual;48340;;;;gapa1238;lynch-et-al-2002
-si;;3d-p;3rd Person Dual;48339;;;;gapa1238;lynch-et-al-2002
ti;;3p-a;3rd Person Plural;48338;;;;gapa1238;lynch-et-al-2002
ti;;3p-s;3rd Person Plural;48337;;;;gapa1238;lynch-et-al-2002
ti;;3p-o;3rd Person Plural;48336;;;;gapa1238;lynch-et-al-2002
-si;;3p-p;3rd Person Plural;48335;;;;gapa1238;lynch-et-al-2002
