word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
aku,,1sg_a,1st (excl) Person Singular,59886,,,,indo1316,quinn
aku,,1sg_s,1st (excl) Person Singular,59885,,,,indo1316,quinn
aku,,1sg_o,1st (excl) Person Singular,59884,,,,indo1316,quinn
aku,,1sg_p,1st (excl) Person Singular,59883,,,,indo1316,quinn
kita,,1du_a,1st (excl) Person Dual,59882,,,,indo1316,quinn
kita,,1du_s,1st (excl) Person Dual,59881,,,,indo1316,quinn
kita,,1du_o,1st (excl) Person Dual,59880,,,,indo1316,quinn
kita,,1du_p,1st (excl) Person Dual,59879,,,,indo1316,quinn
kita,,1pl_a,1st (excl) Person Plural,59878,,,,indo1316,quinn
kita,,1pl_s,1st (excl) Person Plural,59877,,,,indo1316,quinn
kita,,1pl_o,1st (excl) Person Plural,59876,,,,indo1316,quinn
kita,,1pl_p,1st (excl) Person Plural,59875,,,,indo1316,quinn
kami,,12du_a,1st (incl) Person Dual,59874,,,,indo1316,quinn
kami,,12du_s,1st (incl) Person Dual,59873,,,,indo1316,quinn
kami,,12du_o,1st (incl) Person Dual,59872,,,,indo1316,quinn
kami,,12du_p,1st (incl) Person Dual,59871,,,,indo1316,quinn
kami,,12pl_a,1st (incl) Person Plural,59870,,,,indo1316,quinn
kami,,12pl_s,1st (incl) Person Plural,59869,,,,indo1316,quinn
kami,,12pl_o,1st (incl) Person Plural,59868,,,,indo1316,quinn
kami,,12pl_p,1st (incl) Person Plural,59867,,,,indo1316,quinn
kamu,,2sg_a,2nd Person Singular,59866,,,,indo1316,quinn
kamu,,2sg_s,2nd Person Singular,59865,,,,indo1316,quinn
kamu,,2sg_o,2nd Person Singular,59864,,,,indo1316,quinn
kamu,,2sg_p,2nd Person Singular,59863,,,,indo1316,quinn
kalian,,2du_a,2nd Person Dual,59862,,,,indo1316,quinn
kalian,,2du_s,2nd Person Dual,59861,,,,indo1316,quinn
kalian,,2du_o,2nd Person Dual,59860,,,,indo1316,quinn
kalian,,2du_p,2nd Person Dual,59859,,,,indo1316,quinn
kalian,,2pl_a,2nd Person Plural,59858,,,,indo1316,quinn
kalian,,2pl_s,2nd Person Plural,59857,,,,indo1316,quinn
kalian,,2pl_o,2nd Person Plural,59856,,,,indo1316,quinn
kalian,,2pl_p,2nd Person Plural,59855,,,,indo1316,quinn
dia,,3sg_m_a,3rd Person Singular Masculine,59854,,,,indo1316,quinn
dia,,3sg_m_s,3rd Person Singular Masculine,59853,,,,indo1316,quinn
dia,,3sg_m_o,3rd Person Singular Masculine,59852,,,,indo1316,quinn
dia,,3sg_m_p,3rd Person Singular Masculine,59851,,,,indo1316,quinn
dia,,3sg_n_a,3rd Person Singular Neuter,59850,,,,indo1316,quinn
dia,,3sg_n_s,3rd Person Singular Neuter,59849,,,,indo1316,quinn
dia,,3sg_n_o,3rd Person Singular Neuter,59848,,,,indo1316,quinn
dia,,3sg_n_p,3rd Person Singular Neuter,59847,,,,indo1316,quinn
mereka,,3d-a,3rd Person Dual,59846,,,,indo1316,quinn
mereka,,3d-s,3rd Person Dual,59845,,,,indo1316,quinn
mereka,,3d-o,3rd Person Dual,59844,,,,indo1316,quinn
mereka,,3d-p,3rd Person Dual,59843,,,,indo1316,quinn
mereka,,3p-a,3rd Person Plural,59842,,,,indo1316,quinn
mereka,,3p-s,3rd Person Plural,59841,,,,indo1316,quinn
mereka,,3p-o,3rd Person Plural,59840,,,,indo1316,quinn
mereka,,3p-p,3rd Person Plural,59839,,,,indo1316,quinn
