word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
kɔw ;;1sg_a;1st (excl) Person Singular;51394;;;;jara1266;jensen-2014
kɔw ;;1sg_s;1st (excl) Person Singular;51393;;;;jara1266;jensen-2014
kɔw ;;1sg_o;1st (excl) Person Singular;51392;;;;jara1266;jensen-2014
kɔw ;;1sg_p;1st (excl) Person Singular;51391;;;;jara1266;jensen-2014
gəməj ;;1du_a;1st (excl) Person Dual;51390;;;;jara1266;jensen-2014
gəməj ;;1du_s;1st (excl) Person Dual;51389;;;;jara1266;jensen-2014
gəməj ;;1du_o;1st (excl) Person Dual;51388;;;;jara1266;jensen-2014
gəməj ;;1du_p;1st (excl) Person Dual;51387;;;;jara1266;jensen-2014
gəməj ;;1pl_a;1st (excl) Person Plural;51386;;;;jara1266;jensen-2014
gəməj ;;1pl_s;1st (excl) Person Plural;51385;;;;jara1266;jensen-2014
gəməj ;;1pl_o;1st (excl) Person Plural;51384;;;;jara1266;jensen-2014
gəməj ;;1pl_p;1st (excl) Person Plural;51383;;;;jara1266;jensen-2014
ta;;12du_a;1st (incl) Person Dual;51382;;;;jara1266;jensen-2014
ta;;12du_s;1st (incl) Person Dual;51381;;;;jara1266;jensen-2014
ta;;12du_o;1st (incl) Person Dual;51380;;;;jara1266;jensen-2014
ta;;12du_p;1st (incl) Person Dual;51379;;;;jara1266;jensen-2014
ta;;12pl_a;1st (incl) Person Plural;51378;;;;jara1266;jensen-2014
ta;;12pl_s;1st (incl) Person Plural;51377;;;;jara1266;jensen-2014
ta;;12pl_o;1st (incl) Person Plural;51376;;;;jara1266;jensen-2014
ta;;12pl_p;1st (incl) Person Plural;51375;;;;jara1266;jensen-2014
ih;;2sg_a;2nd Person Singular;51374;;;;jara1266;jensen-2014
ih;;2sg_s;2nd Person Singular;51373;;;;jara1266;jensen-2014
ih;;2sg_o;2nd Person Singular;51372;;;;jara1266;jensen-2014
ih;;2sg_p;2nd Person Singular;51371;;;;jara1266;jensen-2014
gih;;2du_a;2nd Person Dual;51370;;;;jara1266;jensen-2014
gih;;2du_s;2nd Person Dual;51369;;;;jara1266;jensen-2014
gih;;2du_o;2nd Person Dual;51368;;;;jara1266;jensen-2014
gih;;2du_p;2nd Person Dual;51367;;;;jara1266;jensen-2014
gih;;2pl_a;2nd Person Plural;51366;;;;jara1266;jensen-2014
gih;;2pl_s;2nd Person Plural;51365;;;;jara1266;jensen-2014
gih;;2pl_o;2nd Person Plural;51364;;;;jara1266;jensen-2014
gih;;2pl_p;2nd Person Plural;51363;;;;jara1266;jensen-2014
ɲu;;3sg_m_a;3rd Person Singular Masculine;51362;;;;jara1266;jensen-2014
ɲu;;3sg_m_s;3rd Person Singular Masculine;51361;;;;jara1266;jensen-2014
ɲu;;3sg_m_o;3rd Person Singular Masculine;51360;;;;jara1266;jensen-2014
ɲu;;3sg_m_p;3rd Person Singular Masculine;51359;;;;jara1266;jensen-2014
ɲu;;3sg_n_a;3rd Person Singular Neuter;51358;;;;jara1266;jensen-2014
ɲu;;3sg_n_s;3rd Person Singular Neuter;51357;;;;jara1266;jensen-2014
ɲu;;3sg_n_o;3rd Person Singular Neuter;51356;;;;jara1266;jensen-2014
ɲu;;3sg_n_p;3rd Person Singular Neuter;51355;;;;jara1266;jensen-2014
gəɲu;;3d-a;3rd Person Dual;51354;;;;jara1266;jensen-2014
gəɲu;;3d-s;3rd Person Dual;51353;;;;jara1266;jensen-2014
gəɲu;;3d-o;3rd Person Dual;51352;;;;jara1266;jensen-2014
gəɲu;;3d-p;3rd Person Dual;51351;;;;jara1266;jensen-2014
gəɲu;;3p-a;3rd Person Plural;51350;;;;jara1266;jensen-2014
gəɲu;;3p-s;3rd Person Plural;51349;;;;jara1266;jensen-2014
gəɲu;;3p-o;3rd Person Plural;51348;;;;jara1266;jensen-2014
gəɲu;;3p-p;3rd Person Plural;51347;;;;jara1266;jensen-2014
