word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
nau;;1sg_a;1st (excl) Person Singular;34212;;;;long1395;hill-1992
nau;;1sg_s;1st (excl) Person Singular;34214;;;;long1395;hill-1992
nau;;1sg_o;1st (excl) Person Singular;34216;;;;long1395;hill-1992
nau, -gu;;1sg_p;1st (excl) Person Singular;34217;;;;long1395;hill-1992
amerua;;1du_a;1st (excl) Person Dual;34218;;;;long1395;hill-1992
amerua;;1du_s;1st (excl) Person Dual;34219;;;;long1395;hill-1992
amerua;;1du_o;1st (excl) Person Dual;34220;;;;long1395;hill-1992
amerua, -mamerua;;1du_p;1st (excl) Person Dual;34221;;;;long1395;hill-1992
ami;;1pl_a;1st (excl) Person Plural;34222;;;;long1395;hill-1992
ami;;1pl_s;1st (excl) Person Plural;34223;;;;long1395;hill-1992
ami;;1pl_o;1st (excl) Person Plural;34224;;;;long1395;hill-1992
ami, -mami;;1pl_p;1st (excl) Person Plural;34225;;;;long1395;hill-1992
gaoa;;12du_a;1st (incl) Person Dual;34226;;;;long1395;hill-1992
ga;;12du_a;1st (incl) Person Dual;34227;;;;long1395;hill-1992
gaoa;;12du_s;1st (incl) Person Dual;34228;;;;long1395;hill-1992
ga;;12du_s;1st (incl) Person Dual;34229;;;;long1395;hill-1992
gaoa;;12du_o;1st (incl) Person Dual;34230;;;;long1395;hill-1992
ga;;12du_o;1st (incl) Person Dual;34231;;;;long1395;hill-1992
ga, gaoa, -garua;;12du_p;1st (incl) Person Dual;34232;;;;long1395;hill-1992
gia;;12pl_a;1st (incl) Person Plural;34233;;;;long1395;hill-1992
gia;;12pl_s;1st (incl) Person Plural;34234;;;;long1395;hill-1992
gia;;12pl_o;1st (incl) Person Plural;34235;;;;long1395;hill-1992
gia, -ga;;12pl_p;1st (incl) Person Plural;34236;;;;long1395;hill-1992
oe;;2sg_a;2nd Person Singular;34237;;;;long1395;hill-1992
oe;;2sg_s;2nd Person Singular;34239;;;;long1395;hill-1992
oe;;2sg_o;2nd Person Singular;34241;;;;long1395;hill-1992
oe, -mu;;2sg_p;2nd Person Singular;34242;;;;long1395;hill-1992
amurua;;2du_a;2nd Person Dual;34243;;;;long1395;hill-1992
amurua;;2du_s;2nd Person Dual;34244;;;;long1395;hill-1992
amurua;;2du_o;2nd Person Dual;34245;;;;long1395;hill-1992
amurua, -miurua;;2du_p;2nd Person Dual;34246;;;;long1395;hill-1992
amu;;2pl_a;2nd Person Plural;34247;;;;long1395;hill-1992
amu;;2pl_s;2nd Person Plural;34248;;;;long1395;hill-1992
amu;;2pl_o;2nd Person Plural;34249;;;;long1395;hill-1992
amu, -miu;;2pl_p;2nd Person Plural;34250;;;;long1395;hill-1992
ŋaia;;3sg_m_a;3rd Person Singular Masculine;34251;;;;long1395;hill-1992
ŋaia;;3sg_m_s;3rd Person Singular Masculine;34253;;;;long1395;hill-1992
ŋaia;;3sg_m_o;3rd Person Singular Masculine;34255;;;;long1395;hill-1992
ŋaia, -na;;3sg_m_p;3rd Person Singular Masculine;34256;;;;long1395;hill-1992
ŋaia;;3sg_f_a;3rd Person Singular Feminine;34257;;;;long1395;hill-1992
e;;3sg_f_a;3rd Person Singular Feminine;34258;;;;long1395;hill-1992
ŋaia;;3sg_f_s;3rd Person Singular Feminine;34259;;;;long1395;hill-1992
e;;3sg_f_s;3rd Person Singular Feminine;34260;;;;long1395;hill-1992
ŋaia;;3sg_f_o;3rd Person Singular Feminine;34261;;;;long1395;hill-1992
-na;;3sg_f_p;3rd Person Singular Feminine;34262;;;;long1395;hill-1992
