word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
"kita, saya, beta",,1sg_a,1st (excl) Person Singular,61367,,kita is informal; saya and beta are formal forms.,,nort2828,taylor-1983
"kita, saya, beta",,1sg_s,1st (excl) Person Singular,61366,,kita is informal; saya and beta are formal forms.,,nort2828,taylor-1983
"kita, saya, beta",,1sg_o,1st (excl) Person Singular,61365,,kita is informal; saya and beta are formal forms.,,nort2828,taylor-1983
"kita, saya, beta",,1sg_p,1st (excl) Person Singular,61364,,kita is informal; saya and beta are formal forms.,,nort2828,taylor-1983
kitorang,,1du_a,1st (excl) Person Dual,61363,,,,nort2828,taylor-1983
kitorang,,1du_s,1st (excl) Person Dual,61362,,,,nort2828,taylor-1983
kitorang,,1du_o,1st (excl) Person Dual,61361,,,,nort2828,taylor-1983
kitorang,,1du_p,1st (excl) Person Dual,61360,,,,nort2828,taylor-1983
kitorang,,1pl_a,1st (excl) Person Plural,61359,,,,nort2828,taylor-1983
kitorang,,1pl_s,1st (excl) Person Plural,61358,,,,nort2828,taylor-1983
kitorang,,1pl_o,1st (excl) Person Plural,61357,,,,nort2828,taylor-1983
kitorang,,1pl_p,1st (excl) Person Plural,61356,,,,nort2828,taylor-1983
kitorang,,12du_a,1st (incl) Person Dual,61355,,,,nort2828,taylor-1983
kitorang,,12du_s,1st (incl) Person Dual,61354,,,,nort2828,taylor-1983
kitorang,,12du_o,1st (incl) Person Dual,61353,,,,nort2828,taylor-1983
kitorang,,12du_p,1st (incl) Person Dual,61352,,,,nort2828,taylor-1983
kitorang,,12pl_a,1st (incl) Person Plural,61351,,,,nort2828,taylor-1983
kitorang,,12pl_s,1st (incl) Person Plural,61350,,,,nort2828,taylor-1983
kitorang,,12pl_o,1st (incl) Person Plural,61349,,,,nort2828,taylor-1983
kitorang,,12pl_p,1st (incl) Person Plural,61348,,,,nort2828,taylor-1983
ngana,,2sg_a,2nd Person Singular,61347,,,,nort2828,taylor-1983
ngana,,2sg_s,2nd Person Singular,61346,,,,nort2828,taylor-1983
ngana,,2sg_o,2nd Person Singular,61345,,,,nort2828,taylor-1983
ngana,,2sg_p,2nd Person Singular,61344,,,,nort2828,taylor-1983
ngoni,,2du_a,2nd Person Dual,61343,,,,nort2828,taylor-1983
ngoni,,2du_s,2nd Person Dual,61342,,,,nort2828,taylor-1983
ngoni,,2du_o,2nd Person Dual,61341,,,,nort2828,taylor-1983
ngoni,,2du_p,2nd Person Dual,61340,,,,nort2828,taylor-1983
ngoni,,2pl_a,2nd Person Plural,61339,,,,nort2828,taylor-1983
ngoni,,2pl_s,2nd Person Plural,61338,,,,nort2828,taylor-1983
ngoni,,2pl_o,2nd Person Plural,61337,,,,nort2828,taylor-1983
ngoni,,2pl_p,2nd Person Plural,61336,,,,nort2828,taylor-1983
dia,,3sg_m_a,3rd Person Singular Masculine,61335,,,,nort2828,taylor-1983
dia,,3sg_m_s,3rd Person Singular Masculine,61334,,,,nort2828,taylor-1983
dia,,3sg_m_o,3rd Person Singular Masculine,61333,,,,nort2828,taylor-1983
dia,,3sg_m_p,3rd Person Singular Masculine,61332,,,,nort2828,taylor-1983
dia,,3sg_n_a,3rd Person Singular Neuter,61331,,,,nort2828,taylor-1983
dia,,3sg_n_s,3rd Person Singular Neuter,61330,,,,nort2828,taylor-1983
dia,,3sg_n_o,3rd Person Singular Neuter,61329,,,,nort2828,taylor-1983
dia,,3sg_n_p,3rd Person Singular Neuter,61328,,,,nort2828,taylor-1983
"dia, dorang",,3d-a,3rd Person Dual,61327,,,,nort2828,taylor-1983
"dia, dorang",,3d-s,3rd Person Dual,61326,,,,nort2828,taylor-1983
"dia, dorang",,3d-o,3rd Person Dual,61325,,,,nort2828,taylor-1983
"dia, dorang",,3d-p,3rd Person Dual,61324,,,,nort2828,taylor-1983
"dia, dorang",,3p-a,3rd Person Plural,61323,,"dia is +human, dorang is -human.",,nort2828,taylor-1983
"dia, dorang",,3p-s,3rd Person Plural,61322,,"dia is +human, dorang is -human.",,nort2828,taylor-1983
"dia, dorang",,3p-o,3rd Person Plural,61321,,"dia is +human, dorang is -human.",,nort2828,taylor-1983
"dia, dorang",,3p-p,3rd Person Plural,61320,,,,nort2828,taylor-1983
