word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
kanku,,1sg_a,1st (excl) Person Singular,27127,,,,puyu1239,teng-2007
nanku,,1sg_s,1st (excl) Person Singular,27128,,,,puyu1239,teng-2007
kanku,,1sg_o,1st (excl) Person Singular,27129,,,,puyu1239,teng-2007
nanku,,1sg_p,1st (excl) Person Singular,27130,,,,puyu1239,teng-2007
kaniam,,1du_a,1st (excl) Person Dual,27131,,,,puyu1239,teng-2007
naniam,,1du_s,1st (excl) Person Dual,27132,,,,puyu1239,teng-2007
kaniam,,1du_o,1st (excl) Person Dual,27133,,,,puyu1239,teng-2007
naniam,,1du_p,1st (excl) Person Dual,27134,,,,puyu1239,teng-2007
kaniam,,1pl_a,1st (excl) Person Plural,27135,,,,puyu1239,teng-2007
naniam,,1pl_s,1st (excl) Person Plural,27136,,,,puyu1239,teng-2007
kaniam,,1pl_o,1st (excl) Person Plural,27137,,,,puyu1239,teng-2007
naniam,,1pl_p,1st (excl) Person Plural,27138,,,,puyu1239,teng-2007
kanta,,12du_a,1st (incl) Person Dual,27139,,,,puyu1239,teng-2007
nanta,,12du_s,1st (incl) Person Dual,27140,,,,puyu1239,teng-2007
kanta,,12du_o,1st (incl) Person Dual,27141,,,,puyu1239,teng-2007
nanta,,12du_p,1st (incl) Person Dual,27142,,,,puyu1239,teng-2007
kanta,,12pl_a,1st (incl) Person Plural,27143,,,,puyu1239,teng-2007
nanta,,12pl_s,1st (incl) Person Plural,27144,,,,puyu1239,teng-2007
kanta,,12pl_o,1st (incl) Person Plural,27145,,,,puyu1239,teng-2007
nanta,,12pl_p,1st (incl) Person Plural,27146,,,,puyu1239,teng-2007
kanu,,2sg_a,2nd Person Singular,27147,,,,puyu1239,teng-2007
nanu,,2sg_s,2nd Person Singular,27148,,,,puyu1239,teng-2007
kanu,,2sg_o,2nd Person Singular,27149,,,,puyu1239,teng-2007
nanu,,2sg_p,2nd Person Singular,27150,,,,puyu1239,teng-2007
kanemu,,2du_a,2nd Person Dual,27151,,,,puyu1239,teng-2007
nenemu,,2du_s,2nd Person Dual,27152,,,,puyu1239,teng-2007
kanemu,,2du_o,2nd Person Dual,27153,,,,puyu1239,teng-2007
nenemu,,2du_p,2nd Person Dual,27154,,,,puyu1239,teng-2007
kanemu,,2pl_a,2nd Person Plural,27155,,,,puyu1239,teng-2007
nenemu,,2pl_s,2nd Person Plural,27156,,,,puyu1239,teng-2007
kanemu,,2pl_o,2nd Person Plural,27157,,,,puyu1239,teng-2007
nenemu,,2pl_p,2nd Person Plural,27158,,,,puyu1239,teng-2007
