word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ngaang,,1sg_a,1st (excl) Person Singular,34030,,,,sata1237,roddy-2007
ngaang,,1sg_s,1st (excl) Person Singular,34031,,,,sata1237,roddy-2007
ngaang,,1sg_o,1st (excl) Person Singular,34032,,,,sata1237,roddy-2007
-i,,1sg_p,1st (excl) Person Singular,34033,,,,sata1237,roddy-2007
aemaem,,1du_a,1st (excl) Person Dual,34034,,,,sata1237,roddy-2007
aemaem,,1du_s,1st (excl) Person Dual,34035,,,,sata1237,roddy-2007
aemaem,,1du_o,1st (excl) Person Dual,34036,,,,sata1237,roddy-2007
-mem,,1du_p,1st (excl) Person Dual,34037,,,,sata1237,roddy-2007
aemaem,,1pl_a,1st (excl) Person Plural,34038,,,,sata1237,roddy-2007
aemaem,,1pl_s,1st (excl) Person Plural,34039,,,,sata1237,roddy-2007
aemaem,,1pl_o,1st (excl) Person Plural,34040,,,,sata1237,roddy-2007
-mem,,1pl_p,1st (excl) Person Plural,34041,,,,sata1237,roddy-2007
kiirh,,12du_a,1st (incl) Person Dual,34042,,,,sata1237,roddy-2007
kiirh,,12du_s,1st (incl) Person Dual,34043,,,,sata1237,roddy-2007
kiirh,,12du_o,1st (incl) Person Dual,34044,,,,sata1237,roddy-2007
-rh,,12du_p,1st (incl) Person Dual,34045,,,,sata1237,roddy-2007
kiirh,,12pl_a,1st (incl) Person Plural,34046,,,,sata1237,roddy-2007
kiirh,,12pl_s,1st (incl) Person Plural,34047,,,,sata1237,roddy-2007
kiirh,,12pl_o,1st (incl) Person Plural,34048,,,,sata1237,roddy-2007
-rh,,12pl_p,1st (incl) Person Plural,34049,,,,sata1237,roddy-2007
yeen,,2sg_a,2nd Person Singular,34050,,,,sata1237,roddy-2007
een,,2sg_a,2nd Person Singular,34051,,,,sata1237,roddy-2007
yeen,,2sg_s,2nd Person Singular,34052,,,,sata1237,roddy-2007
een,,2sg_s,2nd Person Singular,34053,,,,sata1237,roddy-2007
yeen,,2sg_o,2nd Person Singular,34054,,,,sata1237,roddy-2007
een,,2sg_o,2nd Person Singular,34055,,,,sata1237,roddy-2007
-mw,,2sg_p,2nd Person Singular,34056,,,,sata1237,roddy-2007
aemi,,2du_a,2nd Person Dual,34057,,,,sata1237,roddy-2007
aemi,,2du_s,2nd Person Dual,34058,,,,sata1237,roddy-2007
aemi,,2du_o,2nd Person Dual,34059,,,,sata1237,roddy-2007
-mi,,2du_p,2nd Person Dual,34060,,,,sata1237,roddy-2007
aemi,,2pl_a,2nd Person Plural,34061,,,,sata1237,roddy-2007
aemi,,2pl_s,2nd Person Plural,34062,,,,sata1237,roddy-2007
aemi,,2pl_o,2nd Person Plural,34063,,,,sata1237,roddy-2007
-mi,,2pl_p,2nd Person Plural,34064,,,,sata1237,roddy-2007
iy,,3sg_m_a,3rd Person Singular Masculine,34065,,,,sata1237,roddy-2007
iy,,3sg_m_s,3rd Person Singular Masculine,34066,,,,sata1237,roddy-2007
iy,,3sg_m_o,3rd Person Singular Masculine,34067,,,,sata1237,roddy-2007
-n,,3sg_m_p,3rd Person Singular Masculine,34068,,,,sata1237,roddy-2007
iy,,3sg_f_a,3rd Person Singular Feminine,34069,,,,sata1237,roddy-2007
iy,,3sg_f_s,3rd Person Singular Feminine,34070,,,,sata1237,roddy-2007
iy,,3sg_f_o,3rd Person Singular Feminine,34071,,,,sata1237,roddy-2007
-n,,3sg_f_p,3rd Person Singular Feminine,34072,,,,sata1237,roddy-2007
iy,,3sg_n_a,3rd Person Singular Neuter,34073,,,,sata1237,roddy-2007
iy,,3sg_n_s,3rd Person Singular Neuter,34074,,,,sata1237,roddy-2007
iy,,3sg_n_o,3rd Person Singular Neuter,34075,,,,sata1237,roddy-2007
-n,,3sg_n_p,3rd Person Singular Neuter,34076,,,,sata1237,roddy-2007
iir,,3du_m_a,3rd Person Dual Masculine,34077,,,,sata1237,roddy-2007
iir,,3du_m_s,3rd Person Dual Masculine,34078,,,,sata1237,roddy-2007
iir,,3du_m_o,3rd Person Dual Masculine,34079,,,,sata1237,roddy-2007
-Vr,,3du_m_p,3rd Person Dual Masculine,34080,,,,sata1237,roddy-2007
-r,,3du_m_p,3rd Person Dual Masculine,34081,,,,sata1237,roddy-2007
iir,,3du_f_a,3rd Person Dual Feminine,34082,,,,sata1237,roddy-2007
iir,,3du_f_s,3rd Person Dual Feminine,34083,,,,sata1237,roddy-2007
iir,,3du_f_o,3rd Person Dual Feminine,34084,,,,sata1237,roddy-2007
-Vr,,3du_f_p,3rd Person Dual Feminine,34085,,,,sata1237,roddy-2007
-r,,3du_f_p,3rd Person Dual Feminine,34086,,,,sata1237,roddy-2007
iir,,3du_n_a,3rd Person Dual Neuter,34087,,,,sata1237,roddy-2007
iir,,3du_n_s,3rd Person Dual Neuter,34088,,,,sata1237,roddy-2007
iir,,3du_n_o,3rd Person Dual Neuter,34089,,,,sata1237,roddy-2007
-Vr,,3du_n_p,3rd Person Dual Neuter,34090,,,,sata1237,roddy-2007
-r,,3du_n_p,3rd Person Dual Neuter,34091,,,,sata1237,roddy-2007
iir,,3pl_m_a,3rd Person Plural Masculine,34092,,,,sata1237,roddy-2007
iir,,3pl_m_s,3rd Person Plural Masculine,34093,,,,sata1237,roddy-2007
iir,,3pl_m_o,3rd Person Plural Masculine,34094,,,,sata1237,roddy-2007
-Vr,,3pl_m_p,3rd Person Plural Masculine,34095,,,,sata1237,roddy-2007
-r,,3pl_m_p,3rd Person Plural Masculine,34096,,,,sata1237,roddy-2007
iir,,3pl_f_a,3rd Person Plural Feminine,34097,,,,sata1237,roddy-2007
iir,,3pl_f_s,3rd Person Plural Feminine,34098,,,,sata1237,roddy-2007
iir,,3pl_f_o,3rd Person Plural Feminine,34099,,,,sata1237,roddy-2007
-Vr,,3pl_f_p,3rd Person Plural Feminine,34100,,,,sata1237,roddy-2007
-r,,3pl_f_p,3rd Person Plural Feminine,34101,,,,sata1237,roddy-2007
iir,,3pl_n_a,3rd Person Plural Neuter,34102,,,,sata1237,roddy-2007
iir,,3pl_n_s,3rd Person Plural Neuter,34103,,,,sata1237,roddy-2007
iir,,3pl_n_o,3rd Person Plural Neuter,34104,,,,sata1237,roddy-2007
-Vr,,3pl_n_p,3rd Person Plural Neuter,34105,,,,sata1237,roddy-2007
-r,,3pl_n_p,3rd Person Plural Neuter,34106,,,,sata1237,roddy-2007
iir,,3d-a,3rd Person Dual,36384,,,,sata1237,roddy-2007
iir,,3d-s,3rd Person Dual,36611,,,,sata1237,roddy-2007
iir,,3d-o,3rd Person Dual,36839,,,,sata1237,roddy-2007
-Vr,,3d-p,3rd Person Dual,37053,,,,sata1237,roddy-2007
-r,,3d-p,3rd Person Dual,37054,,,,sata1237,roddy-2007
iir,,3p-a,3rd Person Plural,37268,,,,sata1237,roddy-2007
iir,,3p-s,3rd Person Plural,37494,,,,sata1237,roddy-2007
iir,,3p-o,3rd Person Plural,37719,,,,sata1237,roddy-2007
-Vr,,3p-p,3rd Person Plural,37931,,,,sata1237,roddy-2007
-r,,3p-p,3rd Person Plural,37932,,,,sata1237,roddy-2007
