word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
a=;;1sg_a;1st (excl) Person Singular;48574;;;;sout2856;thieberger-2006
a=;;1sg_s;1st (excl) Person Singular;48573;;;;sout2856;thieberger-2006
-wou;;1sg_o;1st (excl) Person Singular;48572;;;;sout2856;thieberger-2006
-k;;1sg_p;1st (excl) Person Singular;48571;;;;sout2856;thieberger-2006
ra=;;1du_a;1st (excl) Person Dual;48570;;;;sout2856;thieberger-2006
ra=;;1du_s;1st (excl) Person Dual;48569;;;;sout2856;thieberger-2006
-mam, -mom, -m;;1du_o;1st (excl) Person Dual;48568;;;;sout2856;thieberger-2006
-mam, -mom, -m;;1du_p;1st (excl) Person Dual;48567;;;;sout2856;thieberger-2006
u=;;1pl_a;1st (excl) Person Plural;48566;;;;sout2856;thieberger-2006
u=;;1pl_s;1st (excl) Person Plural;48565;;;;sout2856;thieberger-2006
-mam, -mom, -m;;1pl_o;1st (excl) Person Plural;48564;;;;sout2856;thieberger-2006
-mam, -mom, -m;;1pl_p;1st (excl) Person Plural;48563;;;;sout2856;thieberger-2006
ta=;;12du_a;1st (incl) Person Dual;48562;;;;sout2856;thieberger-2006
ta=;;12du_s;1st (incl) Person Dual;48561;;;;sout2856;thieberger-2006
-kit;;12du_o;1st (incl) Person Dual;48560;;;;sout2856;thieberger-2006
-kit;;12du_p;1st (incl) Person Dual;48559;;;;sout2856;thieberger-2006
tu=;;12pl_a;1st (incl) Person Plural;48558;;;;sout2856;thieberger-2006
tu=;;12pl_s;1st (incl) Person Plural;48557;;;;sout2856;thieberger-2006
-kit;;12pl_o;1st (incl) Person Plural;48556;;;;sout2856;thieberger-2006
-kit;;12pl_p;1st (incl) Person Plural;48555;;;;sout2856;thieberger-2006
ku=;;2sg_a;2nd Person Singular;48554;;;;sout2856;thieberger-2006
ku=;;2sg_s;2nd Person Singular;48553;;;;sout2856;thieberger-2006
-wok;;2sg_o;2nd Person Singular;48552;;;;sout2856;thieberger-2006
-m;;2sg_p;2nd Person Singular;48551;;;;sout2856;thieberger-2006
ra=;;2du_a;2nd Person Dual;48550;;;;sout2856;thieberger-2006
ra=;;2du_s;2nd Person Dual;48549;;;;sout2856;thieberger-2006
-mus;;2du_o;2nd Person Dual;48548;;;;sout2856;thieberger-2006
-mus;;2du_p;2nd Person Dual;48547;;;;sout2856;thieberger-2006
u=;;2pl_a;2nd Person Plural;48546;;;;sout2856;thieberger-2006
u=;;2pl_s;2nd Person Plural;48545;;;;sout2856;thieberger-2006
-mus;;2pl_o;2nd Person Plural;48544;;;;sout2856;thieberger-2006
-mus;;2pl_p;2nd Person Plural;48543;;;;sout2856;thieberger-2006
i=;;3sg_m_a;3rd Person Singular Masculine;48542;;;;sout2856;thieberger-2006
i=;;3sg_m_s;3rd Person Singular Masculine;48541;;;;sout2856;thieberger-2006
-n;;3sg_m_o;3rd Person Singular Masculine;48540;;;;sout2856;thieberger-2006
-n;;3sg_m_p;3rd Person Singular Masculine;48539;;;;sout2856;thieberger-2006
i=;;3sg_n_a;3rd Person Singular Neuter;48538;;;;sout2856;thieberger-2006
i=;;3sg_n_s;3rd Person Singular Neuter;48537;;;;sout2856;thieberger-2006
-n;;3sg_n_o;3rd Person Singular Neuter;48536;;;;sout2856;thieberger-2006
-n;;3sg_n_p;3rd Person Singular Neuter;48535;;;;sout2856;thieberger-2006
ra=;;3d-a;3rd Person Dual;48534;;;;sout2856;thieberger-2006
ra=;;3d-s;3rd Person Dual;48533;;;;sout2856;thieberger-2006
-r;;3d-o;3rd Person Dual;48532;;;;sout2856;thieberger-2006
-r;;3d-p;3rd Person Dual;48531;;;;sout2856;thieberger-2006
ru=;;3p-a;3rd Person Plural;48530;;;;sout2856;thieberger-2006
ru=;;3p-s;3rd Person Plural;48529;;;;sout2856;thieberger-2006
-r;;3p-o;3rd Person Plural;48528;;;;sout2856;thieberger-2006
-r;;3p-p;3rd Person Plural;48527;;;;sout2856;thieberger-2006
