word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
nana,,1sg_a,1st (excl) Person Singular,34388,,,,tane1237,francois-2010
nana,,1sg_s,1st (excl) Person Singular,34389,,,,tane1237,francois-2010
nana,,1sg_o,1st (excl) Person Singular,34390,,,,tane1237,francois-2010
nana,,1sg_p,1st (excl) Person Singular,34391,,,,tane1237,francois-2010
gabe,,1du_a,1st (excl) Person Dual,34392,,,,tane1237,francois-2010
gabe,,1du_s,1st (excl) Person Dual,34393,,,,tane1237,francois-2010
gabe,,1du_o,1st (excl) Person Dual,34394,,,,tane1237,francois-2010
gabe,,1du_p,1st (excl) Person Dual,34395,,,,tane1237,francois-2010
gamuto,,1pl_a,1st (excl) Person Plural,34396,,,,tane1237,francois-2010
gamuto,,1pl_s,1st (excl) Person Plural,34397,,,,tane1237,francois-2010
gamuto,,1pl_o,1st (excl) Person Plural,34398,,,,tane1237,francois-2010
gamuto,,1pl_p,1st (excl) Person Plural,34399,,,,tane1237,francois-2010
gie,,12du_a,1st (incl) Person Dual,34400,,,,tane1237,francois-2010
gie,,12du_s,1st (incl) Person Dual,34401,,,,tane1237,francois-2010
gie,,12du_o,1st (incl) Person Dual,34402,,,,tane1237,francois-2010
gie,,12du_p,1st (incl) Person Dual,34403,,,,tane1237,francois-2010
geto,,12pl_a,1st (incl) Person Plural,34404,,,,tane1237,francois-2010
geto,,12pl_s,1st (incl) Person Plural,34405,,,,tane1237,francois-2010
geto,,12pl_o,1st (incl) Person Plural,34406,,,,tane1237,francois-2010
geto,,12pl_p,1st (incl) Person Plural,34407,,,,tane1237,francois-2010
go,,2sg_a,2nd Person Singular,34408,,,,tane1237,francois-2010
go,,2sg_s,2nd Person Singular,34409,,,,tane1237,francois-2010
go,,2sg_o,2nd Person Singular,34410,,,,tane1237,francois-2010
go,,2sg_p,2nd Person Singular,34411,,,,tane1237,francois-2010
gamile,,2du_a,2nd Person Dual,34412,,,,tane1237,francois-2010
gamile,,2du_s,2nd Person Dual,34413,,,,tane1237,francois-2010
gamile,,2du_o,2nd Person Dual,34414,,,,tane1237,francois-2010
gamile,,2du_p,2nd Person Dual,34415,,,,tane1237,francois-2010
gamito,,2pl_a,2nd Person Plural,34416,,,,tane1237,francois-2010
gamito,,2pl_s,2nd Person Plural,34417,,,,tane1237,francois-2010
gamito,,2pl_o,2nd Person Plural,34418,,,,tane1237,francois-2010
gamito,,2pl_p,2nd Person Plural,34419,,,,tane1237,francois-2010
nini,,3sg_m_a,3rd Person Singular Masculine,34420,,,,tane1237,francois-2010
nini,,3sg_m_s,3rd Person Singular Masculine,34421,,,,tane1237,francois-2010
nini,,3sg_m_o,3rd Person Singular Masculine,34422,,,,tane1237,francois-2010
nini,,3sg_m_p,3rd Person Singular Masculine,34423,,,,tane1237,francois-2010
nini,,3sg_f_a,3rd Person Singular Feminine,34424,,,,tane1237,francois-2010
nini,,3sg_f_s,3rd Person Singular Feminine,34425,,,,tane1237,francois-2010
nini,,3sg_f_o,3rd Person Singular Feminine,34426,,,,tane1237,francois-2010
nini,,3sg_f_p,3rd Person Singular Feminine,34427,,,,tane1237,francois-2010
nini,,3sg_n_a,3rd Person Singular Neuter,34428,,,,tane1237,francois-2010
nini,,3sg_n_s,3rd Person Singular Neuter,34429,,,,tane1237,francois-2010
nini,,3sg_n_o,3rd Person Singular Neuter,34430,,,,tane1237,francois-2010
nini,,3sg_n_p,3rd Person Singular Neuter,34431,,,,tane1237,francois-2010
delalu,,3du_m_a,3rd Person Dual Masculine,34432,,,,tane1237,francois-2010
delalu,,3du_m_s,3rd Person Dual Masculine,34433,,,,tane1237,francois-2010
delalu,,3du_m_o,3rd Person Dual Masculine,34434,,,,tane1237,francois-2010
delalu,,3du_m_p,3rd Person Dual Masculine,34435,,,,tane1237,francois-2010
delalu,,3du_f_a,3rd Person Dual Feminine,34436,,,,tane1237,francois-2010
delalu,,3du_f_s,3rd Person Dual Feminine,34437,,,,tane1237,francois-2010
delalu,,3du_f_o,3rd Person Dual Feminine,34438,,,,tane1237,francois-2010
