word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ka yaku,,1sg_a,1st (excl) Person Singular,33179,,,,taro1264,tsukida-2005
ka yaku,,1sg_s,1st (excl) Person Singular,33180,,,,taro1264,tsukida-2005
kenan,,1sg_o,1st (excl) Person Singular,33181,,,,taro1264,tsukida-2005
=mu,,1sg_p,1st (excl) Person Singular,33182,,,,taro1264,tsukida-2005
ka yami,,1du_a,1st (excl) Person Dual,33183,,,,taro1264,tsukida-2005
ka yami,,1du_s,1st (excl) Person Dual,33184,,,,taro1264,tsukida-2005
menani,,1du_o,1st (excl) Person Dual,33185,,,,taro1264,tsukida-2005
=nami,,1du_p,1st (excl) Person Dual,33186,,,,taro1264,tsukida-2005
ka yami,,1pl_a,1st (excl) Person Plural,33187,,,,taro1264,tsukida-2005
ka yami,,1pl_s,1st (excl) Person Plural,33188,,,,taro1264,tsukida-2005
menani,,1pl_o,1st (excl) Person Plural,33189,,,,taro1264,tsukida-2005
=nami,,1pl_p,1st (excl) Person Plural,33190,,,,taro1264,tsukida-2005
ka ʔita,,12du_a,1st (incl) Person Dual,33191,,,,taro1264,tsukida-2005
ka ʔita,,12du_s,1st (incl) Person Dual,33192,,,,taro1264,tsukida-2005
tenan,,12du_o,1st (incl) Person Dual,33193,,,,taro1264,tsukida-2005
=ta,,12du_p,1st (incl) Person Dual,33194,,,,taro1264,tsukida-2005
ka ʔita,,12pl_a,1st (incl) Person Plural,33195,,,,taro1264,tsukida-2005
ka ʔita,,12pl_s,1st (incl) Person Plural,33196,,,,taro1264,tsukida-2005
tenan,,12pl_o,1st (incl) Person Plural,33197,,,,taro1264,tsukida-2005
=ta,,12pl_p,1st (incl) Person Plural,33198,,,,taro1264,tsukida-2005
ka isu,,2sg_a,2nd Person Singular,33199,,,,taro1264,tsukida-2005
ka isu,,2sg_s,2nd Person Singular,33200,,,,taro1264,tsukida-2005
sunan,,2sg_o,2nd Person Singular,33201,,,,taro1264,tsukida-2005
=su,,2sg_p,2nd Person Singular,33202,,,,taro1264,tsukida-2005
ka yamu,,2du_a,2nd Person Dual,33203,,,,taro1264,tsukida-2005
ka yamu,,2du_s,2nd Person Dual,33204,,,,taro1264,tsukida-2005
munan,,2du_o,2nd Person Dual,33205,,,,taro1264,tsukida-2005
=namu,,2du_p,2nd Person Dual,33206,,,,taro1264,tsukida-2005
ka yamu,,2pl_a,2nd Person Plural,33207,,,,taro1264,tsukida-2005
ka yamu,,2pl_s,2nd Person Plural,33208,,,,taro1264,tsukida-2005
munan,,2pl_o,2nd Person Plural,33209,,,,taro1264,tsukida-2005
=namu,,2pl_p,2nd Person Plural,33210,,,,taro1264,tsukida-2005
ka hiya,,3sg_m_a,3rd Person Singular Masculine,33211,,,,taro1264,tsukida-2005
ka hiya,,3sg_m_s,3rd Person Singular Masculine,33212,,,,taro1264,tsukida-2005
hiyaan,,3sg_m_o,3rd Person Singular Masculine,33213,,,,taro1264,tsukida-2005
=na,,3sg_m_p,3rd Person Singular Masculine,33214,,,,taro1264,tsukida-2005
hiya,,3sg_f_a,3rd Person Singular Feminine,33215,,,,taro1264,tsukida-2005
ka hiya,,3sg_f_s,3rd Person Singular Feminine,33216,,,,taro1264,tsukida-2005
hiyaan,,3sg_f_o,3rd Person Singular Feminine,33217,,,,taro1264,tsukida-2005
=na,,3sg_f_p,3rd Person Singular Feminine,33218,,,,taro1264,tsukida-2005
ka hiya,,3sg_n_a,3rd Person Singular Neuter,33219,,,,taro1264,tsukida-2005
