word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ene;;1sg_a;1st (excl) Person Singular;34456;;;;tean1237;francois-2010
ene;;1sg_s;1st (excl) Person Singular;34457;;;;tean1237;francois-2010
ene;;1sg_o;1st (excl) Person Singular;34458;;;;tean1237;francois-2010
ene;;1sg_p;1st (excl) Person Singular;34459;;;;tean1237;francois-2010
keba;;1du_a;1st (excl) Person Dual;34460;;;;tean1237;francois-2010
keba;;1du_s;1st (excl) Person Dual;34461;;;;tean1237;francois-2010
keba;;1du_o;1st (excl) Person Dual;34462;;;;tean1237;francois-2010
keba;;1du_p;1st (excl) Person Dual;34463;;;;tean1237;francois-2010
kupa;;1pl_a;1st (excl) Person Plural;34464;;;;tean1237;francois-2010
kupa;;1pl_s;1st (excl) Person Plural;34465;;;;tean1237;francois-2010
kupa;;1pl_o;1st (excl) Person Plural;34466;;;;tean1237;francois-2010
kupa;;1pl_p;1st (excl) Person Plural;34467;;;;tean1237;francois-2010
kia;;12du_a;1st (incl) Person Dual;34468;;;;tean1237;francois-2010
kia;;12du_s;1st (incl) Person Dual;34469;;;;tean1237;francois-2010
kia;;12du_o;1st (incl) Person Dual;34470;;;;tean1237;francois-2010
kia;;12du_p;1st (incl) Person Dual;34471;;;;tean1237;francois-2010
kiapa;;12pl_a;1st (incl) Person Plural;34472;;;;tean1237;francois-2010
kiapa;;12pl_s;1st (incl) Person Plural;34473;;;;tean1237;francois-2010
kiapa;;12pl_o;1st (incl) Person Plural;34474;;;;tean1237;francois-2010
kiapa;;12pl_p;1st (incl) Person Plural;34475;;;;tean1237;francois-2010
eo;;2sg_a;2nd Person Singular;34476;;;;tean1237;francois-2010
eo;;2sg_s;2nd Person Singular;34477;;;;tean1237;francois-2010
eo;;2sg_o;2nd Person Singular;34478;;;;tean1237;francois-2010
eo;;2sg_p;2nd Person Singular;34479;;;;tean1237;francois-2010
kela;;2du_a;2nd Person Dual;34480;;;;tean1237;francois-2010
kela;;2du_s;2nd Person Dual;34481;;;;tean1237;francois-2010
kela;;2du_o;2nd Person Dual;34482;;;;tean1237;francois-2010
kela;;2du_p;2nd Person Dual;34483;;;;tean1237;francois-2010
kaipa;;2pl_a;2nd Person Plural;34484;;;;tean1237;francois-2010
kaipa;;2pl_s;2nd Person Plural;34485;;;;tean1237;francois-2010
kaipa;;2pl_o;2nd Person Plural;34486;;;;tean1237;francois-2010
kaipa;;2pl_p;2nd Person Plural;34487;;;;tean1237;francois-2010
ini;;3sg_m_a;3rd Person Singular Masculine;34488;;;;tean1237;francois-2010
ini;;3sg_m_s;3rd Person Singular Masculine;34489;;;;tean1237;francois-2010
ini;;3sg_m_o;3rd Person Singular Masculine;34490;;;;tean1237;francois-2010
ini;;3sg_m_p;3rd Person Singular Masculine;34491;;;;tean1237;francois-2010
ini;;3sg_f_a;3rd Person Singular Feminine;34492;;;;tean1237;francois-2010
ini;;3sg_f_s;3rd Person Singular Feminine;34493;;;;tean1237;francois-2010
ini;;3sg_f_o;3rd Person Singular Feminine;34494;;;;tean1237;francois-2010
ini;;3sg_f_p;3rd Person Singular Feminine;34495;;;;tean1237;francois-2010
ini;;3sg_n_a;3rd Person Singular Neuter;34496;;;;tean1237;francois-2010
