word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
hau,,1sg_a,1st (excl) Person Singular,30105,,,,tetu1246,williams-van-klinken-et-al-2002
hau,,1sg_s,1st (excl) Person Singular,30106,,,,tetu1246,williams-van-klinken-et-al-2002
hau,,1sg_o,1st (excl) Person Singular,30107,,,,tetu1246,williams-van-klinken-et-al-2002
hau nia,,1sg_p,1st (excl) Person Singular,30108,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1du_a,1st (excl) Person Dual,30109,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1du_s,1st (excl) Person Dual,30110,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1du_o,1st (excl) Person Dual,30111,,,,tetu1246,williams-van-klinken-et-al-2002
ami nia,,1du_p,1st (excl) Person Dual,30112,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1pl_a,1st (excl) Person Plural,30113,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1pl_s,1st (excl) Person Plural,30114,,,,tetu1246,williams-van-klinken-et-al-2002
ami,,1pl_o,1st (excl) Person Plural,30115,,,,tetu1246,williams-van-klinken-et-al-2002
ami nia,,1pl_p,1st (excl) Person Plural,30116,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12du_a,1st (incl) Person Dual,30117,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12du_s,1st (incl) Person Dual,30118,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12du_o,1st (incl) Person Dual,30119,,,,tetu1246,williams-van-klinken-et-al-2002
ita nia,,12du_p,1st (incl) Person Dual,30120,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12pl_a,1st (incl) Person Plural,30121,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12pl_s,1st (incl) Person Plural,30122,,,,tetu1246,williams-van-klinken-et-al-2002
ita,,12pl_o,1st (incl) Person Plural,30123,,,,tetu1246,williams-van-klinken-et-al-2002
ita nia,,12pl_p,1st (incl) Person Plural,30124,,,,tetu1246,williams-van-klinken-et-al-2002
o,,2sg_a,2nd Person Singular,30125,,,,tetu1246,williams-van-klinken-et-al-2002
o,,2sg_s,2nd Person Singular,30126,,,,tetu1246,williams-van-klinken-et-al-2002
o,,2sg_o,2nd Person Singular,30127,,,,tetu1246,williams-van-klinken-et-al-2002
o nia,,2sg_p,2nd Person Singular,30128,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2du_a,2nd Person Dual,30129,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2du_s,2nd Person Dual,30130,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2du_o,2nd Person Dual,30131,,,,tetu1246,williams-van-klinken-et-al-2002
imi nia,,2du_p,2nd Person Dual,30132,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2pl_a,2nd Person Plural,30133,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2pl_s,2nd Person Plural,30134,,,,tetu1246,williams-van-klinken-et-al-2002
imi,,2pl_o,2nd Person Plural,30135,,,,tetu1246,williams-van-klinken-et-al-2002
