word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
aku;;1sg_a;1st (excl) Person Singular;25868;;;;timu1262;brewis-2002
aku;;1sg_s;1st (excl) Person Singular;25869;;;;timu1262;brewis-2002
ku;;1sg_o;1st (excl) Person Singular;25870;;;;timu1262;brewis-2002
ku;;1sg_p;1st (excl) Person Singular;25871;;;;timu1262;brewis-2002
ito;;1du_a;1st (excl) Person Dual;25872;;;;timu1262;brewis-2002
ito;;1du_s;1st (excl) Person Dual;25873;;;;timu1262;brewis-2002
to;;1du_o;1st (excl) Person Dual;25874;;;;timu1262;brewis-2002
to;;1du_p;1st (excl) Person Dual;25875;;;;timu1262;brewis-2002
akai;;1pl_a;1st (excl) Person Plural;25876;;;;timu1262;brewis-2002
akai;;1pl_s;1st (excl) Person Plural;25877;;;;timu1262;brewis-2002
mai;;1pl_o;1st (excl) Person Plural;25878;;;;timu1262;brewis-2002
mai;;1pl_p;1st (excl) Person Plural;25879;;;;timu1262;brewis-2002
ito;;12du_a;1st (incl) Person Dual;25880;;;;timu1262;brewis-2002
ito;;12du_s;1st (incl) Person Dual;25881;;;;timu1262;brewis-2002
to;;12du_o;1st (incl) Person Dual;25882;;;;timu1262;brewis-2002
to;;12du_p;1st (incl) Person Dual;25883;;;;timu1262;brewis-2002
takau;;12pl_a;1st (incl) Person Plural;25884;;;;timu1262;brewis-2002
takau;;12pl_s;1st (incl) Person Plural;25885;;;;timu1262;brewis-2002
takau;;12pl_o;1st (incl) Person Plural;25886;;;;timu1262;brewis-2002
takau;;12pl_p;1st (incl) Person Plural;25887;;;;timu1262;brewis-2002
kou;;2sg_a;2nd Person Singular;25888;;;;timu1262;brewis-2002
kou;;2sg_s;2nd Person Singular;25889;;;;timu1262;brewis-2002
mu;;2sg_o;2nd Person Singular;25890;;;;timu1262;brewis-2002
mu;;2sg_p;2nd Person Singular;25891;;;;timu1262;brewis-2002
ito;;2du_a;2nd Person Dual;25892;;;;timu1262;brewis-2002
ito;;2du_s;2nd Person Dual;25893;;;;timu1262;brewis-2002
to;;2du_o;2nd Person Dual;25894;;;;timu1262;brewis-2002
to;;2du_p;2nd Person Dual;25895;;;;timu1262;brewis-2002
kau;;2pl_a;2nd Person Plural;25896;;;;timu1262;brewis-2002
kau;;2pl_s;2nd Person Plural;25897;;;;timu1262;brewis-2002
min;;2pl_o;2nd Person Plural;25898;;;;timu1262;brewis-2002
min;;2pl_p;2nd Person Plural;25899;;;;timu1262;brewis-2002
io;;3sg_m_a;3rd Person Singular Masculine;25900;;;;timu1262;brewis-2002
io;;3sg_m_s;3rd Person Singular Masculine;25901;;;;timu1262;brewis-2002
no;;3sg_m_o;3rd Person Singular Masculine;25902;;;;timu1262;brewis-2002
no;;3sg_m_p;3rd Person Singular Masculine;25903;;;;timu1262;brewis-2002
io;;3sg_f_a;3rd Person Singular Feminine;25904;;;;timu1262;brewis-2002
io;;3sg_f_s;3rd Person Singular Feminine;25905;;;;timu1262;brewis-2002
no;;3sg_f_o;3rd Person Singular Feminine;25906;;;;timu1262;brewis-2002
no;;3sg_f_p;3rd Person Singular Feminine;25907;;;;timu1262;brewis-2002
io;;3sg_n_a;3rd Person Singular Neuter;25908;;;;timu1262;brewis-2002
io;;3sg_n_s;3rd Person Singular Neuter;25909;;;;timu1262;brewis-2002
no;;3sg_n_o;3rd Person Singular Neuter;25910;;;;timu1262;brewis-2002
no;;3sg_n_p;3rd Person Singular Neuter;25911;;;;timu1262;brewis-2002
ilo;;3du_m_a;3rd Person Dual Masculine;25912;;;;timu1262;brewis-2002
ilo;;3du_m_s;3rd Person Dual Masculine;25913;;;;timu1262;brewis-2002
nilo;;3du_m_o;3rd Person Dual Masculine;25914;;;;timu1262;brewis-2002
nilo;;3du_m_p;3rd Person Dual Masculine;25915;;;;timu1262;brewis-2002
ilo;;3du_f_a;3rd Person Dual Feminine;25916;;;;timu1262;brewis-2002
ilo;;3du_f_s;3rd Person Dual Feminine;25917;;;;timu1262;brewis-2002
nilo;;3du_f_o;3rd Person Dual Feminine;25918;;;;timu1262;brewis-2002
nilo;;3du_f_p;3rd Person Dual Feminine;25919;;;;timu1262;brewis-2002
ilo;;3du_n_a;3rd Person Dual Neuter;25920;;;;timu1262;brewis-2002
ilo;;3du_n_s;3rd Person Dual Neuter;25921;;;;timu1262;brewis-2002
nilo;;3du_n_o;3rd Person Dual Neuter;25922;;;;timu1262;brewis-2002
nilo;;3du_n_p;3rd Person Dual Neuter;25923;;;;timu1262;brewis-2002
ilo;;3pl_m_a;3rd Person Plural Masculine;25924;;;;timu1262;brewis-2002
