word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
əwɨ;;1sg_a;1st (excl) Person Singular;52382;;;;cari1279;moreno-2000
əwɨ;;1sg_s;1st (excl) Person Singular;52381;;;;cari1279;moreno-2000
əwɨ;;1sg_o;1st (excl) Person Singular;52380;;;;cari1279;moreno-2000
dʒi-;;1sg_p;1st (excl) Person Singular;52379;;;;cari1279;moreno-2000
aɲa;;1du_a;1st (excl) Person Dual;52378;;;;cari1279;moreno-2000
aɲa;;1du_s;1st (excl) Person Dual;52377;;;;cari1279;moreno-2000
aɲa;;1du_o;1st (excl) Person Dual;52376;;;;cari1279;moreno-2000
kɨ-;;1du_p;1st (excl) Person Dual;52375;;;;cari1279;moreno-2000
aɲa;;1pl_a;1st (excl) Person Plural;52374;;;;cari1279;moreno-2000
aɲa;;1pl_s;1st (excl) Person Plural;52373;;;;cari1279;moreno-2000
aɲa;;1pl_o;1st (excl) Person Plural;52372;;;;cari1279;moreno-2000
kɨ-;;1pl_p;1st (excl) Person Plural;52371;;;;cari1279;moreno-2000
kɨmərə;;12du_a;1st (incl) Person Dual;52370;;;;cari1279;moreno-2000
kɨmərə;;12du_s;1st (incl) Person Dual;52369;;;;cari1279;moreno-2000
kɨmərə;;12du_o;1st (incl) Person Dual;52368;;;;cari1279;moreno-2000
kɨ-;;12du_p;1st (incl) Person Dual;52367;;;;cari1279;moreno-2000
kɨmərə;;12pl_a;1st (incl) Person Plural;52366;;;;cari1279;moreno-2000
kɨmərə;;12pl_s;1st (incl) Person Plural;52365;;;;cari1279;moreno-2000
kɨmərə;;12pl_o;1st (incl) Person Plural;52364;;;;cari1279;moreno-2000
kɨ-;;12pl_p;1st (incl) Person Plural;52363;;;;cari1279;moreno-2000
əmərə;;2sg_a;2nd Person Singular;52362;;;;cari1279;moreno-2000
əmərə;;2sg_s;2nd Person Singular;52361;;;;cari1279;moreno-2000
əmərə;;2sg_o;2nd Person Singular;52360;;;;cari1279;moreno-2000
ədʒi-;;2sg_p;2nd Person Singular;52359;;;;cari1279;moreno-2000
kɨmərə;;2du_a;2nd Person Dual;60998;;;;cari1279;moreno-2000
kɨmərə;;2du_s;2nd Person Dual;60999;;;;cari1279;moreno-2000
kɨmərə;;2du_o;2nd Person Dual;61000;;;;cari1279;moreno-2000
kɨ-;;2du_p;2nd Person Dual;61001;;;;cari1279;moreno-2000
kɨmərə;;2pl_a;2nd Person Plural;61002;;;;cari1279;moreno-2000
kɨmərə;;2pl_s;2nd Person Plural;61003;;;;cari1279;moreno-2000
kɨmərə;;2pl_o;2nd Person Plural;61004;;;;cari1279;moreno-2000
kɨ-;;2pl_p;2nd Person Plural;61005;;;;cari1279;moreno-2000
nərə;;3sg_m_a;3rd Person Singular Masculine;52358;;;;cari1279;moreno-2000
nərə;;3sg_m_s;3rd Person Singular Masculine;52357;;;;cari1279;moreno-2000
nərə;;3sg_m_o;3rd Person Singular Masculine;52356;;;;cari1279;moreno-2000
i-, tɨ-;;3sg_m_p;3rd Person Singular Masculine;52355;;;;cari1279;moreno-2000
nərə;;3sg_n_a;3rd Person Singular Neuter;52354;;;;cari1279;moreno-2000
nərə;;3sg_n_s;3rd Person Singular Neuter;52353;;;;cari1279;moreno-2000
nərə;;3sg_n_o;3rd Person Singular Neuter;52352;;;;cari1279;moreno-2000
i-, tɨ-;;3sg_n_p;3rd Person Singular Neuter;52351;;;;cari1279;moreno-2000
məkamoro;;3d-a;3rd Person Dual;52350;;;;cari1279;moreno-2000
məkamoro;;3d-s;3rd Person Dual;52349;;;;cari1279;moreno-2000
məkamoro;;3d-o;3rd Person Dual;52348;;;;cari1279;moreno-2000
i-, tɨ-;;3d-p;3rd Person Dual;52347;;;;cari1279;moreno-2000
məkamoro;;3p-a;3rd Person Plural;52346;;;;cari1279;moreno-2000
məkamoro;;3p-s;3rd Person Plural;52345;;;;cari1279;moreno-2000
məkamoro;;3p-o;3rd Person Plural;52344;;;;cari1279;moreno-2000
i-, tɨ-;;3p-p;3rd Person Plural;52343;;;;cari1279;moreno-2000
