word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
uro;;1sg_a;1st (excl) Person Singular;46262;;;;hixk1239;derbyshire-1979
uro;;1sg_s;1st (excl) Person Singular;46261;;;;hixk1239;derbyshire-1979
uro;;1sg_o;1st (excl) Person Singular;46260;;;;hixk1239;derbyshire-1979
ro-;;1sg_p;1st (excl) Person Singular;46259;;;;hixk1239;derbyshire-1979
amna;;1du_a;1st (excl) Person Dual;46258;;;;hixk1239;derbyshire-1979
amna;;1du_s;1st (excl) Person Dual;46257;;;;hixk1239;derbyshire-1979
amna;;1du_o;1st (excl) Person Dual;46256;;;;hixk1239;derbyshire-1979
y-;;1du_p;1st (excl) Person Dual;46255;;;;hixk1239;derbyshire-1979
amna;;1pl_a;1st (excl) Person Plural;46254;;;;hixk1239;derbyshire-1979
amna;;1pl_s;1st (excl) Person Plural;46253;;;;hixk1239;derbyshire-1979
amna;;1pl_o;1st (excl) Person Plural;46252;;;;hixk1239;derbyshire-1979
y-;;1pl_p;1st (excl) Person Plural;46251;;;;hixk1239;derbyshire-1979
kɨwyamo;;12du_a;1st (incl) Person Dual;46250;;;;hixk1239;derbyshire-1979
kɨwyamo;;12du_s;1st (incl) Person Dual;46249;;;;hixk1239;derbyshire-1979
kɨwyamo;;12du_o;1st (incl) Person Dual;46248;;;;hixk1239;derbyshire-1979
kɨ-;;12du_p;1st (incl) Person Dual;46247;;;;hixk1239;derbyshire-1979
kɨwyamo;;12pl_a;1st (incl) Person Plural;46246;;;;hixk1239;derbyshire-1979
kɨwyamo;;12pl_s;1st (incl) Person Plural;46245;;;;hixk1239;derbyshire-1979
kɨwyamo;;12pl_o;1st (incl) Person Plural;46244;;;;hixk1239;derbyshire-1979
kɨ-;;12pl_p;1st (incl) Person Plural;46243;;;;hixk1239;derbyshire-1979
omoro;;2sg_a;2nd Person Singular;46242;;;;hixk1239;derbyshire-1979
omoro;;2sg_s;2nd Person Singular;46241;;;;hixk1239;derbyshire-1979
omoro;;2sg_o;2nd Person Singular;46240;;;;hixk1239;derbyshire-1979
o-;;2sg_p;2nd Person Singular;46239;;;;hixk1239;derbyshire-1979
omnyamo;;2du_a;2nd Person Dual;46238;;;;hixk1239;derbyshire-1979
omnyamo;;2du_s;2nd Person Dual;46237;;;;hixk1239;derbyshire-1979
omnyamo;;2du_o;2nd Person Dual;46236;;;;hixk1239;derbyshire-1979
o-;;2du_p;2nd Person Dual;46235;;;;hixk1239;derbyshire-1979
omnyamo;;2pl_a;2nd Person Plural;46234;;;;hixk1239;derbyshire-1979
omnyamo;;2pl_s;2nd Person Plural;46233;;;;hixk1239;derbyshire-1979
omnyamo;;2pl_o;2nd Person Plural;46232;;;;hixk1239;derbyshire-1979
o-;;2pl_p;2nd Person Plural;46231;;;;hixk1239;derbyshire-1979
noro;;3sg_m_a;3rd Person Singular Masculine;46230;;;;hixk1239;derbyshire-1979
noro;;3sg_m_s;3rd Person Singular Masculine;46229;;;;hixk1239;derbyshire-1979
noro;;3sg_m_o;3rd Person Singular Masculine;46228;;;;hixk1239;derbyshire-1979
ɨ-;;3sg_m_p;3rd Person Singular Masculine;46227;;;;hixk1239;derbyshire-1979
noro;;3sg_n_a;3rd Person Singular Neuter;46226;;;;hixk1239;derbyshire-1979
noro;;3sg_n_s;3rd Person Singular Neuter;46225;;;;hixk1239;derbyshire-1979
noro;;3sg_n_o;3rd Person Singular Neuter;46224;;;;hixk1239;derbyshire-1979
ɨ-;;3sg_n_p;3rd Person Singular Neuter;46223;;;;hixk1239;derbyshire-1979
nyamoro;;3d-a;3rd Person Dual;46222;;;;hixk1239;derbyshire-1979
nyamoro;;3d-s;3rd Person Dual;46221;;;;hixk1239;derbyshire-1979
nyamoro;;3d-o;3rd Person Dual;46220;;;;hixk1239;derbyshire-1979
ɨ-;;3d-p;3rd Person Dual;46219;;;;hixk1239;derbyshire-1979
nyamoro;;3p-a;3rd Person Plural;46218;;;;hixk1239;derbyshire-1979
nyamoro;;3p-s;3rd Person Plural;46217;;;;hixk1239;derbyshire-1979
nyamoro;;3p-o;3rd Person Plural;46216;;;;hixk1239;derbyshire-1979
ɨ-;;3p-p;3rd Person Plural;46215;;;;hixk1239;derbyshire-1979
