word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
awü;;1sg_a;1st (excl) Person Singular;53981;;;;yukp1241;segovia-1999
awü;;1sg_s;1st (excl) Person Singular;53980;;;;yukp1241;segovia-1999
awü;;1sg_o;1st (excl) Person Singular;53979;;;;yukp1241;segovia-1999
-rɨ,  -rshi, ki-;;1sg_p;1st (excl) Person Singular;53978;;;;yukp1241;segovia-1999
nana;;1du_a;1st (excl) Person Dual;53977;;;;yukp1241;segovia-1999
nana;;1du_s;1st (excl) Person Dual;53976;;;;yukp1241;segovia-1999
nana;;1du_o;1st (excl) Person Dual;53975;;;;yukp1241;segovia-1999
-rɨ,  -rshi, ki-;;1du_p;1st (excl) Person Dual;53974;;;;yukp1241;segovia-1999
nana;;1pl_a;1st (excl) Person Plural;53973;;;;yukp1241;segovia-1999
nana;;1pl_s;1st (excl) Person Plural;53972;;;;yukp1241;segovia-1999
nana;;1pl_o;1st (excl) Person Plural;53971;;;;yukp1241;segovia-1999
-rɨ,  -rshi, ki-;;1pl_p;1st (excl) Person Plural;53970;;;;yukp1241;segovia-1999
upür;;12du_a;1st (incl) Person Dual;53969;;;;yukp1241;segovia-1999
upür;;12du_s;1st (incl) Person Dual;53968;;;;yukp1241;segovia-1999
upür;;12du_o;1st (incl) Person Dual;53967;;;;yukp1241;segovia-1999
-rɨ, -rshi;;12du_p;1st (incl) Person Dual;53966;;;;yukp1241;segovia-1999
upür;;12pl_a;1st (incl) Person Plural;53965;;;;yukp1241;segovia-1999
upür;;12pl_s;1st (incl) Person Plural;53964;;;;yukp1241;segovia-1999
upür;;12pl_o;1st (incl) Person Plural;53963;;;;yukp1241;segovia-1999
-rɨ, -rshi;;12pl_p;1st (incl) Person Plural;53962;;;;yukp1241;segovia-1999
amor;;2sg_a;2nd Person Singular;53961;;;;yukp1241;segovia-1999
amor;;2sg_s;2nd Person Singular;53960;;;;yukp1241;segovia-1999
amor;;2sg_o;2nd Person Singular;53959;;;;yukp1241;segovia-1999
-rɨ, -rshi;;2sg_p;2nd Person Singular;53958;;;;yukp1241;segovia-1999
amoka;;2du_a;2nd Person Dual;53957;;;;yukp1241;segovia-1999
amoka;;2du_s;2nd Person Dual;53956;;;;yukp1241;segovia-1999
amoka;;2du_o;2nd Person Dual;53955;;;;yukp1241;segovia-1999
-rɨ, -rshi;;2du_p;2nd Person Dual;53954;;;;yukp1241;segovia-1999
amoka;;2pl_a;2nd Person Plural;53953;;;;yukp1241;segovia-1999
amoka;;2pl_s;2nd Person Plural;53952;;;;yukp1241;segovia-1999
amoka;;2pl_o;2nd Person Plural;53951;;;;yukp1241;segovia-1999
-rɨ, -rshi;;2pl_p;2nd Person Plural;53950;;;;yukp1241;segovia-1999
or;;3sg_m_a;3rd Person Singular Masculine;53949;;;;yukp1241;segovia-1999
or;;3sg_m_s;3rd Person Singular Masculine;53948;;;;yukp1241;segovia-1999
or;;3sg_m_o;3rd Person Singular Masculine;53947;;;;yukp1241;segovia-1999
-rɨ, -rshi;;3sg_m_p;3rd Person Singular Masculine;53946;;;;yukp1241;segovia-1999
or;;3sg_n_a;3rd Person Singular Neuter;53945;;;;yukp1241;segovia-1999
or;;3sg_n_s;3rd Person Singular Neuter;53944;;;;yukp1241;segovia-1999
or;;3sg_n_o;3rd Person Singular Neuter;53943;;;;yukp1241;segovia-1999
-rɨ, -rshi;;3sg_n_p;3rd Person Singular Neuter;53942;;;;yukp1241;segovia-1999
oka;;3d-a;3rd Person Dual;53941;;;;yukp1241;segovia-1999
oka;;3d-s;3rd Person Dual;53940;;;;yukp1241;segovia-1999
oka;;3d-o;3rd Person Dual;53939;;;;yukp1241;segovia-1999
-rɨ, -rshi;;3d-p;3rd Person Dual;53938;;;;yukp1241;segovia-1999
oka;;3p-a;3rd Person Plural;53937;;;;yukp1241;segovia-1999
oka;;3p-s;3rd Person Plural;53936;;;;yukp1241;segovia-1999
oka;;3p-o;3rd Person Plural;53935;;;;yukp1241;segovia-1999
-rɨ, -rshi;;3p-p;3rd Person Plural;53934;;;;yukp1241;segovia-1999
