word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
iː;;1sg_a;1st (excl) Person Singular;45014;;;;brah1256;andronov-2006
iː;;1sg_s;1st (excl) Person Singular;45013;;;;brah1256;andronov-2006
kane;;1sg_o;1st (excl) Person Singular;45012;;;;brah1256;andronov-2006
kanaː;;1sg_p;1st (excl) Person Singular;45011;;;;brah1256;andronov-2006
nan;;1du_a;1st (excl) Person Dual;45010;;;;brah1256;andronov-2006
nan;;1du_s;1st (excl) Person Dual;45009;;;;brah1256;andronov-2006
nane;;1du_o;1st (excl) Person Dual;45008;;;;brah1256;andronov-2006
nanaː;;1du_p;1st (excl) Person Dual;45007;;;;brah1256;andronov-2006
nan;;1pl_a;1st (excl) Person Plural;45006;;;;brah1256;andronov-2006
nan;;1pl_s;1st (excl) Person Plural;45005;;;;brah1256;andronov-2006
nane;;1pl_o;1st (excl) Person Plural;45004;;;;brah1256;andronov-2006
nanaː;;1pl_p;1st (excl) Person Plural;45003;;;;brah1256;andronov-2006
nan;;12du_a;1st (incl) Person Dual;45002;;;;brah1256;andronov-2006
nan;;12du_s;1st (incl) Person Dual;45001;;;;brah1256;andronov-2006
nane;;12du_o;1st (incl) Person Dual;45000;;;;brah1256;andronov-2006
nanaː;;12du_p;1st (incl) Person Dual;44999;;;;brah1256;andronov-2006
nan;;12pl_a;1st (incl) Person Plural;44998;;;;brah1256;andronov-2006
nan;;12pl_s;1st (incl) Person Plural;44997;;;;brah1256;andronov-2006
nane;;12pl_o;1st (incl) Person Plural;44996;;;;brah1256;andronov-2006
nanaː;;12pl_p;1st (incl) Person Plural;44995;;;;brah1256;andronov-2006
niː;;2sg_a;2nd Person Singular;44994;;;;brah1256;andronov-2006
niː;;2sg_s;2nd Person Singular;44993;;;;brah1256;andronov-2006
neː;;2sg_o;2nd Person Singular;44992;;;;brah1256;andronov-2006
naː;;2sg_p;2nd Person Singular;44991;;;;brah1256;andronov-2006
num;;2du_a;2nd Person Dual;44990;;;;brah1256;andronov-2006
num;;2du_s;2nd Person Dual;44989;;;;brah1256;andronov-2006
nume;;2du_o;2nd Person Dual;44988;;;;brah1256;andronov-2006
numaː;;2du_p;2nd Person Dual;44987;;;;brah1256;andronov-2006
num;;2pl_a;2nd Person Plural;44986;;;;brah1256;andronov-2006
num;;2pl_s;2nd Person Plural;44985;;;;brah1256;andronov-2006
nume;;2pl_o;2nd Person Plural;44984;;;;brah1256;andronov-2006
numaː;;2pl_p;2nd Person Plural;44983;;;;brah1256;andronov-2006
daːd;;3sg_m_a;3rd Person Singular Masculine;44982;;;;brah1256;andronov-2006
daːd;;3sg_m_s;3rd Person Singular Masculine;44981;;;;brah1256;andronov-2006
daːde;;3sg_m_o;3rd Person Singular Masculine;44980;;;;brah1256;andronov-2006
daːnaː;;3sg_m_p;3rd Person Singular Masculine;44979;;;;brah1256;andronov-2006
daːd;;3sg_n_a;3rd Person Singular Neuter;44978;;;;brah1256;andronov-2006
daːd;;3sg_n_s;3rd Person Singular Neuter;44977;;;;brah1256;andronov-2006
daːde;;3sg_n_o;3rd Person Singular Neuter;44976;;;;brah1256;andronov-2006
daːnaː;;3sg_n_p;3rd Person Singular Neuter;44975;;;;brah1256;andronov-2006
daːfk;;3d-a;3rd Person Dual;44974;;;;brah1256;andronov-2006
daːfk;;3d-s;3rd Person Dual;44973;;;;brah1256;andronov-2006
daːfte;;3d-o;3rd Person Dual;44972;;;;brah1256;andronov-2006
daːftaː;;3d-p;3rd Person Dual;44971;;;;brah1256;andronov-2006
daːfk;;3p-a;3rd Person Plural;44970;;;;brah1256;andronov-2006
daːfk;;3p-s;3rd Person Plural;44969;;;;brah1256;andronov-2006
daːfte;;3p-o;3rd Person Plural;44968;;;;brah1256;andronov-2006
daːftaː;;3p-p;3rd Person Plural;44967;;;;brah1256;andronov-2006
