word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
az;;1sg_a;1st (excl) Person Singular;26253;;;;bulg1262;scatton-1993
az;;1sg_s;1st (excl) Person Singular;26254;;;;bulg1262;scatton-1993
mene;;1sg_o;1st (excl) Person Singular;26255;;;;bulg1262;scatton-1993
moj;;1sg_p;1st (excl) Person Singular;26256;;;;bulg1262;scatton-1993
nie;;1du_a;1st (excl) Person Dual;26257;;;;bulg1262;scatton-1993
nie;;1du_s;1st (excl) Person Dual;26258;;;;bulg1262;scatton-1993
nas;;1du_o;1st (excl) Person Dual;26259;;;;bulg1262;scatton-1993
naš;;1du_p;1st (excl) Person Dual;26260;;;;bulg1262;scatton-1993
nie;;1pl_a;1st (excl) Person Plural;26261;;;;bulg1262;scatton-1993
nie;;1pl_s;1st (excl) Person Plural;26262;;;;bulg1262;scatton-1993
nas;;1pl_o;1st (excl) Person Plural;26263;;;;bulg1262;scatton-1993
naš;;1pl_p;1st (excl) Person Plural;26264;;;;bulg1262;scatton-1993
nie;;12du_a;1st (incl) Person Dual;26265;;;;bulg1262;scatton-1993
nie;;12du_s;1st (incl) Person Dual;26266;;;;bulg1262;scatton-1993
nas;;12du_o;1st (incl) Person Dual;26267;;;;bulg1262;scatton-1993
naš;;12du_p;1st (incl) Person Dual;26268;;;;bulg1262;scatton-1993
nie;;12pl_a;1st (incl) Person Plural;26269;;;;bulg1262;scatton-1993
nie;;12pl_s;1st (incl) Person Plural;26270;;;;bulg1262;scatton-1993
nas;;12pl_o;1st (incl) Person Plural;26271;;;;bulg1262;scatton-1993
naš;;12pl_p;1st (incl) Person Plural;26272;;;;bulg1262;scatton-1993
ti;;2sg_a;2nd Person Singular;26273;;;;bulg1262;scatton-1993
ti;;2sg_s;2nd Person Singular;26274;;;;bulg1262;scatton-1993
tebe;;2sg_o;2nd Person Singular;26275;;;;bulg1262;scatton-1993
tvoj;;2sg_p;2nd Person Singular;26276;;;;bulg1262;scatton-1993
vie;;2du_a;2nd Person Dual;26277;;;;bulg1262;scatton-1993
vie;;2du_s;2nd Person Dual;26278;;;;bulg1262;scatton-1993
vas;;2du_o;2nd Person Dual;26279;;;;bulg1262;scatton-1993
vaš;;2du_p;2nd Person Dual;26280;;;;bulg1262;scatton-1993
vie;;2pl_a;2nd Person Plural;26281;;;;bulg1262;scatton-1993
vie;;2pl_s;2nd Person Plural;26282;;;;bulg1262;scatton-1993
vas;;2pl_o;2nd Person Plural;26283;;;;bulg1262;scatton-1993
vaš;;2pl_p;2nd Person Plural;26284;;;;bulg1262;scatton-1993
toj;;3sg_m_a;3rd Person Singular Masculine;26285;;;;bulg1262;scatton-1993
toj;;3sg_m_s;3rd Person Singular Masculine;26286;;;;bulg1262;scatton-1993
nego;;3sg_m_o;3rd Person Singular Masculine;26287;;;;bulg1262;scatton-1993
negov;;3sg_m_p;3rd Person Singular Masculine;26288;;;;bulg1262;scatton-1993
tja;;3sg_f_a;3rd Person Singular Feminine;26289;;;;bulg1262;scatton-1993
tja;;3sg_f_s;3rd Person Singular Feminine;26290;;;;bulg1262;scatton-1993
neja;;3sg_f_o;3rd Person Singular Feminine;26291;;;;bulg1262;scatton-1993
nein;;3sg_f_p;3rd Person Singular Feminine;26292;;;;bulg1262;scatton-1993
to;;3sg_n_a;3rd Person Singular Neuter;26293;;toj is the masculine form. to is the neuter form. tja is the feminine form.;;bulg1262;scatton-1993
to;;3sg_n_s;3rd Person Singular Neuter;26294;;toj is the masculine form. to is the neuter form. tja is the feminine form.;;bulg1262;scatton-1993
nego;;3sg_n_o;3rd Person Singular Neuter;26295;;nego is both the masculine and neuter form. neja is the feminine form.;;bulg1262;scatton-1993
negov;;3sg_n_p;3rd Person Singular Neuter;26296;;negov is masculine and neuter form. nein is the feminine form.;;bulg1262;scatton-1993
te;;3du_m_a;3rd Person Dual Masculine;26297;;;;bulg1262;scatton-1993
te;;3du_m_s;3rd Person Dual Masculine;26298;;;;bulg1262;scatton-1993
tjax;;3du_m_o;3rd Person Dual Masculine;26299;;;;bulg1262;scatton-1993
texen;;3du_m_p;3rd Person Dual Masculine;26300;;;;bulg1262;scatton-1993
