word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
já,,1sg_a,1st (excl) Person Singular,26525,,,,czec1258,short-1993a
já,,1sg_s,1st (excl) Person Singular,26526,,,,czec1258,short-1993a
mne,,1sg_o,1st (excl) Person Singular,26527,,,,czec1258,short-1993a
můj,,1sg_p,1st (excl) Person Singular,26528,,,,czec1258,short-1993a
my,,1du_a,1st (excl) Person Dual,26529,,,,czec1258,short-1993a
my,,1du_s,1st (excl) Person Dual,26530,,,,czec1258,short-1993a
nás,,1du_o,1st (excl) Person Dual,26531,,,,czec1258,short-1993a
náš,,1du_p,1st (excl) Person Dual,26532,,,,czec1258,short-1993a
my,,1pl_a,1st (excl) Person Plural,26533,,,,czec1258,short-1993a
my,,1pl_s,1st (excl) Person Plural,26534,,,,czec1258,short-1993a
nás,,1pl_o,1st (excl) Person Plural,26535,,,,czec1258,short-1993a
náš,,1pl_p,1st (excl) Person Plural,26536,,,,czec1258,short-1993a
my,,12du_a,1st (incl) Person Dual,26537,,,,czec1258,short-1993a
my,,12du_s,1st (incl) Person Dual,26538,,,,czec1258,short-1993a
nás,,12du_o,1st (incl) Person Dual,26539,,,,czec1258,short-1993a
náš,,12du_p,1st (incl) Person Dual,26540,,,,czec1258,short-1993a
my,,12pl_a,1st (incl) Person Plural,26541,,,,czec1258,short-1993a
my,,12pl_s,1st (incl) Person Plural,26542,,,,czec1258,short-1993a
nás,,12pl_o,1st (incl) Person Plural,26543,,,,czec1258,short-1993a
náš,,12pl_p,1st (incl) Person Plural,26544,,,,czec1258,short-1993a
ty,,2sg_a,2nd Person Singular,26545,,,,czec1258,short-1993a
ty,,2sg_s,2nd Person Singular,26546,,,,czec1258,short-1993a
tebe,,2sg_o,2nd Person Singular,26547,,,,czec1258,short-1993a
tvůj,,2sg_p,2nd Person Singular,26548,,,,czec1258,short-1993a
vy,,2du_a,2nd Person Dual,26549,,,,czec1258,short-1993a
vy,,2du_s,2nd Person Dual,26550,,,,czec1258,short-1993a
vás,,2du_o,2nd Person Dual,26551,,,,czec1258,short-1993a
váš,,2du_p,2nd Person Dual,26552,,,,czec1258,short-1993a
vy,,2pl_a,2nd Person Plural,26553,,,,czec1258,short-1993a
vy,,2pl_s,2nd Person Plural,26554,,,,czec1258,short-1993a
vás,,2pl_o,2nd Person Plural,26555,,,,czec1258,short-1993a
váš,,2pl_p,2nd Person Plural,26556,,,,czec1258,short-1993a
on,,3sg_m_a,3rd Person Singular Masculine,26557,,"on is the form for masculine animates and inantimate arguments, ono is the form for neuter arguments, and ona is the form for feminine arguments.",,czec1258,short-1993a
on,,3sg_m_s,3rd Person Singular Masculine,26558,,"on is the form for masculine animates and inantimate arguments, ono is the form for neuter arguments, and ona is the form for feminine arguments.",,czec1258,short-1993a
jeho,,3sg_m_o,3rd Person Singular Masculine,26559,,"jeho, jej and ho are animate masculine forms. jej and ho are masculine inanimate forms. je, jej and ho are neter forms. ji is the feminine form.",,czec1258,short-1993a
jeho,,3sg_m_p,3rd Person Singular Masculine,26560,,,,czec1258,short-1993a
ona,,3sg_f_a,3rd Person Singular Feminine,26561,,,,czec1258,short-1993a
ona,,3sg_f_s,3rd Person Singular Feminine,26562,,,,czec1258,short-1993a
je,,3sg_f_o,3rd Person Singular Feminine,26563,,,,czec1258,short-1993a
její,,3sg_f_p,3rd Person Singular Feminine,26564,,,,czec1258,short-1993a
ono,,3sg_n_a,3rd Person Singular Neuter,26565,,"on is the form for masculine animates and inantimate arguments, ono is the form for neuter arguments, and ona is the form for feminine arguments.",,czec1258,short-1993a
ono,,3sg_n_s,3rd Person Singular Neuter,26566,,"on is the form for masculine animates and inantimate arguments, ono is the form for neuter arguments, and ona is the form for feminine arguments.",,czec1258,short-1993a
jej,,3sg_n_o,3rd Person Singular Neuter,26567,,"jeho, jej and ho are animate masculine forms. jej and ho are masculine inanimate forms. je, jej and ho are neter forms. ji is the feminine form.",,czec1258,short-1993a
jeho,,3sg_n_p,3rd Person Singular Neuter,26568,,,,czec1258,short-1993a
oni,,3du_m_a,3rd Person Dual Masculine,26569,,,,czec1258,short-1993a
oni,,3du_m_s,3rd Person Dual Masculine,26570,,,,czec1258,short-1993a
je,,3du_m_o,3rd Person Dual Masculine,26571,,,,czec1258,short-1993a
jejich,,3du_m_p,3rd Person Dual Masculine,26572,,,,czec1258,short-1993a
oni,,3du_f_a,3rd Person Dual Feminine,26573,,,,czec1258,short-1993a
oni,,3du_f_s,3rd Person Dual Feminine,26574,,,,czec1258,short-1993a
je,,3du_f_o,3rd Person Dual Feminine,26575,,,,czec1258,short-1993a
jejich,,3du_f_p,3rd Person Dual Feminine,26576,,,,czec1258,short-1993a
oni,,3du_n_a,3rd Person Dual Neuter,26577,,,,czec1258,short-1993a
oni,,3du_n_s,3rd Person Dual Neuter,26578,,,,czec1258,short-1993a
je,,3du_n_o,3rd Person Dual Neuter,26579,,,,czec1258,short-1993a
jejich,,3du_n_p,3rd Person Dual Neuter,26580,,,,czec1258,short-1993a
oni,,3pl_m_a,3rd Person Plural Masculine,26581,,,,czec1258,short-1993a
oni,,3pl_m_s,3rd Person Plural Masculine,26582,,,,czec1258,short-1993a
je,,3pl_m_o,3rd Person Plural Masculine,26583,,,,czec1258,short-1993a
jejich,,3pl_m_p,3rd Person Plural Masculine,26584,,,,czec1258,short-1993a
oni,,3pl_f_a,3rd Person Plural Feminine,26585,,,,czec1258,short-1993a
oni,,3pl_f_s,3rd Person Plural Feminine,26586,,,,czec1258,short-1993a
je,,3pl_f_o,3rd Person Plural Feminine,26587,,,,czec1258,short-1993a
jejich,,3pl_f_p,3rd Person Plural Feminine,26588,,,,czec1258,short-1993a
oni,,3pl_n_a,3rd Person Plural Neuter,26589,,,,czec1258,short-1993a
oni,,3pl_n_s,3rd Person Plural Neuter,26590,,,,czec1258,short-1993a
je,,3pl_n_o,3rd Person Plural Neuter,26591,,,,czec1258,short-1993a
jejich,,3pl_n_p,3rd Person Plural Neuter,26592,,,,czec1258,short-1993a
oni,,3d-a,3rd Person Dual,36246,,,,czec1258,short-1993a
oni,,3d-s,3rd Person Dual,36466,,,,czec1258,short-1993a
je,,3d-o,3rd Person Dual,36694,,,,czec1258,short-1993a
jejich,,3d-p,3rd Person Dual,36914,,,,czec1258,short-1993a
oni,,3p-a,3rd Person Plural,37126,,,,czec1258,short-1993a
oni,,3p-s,3rd Person Plural,37347,,,,czec1258,short-1993a
je,,3p-o,3rd Person Plural,37574,,,,czec1258,short-1993a
jejich,,3p-p,3rd Person Plural,37792,,,,czec1258,short-1993a
