word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
je,,1sg_a,1st (excl) Person Singular,27620,,,,stan1290,harris-1988
je,,1sg_s,1st (excl) Person Singular,27621,,,,stan1290,harris-1988
me,,1sg_o,1st (excl) Person Singular,27622,,,,stan1290,harris-1988
mon,,1sg_p,1st (excl) Person Singular,27623,,,,stan1290,harris-1988
nous,,1du_a,1st (excl) Person Dual,27624,,,,stan1290,harris-1988
nous,,1du_s,1st (excl) Person Dual,27625,,,,stan1290,harris-1988
nous,,1du_o,1st (excl) Person Dual,27626,,,,stan1290,harris-1988
notre,,1du_p,1st (excl) Person Dual,27627,,,,stan1290,harris-1988
nous,,1pl_a,1st (excl) Person Plural,27628,,,,stan1290,harris-1988
nous,,1pl_s,1st (excl) Person Plural,27629,,,,stan1290,harris-1988
nous,,1pl_o,1st (excl) Person Plural,27630,,,,stan1290,harris-1988
notre,,1pl_p,1st (excl) Person Plural,27631,,,,stan1290,harris-1988
nous,,12du_a,1st (incl) Person Dual,27632,,,,stan1290,harris-1988
nous,,12du_s,1st (incl) Person Dual,27633,,,,stan1290,harris-1988
nous,,12du_o,1st (incl) Person Dual,27634,,,,stan1290,harris-1988
notre,,12du_p,1st (incl) Person Dual,27635,,,,stan1290,harris-1988
nous,,12pl_a,1st (incl) Person Plural,27636,,,,stan1290,harris-1988
nous,,12pl_s,1st (incl) Person Plural,27637,,,,stan1290,harris-1988
nous,,12pl_o,1st (incl) Person Plural,27638,,,,stan1290,harris-1988
notre,,12pl_p,1st (incl) Person Plural,27639,,,,stan1290,harris-1988
tu,,2sg_a,2nd Person Singular,27640,,,,stan1290,harris-1988
tu,,2sg_s,2nd Person Singular,27641,,,,stan1290,harris-1988
te,,2sg_o,2nd Person Singular,27642,,,,stan1290,harris-1988
ton,,2sg_p,2nd Person Singular,27643,,,,stan1290,harris-1988
vous,,2du_a,2nd Person Dual,27644,,,,stan1290,harris-1988
vous,,2du_s,2nd Person Dual,27645,,,,stan1290,harris-1988
vous,,2du_o,2nd Person Dual,27646,,,,stan1290,harris-1988
votre,,2du_p,2nd Person Dual,27647,,,,stan1290,harris-1988
vous,,2pl_a,2nd Person Plural,27648,,,,stan1290,harris-1988
vous,,2pl_s,2nd Person Plural,27649,,,,stan1290,harris-1988
vous,,2pl_o,2nd Person Plural,27650,,,,stan1290,harris-1988
votre,,2pl_p,2nd Person Plural,27651,,,,stan1290,harris-1988
il,,3sg_m_a,3rd Person Singular Masculine,27652,,,,stan1290,harris-1988
