word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
amu,,1sg_a,,,,,,hier1240,melchert2003
amu,,1sg_s,,,,,,hier1240,melchert2003
amu,,1sg_o,,,,,,hier1240,melchert2003
ama-,,1sg_p,,,,,,hier1240,melchert2003
antsunts,,12du_a,,,,,,hier1240,melchert2003
antsunts,,12du_s,,,,,,hier1240,melchert2003
antsunts,,12du_o,,,,,,hier1240,melchert2003
antsa-,,12du_p,,,,,,hier1240,melchert2003
antsunts,,1du_a,,,,,,hier1240,melchert2003
antsunts,,1du_s,,,,,,hier1240,melchert2003
antsunts,,1du_o,,,,,,hier1240,melchert2003
antsa-,,1du_p,,,,,,hier1240,melchert2003
antsunts,,12pl_a,,,,,,hier1240,melchert2003
antsunts,,12pl_s,,,,,,hier1240,melchert2003
antsunts,,12pl_o,,,,,,hier1240,melchert2003
antsa-,,12pl_p,,,,,,hier1240,melchert2003
antsunts,,1pl_a,,,,,,hier1240,melchert2003
antsunts,,1pl_s,,,,,,hier1240,melchert2003
antsunts,,1pl_o,,,,,,hier1240,melchert2003
antsa-,,1pl_p,,,,,,hier1240,melchert2003
ti,,2sg_a,,,,,,hier1240,melchert2003
ti,,2sg_s,,,,,,hier1240,melchert2003
tu,,2sg_o,,,,,,hier1240,melchert2003
tuwa-,,2sg_p,,,,,,hier1240,melchert2003
untsunts,,2du_a,,,,,,hier1240,melchert2003
untsunts,,2du_s,,,,,,hier1240,melchert2003
untsunts,,2du_o,,,,,,hier1240,melchert2003
untsa-,,2du_p,,,,,,hier1240,melchert2003
untsunts,,2pl_a,,,,,,hier1240,melchert2003
untsunts,,2pl_s,,,,,,hier1240,melchert2003
untsunts,,2pl_o,,,,,,hier1240,melchert2003
untsa-,,2pl_p,,,,,,hier1240,melchert2003
abas,,3sg_m_a,,,,,,hier1240,melchert2003
abas,,3sg_m_s,,,,,,hier1240,melchert2003
aban,,3sg_m_o,,,,,,hier1240,melchert2003
aba-,,3sg_m_p,,,,,,hier1240,melchert2003
abas,,3sg_f_a,,,,,,hier1240,melchert2003
abas,,3sg_f_s,,,,,,hier1240,melchert2003
aban,,3sg_f_o,,,,,,hier1240,melchert2003
aba-,,3sg_f_p,,,,,,hier1240,melchert2003
abantsi,,3d-a,,,,,,hier1240,melchert2003
abantsi,,3d-s,,,,,,hier1240,melchert2003
abantsi,,3d-o,,,,,,hier1240,melchert2003
aba-,,3d-p,,,,,,hier1240,melchert2003
abantsi,,3p-a,,,,,,hier1240,melchert2003
abantsi,,3p-s,,,,,,hier1240,melchert2003
abantsi,,3p-o,,,,,,hier1240,melchert2003
aba-,,3p-p,,,,,,hier1240,melchert2003
,,3du_f_a,,,,,,,
,,3du_f_o,,,,,,,
,,3du_f_p,,,,,,,
,,3du_f_s,,,,,,,
,,3du_m_a,,,,,,,
,,3du_m_o,,,,,,,
,,3du_m_p,,,,,,,
,,3du_m_s,,,,,,,
,,3du_n_a,,,,,,,
,,3du_n_o,,,,,,,
,,3du_n_p,,,,,,,
,,3du_n_s,,,,,,,
,,3pl_f_a,,,,,,,
,,3pl_f_o,,,,,,,
,,3pl_f_p,,,,,,,
,,3pl_f_s,,,,,,,
,,3pl_m_a,,,,,,,
,,3pl_m_o,,,,,,,
,,3pl_m_p,,,,,,,
,,3pl_m_s,,,,,,,
,,3pl_n_a,,,,,,,
,,3pl_n_o,,,,,,,
,,3pl_n_p,,,,,,,
,,3pl_n_s,,,,,,,
,,3sg_n_a,,,,,,,
,,3sg_n_o,,,,,,,
,,3sg_n_p,,,,,,,
,,3sg_n_s,,,,,,,
