word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mɛ̃;;1sg_a;1st (excl) Person Singular;50866;;;;mewa1250;gusain-2003
mɛ̃;;1sg_s;1st (excl) Person Singular;50865;;;;mewa1250;gusain-2003
mɛ̃;;1sg_o;1st (excl) Person Singular;50864;;;;mewa1250;gusain-2003
mũ;;1sg_p;1st (excl) Person Singular;50863;;The form /muɟ/ also occurs (Gusain 2003:19).;;mewa1250;gusain-2003
həm ;;1du_a;1st (excl) Person Dual;50862;;;;mewa1250;gusain-2003
həm ;;1du_s;1st (excl) Person Dual;50861;;;;mewa1250;gusain-2003
həm ;;1du_o;1st (excl) Person Dual;50860;;;;mewa1250;gusain-2003
həm;;1du_p;1st (excl) Person Dual;50859;;;;mewa1250;gusain-2003
həm ;;1pl_a;1st (excl) Person Plural;50858;;;;mewa1250;gusain-2003
həm ;;1pl_s;1st (excl) Person Plural;50857;;;;mewa1250;gusain-2003
həm ;;1pl_o;1st (excl) Person Plural;50856;;;;mewa1250;gusain-2003
həm;;1pl_p;1st (excl) Person Plural;50855;;;;mewa1250;gusain-2003
həm ;;12du_a;1st (incl) Person Dual;50854;;;;mewa1250;gusain-2003
həm ;;12du_s;1st (incl) Person Dual;50853;;;;mewa1250;gusain-2003
həm ;;12du_o;1st (incl) Person Dual;50852;;;;mewa1250;gusain-2003
həm;;12du_p;1st (incl) Person Dual;50851;;;;mewa1250;gusain-2003
həm ;;12pl_a;1st (incl) Person Plural;50850;;;;mewa1250;gusain-2003
həm ;;12pl_s;1st (incl) Person Plural;50849;;;;mewa1250;gusain-2003
həm ;;12pl_o;1st (incl) Person Plural;50848;;;;mewa1250;gusain-2003
həm;;12pl_p;1st (incl) Person Plural;50847;;;;mewa1250;gusain-2003
t̪u ;;2sg_a;2nd Person Singular;50846;;;;mewa1250;gusain-2003
t̪u ;;2sg_s;2nd Person Singular;50845;;;;mewa1250;gusain-2003
t̪u ;;2sg_o;2nd Person Singular;50844;;;;mewa1250;gusain-2003
t̪ũ;;2sg_p;2nd Person Singular;50843;;The form /tuɟ/ also occurs (Gusain 2003:19).;;mewa1250;gusain-2003
t̪um;;2du_a;2nd Person Dual;50842;;;;mewa1250;gusain-2003
t̪um;;2du_s;2nd Person Dual;50841;;;;mewa1250;gusain-2003
t̪um;;2du_o;2nd Person Dual;50840;;;;mewa1250;gusain-2003
t̪əm ;;2du_p;2nd Person Dual;50839;;;;mewa1250;gusain-2003
t̪um;;2pl_a;2nd Person Plural;50838;;;;mewa1250;gusain-2003
t̪um;;2pl_s;2nd Person Plural;50837;;;;mewa1250;gusain-2003
t̪um;;2pl_o;2nd Person Plural;50836;;;;mewa1250;gusain-2003
t̪əm ;;2pl_p;2nd Person Plural;50835;;;;mewa1250;gusain-2003
jo;;3sg_m_a;3rd Person Singular Masculine;50834;;;;mewa1250;gusain-2003
jo;;3sg_m_s;3rd Person Singular Masculine;50833;;;;mewa1250;gusain-2003
jo;;3sg_m_o;3rd Person Singular Masculine;50832;;;;mewa1250;gusain-2003
i;;3sg_m_p;3rd Person Singular Masculine;50831;;;;mewa1250;gusain-2003
ja;;3sg_n_a;3rd Person Singular Neuter;50830;;;;mewa1250;gusain-2003
ja;;3sg_n_s;3rd Person Singular Neuter;50829;;;;mewa1250;gusain-2003
ja;;3sg_n_o;3rd Person Singular Neuter;50828;;;;mewa1250;gusain-2003
i;;3sg_n_p;3rd Person Singular Neuter;50827;;;;mewa1250;gusain-2003
je;;3d-a;3rd Person Dual;50826;;;;mewa1250;gusain-2003
je;;3d-s;3rd Person Dual;50825;;;;mewa1250;gusain-2003
je;;3d-o;3rd Person Dual;50824;;;;mewa1250;gusain-2003
in;;3d-p;3rd Person Dual;50823;;;;mewa1250;gusain-2003
je;;3p-a;3rd Person Plural;50822;;;;mewa1250;gusain-2003
je;;3p-s;3rd Person Plural;50821;;;;mewa1250;gusain-2003
je;;3p-o;3rd Person Plural;50820;;;;mewa1250;gusain-2003
in;;3p-p;3rd Person Plural;50819;;;;mewa1250;gusain-2003
