word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
aham;;1sg_a;1st (excl) Person Singular;35613;;;;sans1269;egenes-2006
aham;;1sg_s;1st (excl) Person Singular;35614;;;;sans1269;egenes-2006
mām;;1sg_o;1st (excl) Person Singular;35615;;;;sans1269;egenes-2006
mā;;1sg_o;1st (excl) Person Singular;35616;;;;sans1269;egenes-2006
mama;;1sg_p;1st (excl) Person Singular;35617;;;;sans1269;egenes-2006
me;;1sg_p;1st (excl) Person Singular;35618;;;;sans1269;egenes-2006
āvām;;1du_a;1st (excl) Person Dual;35619;;;;sans1269;egenes-2006
āvām;;1du_s;1st (excl) Person Dual;35620;;;;sans1269;egenes-2006
āvām;;1du_o;1st (excl) Person Dual;35621;;;;sans1269;egenes-2006
nau;;1du_o;1st (excl) Person Dual;35622;;;;sans1269;egenes-2006
āvayoḥ;;1du_p;1st (excl) Person Dual;35623;;;;sans1269;egenes-2006
nau;;1du_p;1st (excl) Person Dual;35624;;;;sans1269;egenes-2006
vayam;;1pl_a;1st (excl) Person Plural;35625;;;;sans1269;egenes-2006
vayam;;1pl_s;1st (excl) Person Plural;35626;;;;sans1269;egenes-2006
asmān;;1pl_o;1st (excl) Person Plural;35627;;;;sans1269;egenes-2006
asmākam;;1pl_p;1st (excl) Person Plural;35628;;;;sans1269;egenes-2006
naḥ;;1pl_p;1st (excl) Person Plural;35629;;;;sans1269;egenes-2006
āvām;;12du_a;1st (incl) Person Dual;35630;;;;sans1269;egenes-2006
āvām;;12du_s;1st (incl) Person Dual;35631;;;;sans1269;egenes-2006
āvām;;12du_o;1st (incl) Person Dual;35632;;;;sans1269;egenes-2006
nau;;12du_o;1st (incl) Person Dual;35633;;;;sans1269;egenes-2006
āvayoḥ;;12du_p;1st (incl) Person Dual;35634;;;;sans1269;egenes-2006
nau;;12du_p;1st (incl) Person Dual;35635;;;;sans1269;egenes-2006
vayam;;12pl_a;1st (incl) Person Plural;35636;;;;sans1269;egenes-2006
vayam;;12pl_s;1st (incl) Person Plural;35637;;;;sans1269;egenes-2006
asmān;;12pl_o;1st (incl) Person Plural;35638;;;;sans1269;egenes-2006
naḥ;;12pl_o;1st (incl) Person Plural;35639;;;;sans1269;egenes-2006
asmākam;;12pl_p;1st (incl) Person Plural;35640;;;;sans1269;egenes-2006
naḥ;;12pl_p;1st (incl) Person Plural;35641;;;;sans1269;egenes-2006
tvam;;2sg_a;2nd Person Singular;35642;;;;sans1269;egenes-2006
tvam;;2sg_s;2nd Person Singular;35643;;;;sans1269;egenes-2006
tvām;;2sg_o;2nd Person Singular;35644;;;;sans1269;egenes-2006
tvā;;2sg_o;2nd Person Singular;35645;;;;sans1269;egenes-2006
