word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
mô;;1sg_a;1st (excl) Person Singular;49774;;;;sese1246;corne-1977
mô;;1sg_s;1st (excl) Person Singular;49773;;;;sese1246;corne-1977
mua ;;1sg_o;1st (excl) Person Singular;49772;;;;sese1246;corne-1977
mô;;1sg_p;1st (excl) Person Singular;49771;;;;sese1246;corne-1977
nu ;;1du_a;1st (excl) Person Dual;49770;;;;sese1246;corne-1977
nu ;;1du_s;1st (excl) Person Dual;49769;;;;sese1246;corne-1977
nu ;;1du_o;1st (excl) Person Dual;49768;;;;sese1246;corne-1977
nu ;;1du_p;1st (excl) Person Dual;49767;;;;sese1246;corne-1977
nu ;;1pl_a;1st (excl) Person Plural;49766;;;;sese1246;corne-1977
nu ;;1pl_s;1st (excl) Person Plural;49765;;;;sese1246;corne-1977
nu ;;1pl_o;1st (excl) Person Plural;49764;;;;sese1246;corne-1977
nu ;;1pl_p;1st (excl) Person Plural;49763;;;;sese1246;corne-1977
nu ;;12du_a;1st (incl) Person Dual;49762;;;;sese1246;corne-1977
nu ;;12du_s;1st (incl) Person Dual;49761;;;;sese1246;corne-1977
nu ;;12du_o;1st (incl) Person Dual;49760;;;;sese1246;corne-1977
nu ;;12du_p;1st (incl) Person Dual;49759;;;;sese1246;corne-1977
nu ;;12pl_a;1st (incl) Person Plural;49758;;;;sese1246;corne-1977
nu ;;12pl_s;1st (incl) Person Plural;49757;;;;sese1246;corne-1977
nu ;;12pl_o;1st (incl) Person Plural;49756;;;;sese1246;corne-1977
nu ;;12pl_p;1st (incl) Person Plural;49755;;;;sese1246;corne-1977
u;;2sg_a;2nd Person Singular;49754;;;;sese1246;corne-1977
u;;2sg_s;2nd Person Singular;49753;;;;sese1246;corne-1977
u;;2sg_o;2nd Person Singular;49752;;;;sese1246;corne-1977
u;;2sg_p;2nd Person Singular;49751;;;;sese1246;corne-1977
zot;;2du_a;2nd Person Dual;49750;;;;sese1246;corne-1977
zot;;2du_s;2nd Person Dual;49749;;;;sese1246;corne-1977
zot;;2du_o;2nd Person Dual;49748;;;;sese1246;corne-1977
zot;;2du_p;2nd Person Dual;49747;;;;sese1246;corne-1977
zot;;2pl_a;2nd Person Plural;49746;;;;sese1246;corne-1977
zot;;2pl_s;2nd Person Plural;49745;;;;sese1246;corne-1977
zot;;2pl_o;2nd Person Plural;49744;;;;sese1246;corne-1977
zot;;2pl_p;2nd Person Plural;49743;;;;sese1246;corne-1977
i;;3sg_m_a;3rd Person Singular Masculine;49742;;;;sese1246;corne-1977
i;;3sg_m_s;3rd Person Singular Masculine;49741;;;;sese1246;corne-1977
li;;3sg_m_o;3rd Person Singular Masculine;49740;;;;sese1246;corne-1977
sô;;3sg_m_p;3rd Person Singular Masculine;49739;;;;sese1246;corne-1977
i;;3sg_n_a;3rd Person Singular Neuter;49738;;;;sese1246;corne-1977
i;;3sg_n_s;3rd Person Singular Neuter;49737;;;;sese1246;corne-1977
li;;3sg_n_o;3rd Person Singular Neuter;49736;;;;sese1246;corne-1977
sô;;3sg_n_p;3rd Person Singular Neuter;49735;;;;sese1246;corne-1977
zot;;3d-a;3rd Person Dual;49734;;;;sese1246;corne-1977
zot;;3d-s;3rd Person Dual;49733;;;;sese1246;corne-1977
zot;;3d-o;3rd Person Dual;49732;;;;sese1246;corne-1977
zot;;3d-p;3rd Person Dual;49731;;;;sese1246;corne-1977
zot;;3p-a;3rd Person Plural;49730;;;;sese1246;corne-1977
zot;;3p-s;3rd Person Plural;49729;;;;sese1246;corne-1977
zot;;3p-o;3rd Person Plural;49728;;;;sese1246;corne-1977
zot;;3p-p;3rd Person Plural;49727;;;;sese1246;corne-1977
