word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
ja,,1sg_a,1st (excl) Person Singular,26593,,,,slov1269,short-1993b
ja,,1sg_s,1st (excl) Person Singular,26594,,,,slov1269,short-1993b
mňa,,1sg_o,1st (excl) Person Singular,26595,,,,slov1269,short-1993b
môj,,1sg_p,1st (excl) Person Singular,26596,,,,slov1269,short-1993b
my,,1du_a,1st (excl) Person Dual,26597,,,,slov1269,short-1993b
my,,1du_s,1st (excl) Person Dual,26598,,,,slov1269,short-1993b
nás,,1du_o,1st (excl) Person Dual,26599,,,,slov1269,short-1993b
náš,,1du_p,1st (excl) Person Dual,26600,,,,slov1269,short-1993b
my,,1pl_a,1st (excl) Person Plural,26601,,,,slov1269,short-1993b
my,,1pl_s,1st (excl) Person Plural,26602,,,,slov1269,short-1993b
nás,,1pl_o,1st (excl) Person Plural,26603,,,,slov1269,short-1993b
náš,,1pl_p,1st (excl) Person Plural,26604,,,,slov1269,short-1993b
my,,12du_a,1st (incl) Person Dual,26605,,,,slov1269,short-1993b
my,,12du_s,1st (incl) Person Dual,26606,,,,slov1269,short-1993b
nás,,12du_o,1st (incl) Person Dual,26607,,,,slov1269,short-1993b
náš,,12du_p,1st (incl) Person Dual,26608,,,,slov1269,short-1993b
my,,12pl_a,1st (incl) Person Plural,26609,,,,slov1269,short-1993b
my,,12pl_s,1st (incl) Person Plural,26610,,,,slov1269,short-1993b
nás,,12pl_o,1st (incl) Person Plural,26611,,,,slov1269,short-1993b
náš,,12pl_p,1st (incl) Person Plural,26612,,,,slov1269,short-1993b
ty,,2sg_a,2nd Person Singular,26613,,,,slov1269,short-1993b
ty,,2sg_s,2nd Person Singular,26614,,,,slov1269,short-1993b
teba,,2sg_o,2nd Person Singular,26615,,,,slov1269,short-1993b
tvoj,,2sg_p,2nd Person Singular,26616,,,,slov1269,short-1993b
vy,,2du_a,2nd Person Dual,26617,,,,slov1269,short-1993b
vy,,2du_s,2nd Person Dual,26618,,,,slov1269,short-1993b
vás,,2du_o,2nd Person Dual,26619,,,,slov1269,short-1993b
