word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
yo,,1sg_a,1st (excl) Person Singular,27263,,,,stan1288,Butt-and-Benjamin-1988
yo,,1sg_s,1st (excl) Person Singular,27264,,,,stan1288,Butt-and-Benjamin-1988
me,,1sg_o,1st (excl) Person Singular,27265,,,,stan1288,Butt-and-Benjamin-1988
mi,,1sg_p,1st (excl) Person Singular,27266,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,1du_a,1st (excl) Person Dual,27267,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,1du_s,1st (excl) Person Dual,27268,,,,stan1288,Butt-and-Benjamin-1988
nos,,1du_o,1st (excl) Person Dual,27269,,,,stan1288,Butt-and-Benjamin-1988
nuestro,,1du_p,1st (excl) Person Dual,27270,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,1pl_a,1st (excl) Person Plural,27271,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,1pl_s,1st (excl) Person Plural,27272,,,,stan1288,Butt-and-Benjamin-1988
nos,,1pl_o,1st (excl) Person Plural,27273,,,,stan1288,Butt-and-Benjamin-1988
nuestro,,1pl_p,1st (excl) Person Plural,27274,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,12du_a,1st (incl) Person Dual,27275,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,12du_s,1st (incl) Person Dual,27276,,,,stan1288,Butt-and-Benjamin-1988
nos,,12du_o,1st (incl) Person Dual,27277,,,,stan1288,Butt-and-Benjamin-1988
nuestro,,12du_p,1st (incl) Person Dual,27278,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,12pl_a,1st (incl) Person Plural,27279,,,,stan1288,Butt-and-Benjamin-1988
nosotros,,12pl_s,1st (incl) Person Plural,27280,,,,stan1288,Butt-and-Benjamin-1988
nos,,12pl_o,1st (incl) Person Plural,27281,,,,stan1288,Butt-and-Benjamin-1988
nuestro,,12pl_p,1st (incl) Person Plural,27282,,,,stan1288,Butt-and-Benjamin-1988
tú,,2sg_a,2nd Person Singular,27283,,,,stan1288,Butt-and-Benjamin-1988
tú,,2sg_s,2nd Person Singular,27284,,,,stan1288,Butt-and-Benjamin-1988
te,,2sg_o,2nd Person Singular,27285,,,,stan1288,Butt-and-Benjamin-1988
tu,,2sg_p,2nd Person Singular,27286,,,,stan1288,Butt-and-Benjamin-1988
vosotros,,2du_a,2nd Person Dual,27287,,,,stan1288,Butt-and-Benjamin-1988
vosotros,,2du_s,2nd Person Dual,27288,,,,stan1288,Butt-and-Benjamin-1988
os,,2du_o,2nd Person Dual,27289,,,,stan1288,Butt-and-Benjamin-1988
vuestro,,2du_p,2nd Person Dual,27290,,,,stan1288,Butt-and-Benjamin-1988
vosotros,,2pl_a,2nd Person Plural,27291,,,,stan1288,Butt-and-Benjamin-1988
vosotros,,2pl_s,2nd Person Plural,27292,,,,stan1288,Butt-and-Benjamin-1988
os,,2pl_o,2nd Person Plural,27293,,,,stan1288,Butt-and-Benjamin-1988
vuestro,,2pl_p,2nd Person Plural,27294,,,,stan1288,Butt-and-Benjamin-1988
él,,3sg_m_a,3rd Person Singular Masculine,27295,,,,stan1288,Butt-and-Benjamin-1988
él,,3sg_m_s,3rd Person Singular Masculine,27296,,,,stan1288,Butt-and-Benjamin-1988
"lo, la, le",,3sg_m_o,3rd Person Singular Masculine,27297,,,,stan1288,Butt-and-Benjamin-1988
su,,3sg_m_p,3rd Person Singular Masculine,27298,,,,stan1288,Butt-and-Benjamin-1988
ella,,3sg_f_a,3rd Person Singular Feminine,27299,,,,stan1288,Butt-and-Benjamin-1988
ella,,3sg_f_s,3rd Person Singular Feminine,27300,,,,stan1288,Butt-and-Benjamin-1988
la,,3sg_f_o,3rd Person Singular Feminine,27301,,,,stan1288,Butt-and-Benjamin-1988
su,,3sg_f_p,3rd Person Singular Feminine,27302,,,,stan1288,Butt-and-Benjamin-1988
élla,,3sg_n_a,3rd Person Singular Neuter,27303,,,,stan1288,Butt-and-Benjamin-1988
élla,,3sg_n_s,3rd Person Singular Neuter,27304,,,,stan1288,Butt-and-Benjamin-1988
"la, le",,3sg_n_o,3rd Person Singular Neuter,27305,,,,stan1288,Butt-and-Benjamin-1988
su,,3sg_n_p,3rd Person Singular Neuter,27306,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3du_m_a,3rd Person Dual Masculine,27307,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3du_m_s,3rd Person Dual Masculine,27308,,,,stan1288,Butt-and-Benjamin-1988
los,,3du_m_o,3rd Person Dual Masculine,27309,,,,stan1288,Butt-and-Benjamin-1988
su,,3du_m_p,3rd Person Dual Masculine,27310,,,,stan1288,Butt-and-Benjamin-1988
ellas,,3du_f_a,3rd Person Dual Feminine,27311,,,,stan1288,Butt-and-Benjamin-1988
ellas,,3du_f_s,3rd Person Dual Feminine,27312,,,,stan1288,Butt-and-Benjamin-1988
las,,3du_f_o,3rd Person Dual Feminine,27313,,,,stan1288,Butt-and-Benjamin-1988
su,,3du_f_p,3rd Person Dual Feminine,27314,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3du_n_a,3rd Person Dual Neuter,27315,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3du_n_s,3rd Person Dual Neuter,27316,,,,stan1288,Butt-and-Benjamin-1988
les,,3du_n_o,3rd Person Dual Neuter,27317,,,,stan1288,Butt-and-Benjamin-1988
su,,3du_n_p,3rd Person Dual Neuter,27318,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3pl_m_a,3rd Person Plural Masculine,27319,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3pl_m_s,3rd Person Plural Masculine,27320,,,,stan1288,Butt-and-Benjamin-1988
los,,3pl_m_o,3rd Person Plural Masculine,27321,,,,stan1288,Butt-and-Benjamin-1988
su,,3pl_m_p,3rd Person Plural Masculine,27322,,,,stan1288,Butt-and-Benjamin-1988
ellas,,3pl_f_a,3rd Person Plural Feminine,27323,,,,stan1288,Butt-and-Benjamin-1988
ellas,,3pl_f_s,3rd Person Plural Feminine,27324,,,,stan1288,Butt-and-Benjamin-1988
las,,3pl_f_o,3rd Person Plural Feminine,27325,,,,stan1288,Butt-and-Benjamin-1988
su,,3pl_f_p,3rd Person Plural Feminine,27326,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3pl_n_a,3rd Person Plural Neuter,27327,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3pl_n_s,3rd Person Plural Neuter,27328,,,,stan1288,Butt-and-Benjamin-1988
les,,3pl_n_o,3rd Person Plural Neuter,27329,,,,stan1288,Butt-and-Benjamin-1988
su,,3pl_n_p,3rd Person Plural Neuter,27330,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3d-a,3rd Person Dual,36264,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3d-s,3rd Person Dual,36484,,,,stan1288,Butt-and-Benjamin-1988
los,,3d-o,3rd Person Dual,36710,,,,stan1288,Butt-and-Benjamin-1988
les,,3d-o,3rd Person Dual,36711,,,,stan1288,Butt-and-Benjamin-1988
su,,3d-p,3rd Person Dual,36930,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3p-a,3rd Person Plural,37144,,,,stan1288,Butt-and-Benjamin-1988
ellos,,3p-s,3rd Person Plural,37365,,,,stan1288,Butt-and-Benjamin-1988
los,,3p-o,3rd Person Plural,37590,,,,stan1288,Butt-and-Benjamin-1988
les,,3p-o,3rd Person Plural,37591,,,,stan1288,Butt-and-Benjamin-1988
su,,3p-p,3rd Person Plural,37808,,,,stan1288,Butt-and-Benjamin-1988
