word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
i;;1sg_a;1st (excl) Person Singular;60544;;;;wels1247;king-2003
i;;1sg_a;1st (excl) Person Singular;60592;;;;wels1247;king-2003
i;;1sg_s;1st (excl) Person Singular;60543;;;;wels1247;king-2003
i;;1sg_s;1st (excl) Person Singular;60591;;;;wels1247;king-2003
fi;;1sg_o;1st (excl) Person Singular;60542;;;;wels1247;king-2003
fi;;1sg_o;1st (excl) Person Singular;60590;;;;wels1247;king-2003
fy;;1sg_p;1st (excl) Person Singular;60541;;;;wels1247;king-2003
fy;;1sg_p;1st (excl) Person Singular;60589;;;;wels1247;king-2003
ni;;1du_a;1st (excl) Person Dual;60540;;;;wels1247;king-2003
ni;;1du_a;1st (excl) Person Dual;60588;;;;wels1247;king-2003
ni;;1du_s;1st (excl) Person Dual;60539;;;;wels1247;king-2003
ni;;1du_s;1st (excl) Person Dual;60587;;;;wels1247;king-2003
ni;;1du_o;1st (excl) Person Dual;60538;;;;wels1247;king-2003
ni;;1du_o;1st (excl) Person Dual;60586;;;;wels1247;king-2003
ein;;1du_p;1st (excl) Person Dual;60537;;;;wels1247;king-2003
ein;;1du_p;1st (excl) Person Dual;60585;;;;wels1247;king-2003
ni;;1pl_a;1st (excl) Person Plural;60536;;;;wels1247;king-2003
ni;;1pl_a;1st (excl) Person Plural;60584;;;;wels1247;king-2003
ni;;1pl_s;1st (excl) Person Plural;60535;;;;wels1247;king-2003
ni;;1pl_s;1st (excl) Person Plural;60583;;;;wels1247;king-2003
ni;;1pl_o;1st (excl) Person Plural;60534;;;;wels1247;king-2003
ni;;1pl_o;1st (excl) Person Plural;60582;;;;wels1247;king-2003
ein;;1pl_p;1st (excl) Person Plural;60533;;;;wels1247;king-2003
ein;;1pl_p;1st (excl) Person Plural;60581;;;;wels1247;king-2003
ni;;12du_a;1st (incl) Person Dual;60532;;;;wels1247;king-2003
ni;;12du_a;1st (incl) Person Dual;60580;;;;wels1247;king-2003
ni;;12du_s;1st (incl) Person Dual;60531;;;;wels1247;king-2003
ni;;12du_s;1st (incl) Person Dual;60579;;;;wels1247;king-2003
ni;;12du_o;1st (incl) Person Dual;60530;;;;wels1247;king-2003
ni;;12du_o;1st (incl) Person Dual;60578;;;;wels1247;king-2003
