word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
dul ;;1sg_a;1st (excl) Person Singular;43419;;;;darg1241;sumbatova-and-mutalov-2003
du ;;1sg_s;1st (excl) Person Singular;43418;;;;darg1241;sumbatova-and-mutalov-2003
du ;;1sg_o;1st (excl) Person Singular;43417;;;;darg1241;sumbatova-and-mutalov-2003
dila ;;1sg_p;1st (excl) Person Singular;43416;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;1du_a;1st (excl) Person Dual;43415;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;1du_s;1st (excl) Person Dual;43414;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;1du_o;1st (excl) Person Dual;43413;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;1du_p;1st (excl) Person Dual;43412;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;1pl_a;1st (excl) Person Plural;43411;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;1pl_s;1st (excl) Person Plural;43410;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;1pl_o;1st (excl) Person Plural;43409;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;1pl_p;1st (excl) Person Plural;43408;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;12du_a;1st (incl) Person Dual;43407;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;12du_s;1st (incl) Person Dual;43406;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;12du_o;1st (incl) Person Dual;43405;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;12du_p;1st (incl) Person Dual;43404;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;12pl_a;1st (incl) Person Plural;43403;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;12pl_s;1st (incl) Person Plural;43402;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;12pl_o;1st (incl) Person Plural;43401;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;12pl_p;1st (incl) Person Plural;43400;;;;darg1241;sumbatova-and-mutalov-2003
ul ;;2sg_a;2nd Person Singular;43399;;;;darg1241;sumbatova-and-mutalov-2003
u;;2sg_s;2nd Person Singular;43398;;;;darg1241;sumbatova-and-mutalov-2003
u;;2sg_o;2nd Person Singular;43397;;;;darg1241;sumbatova-and-mutalov-2003
ila;;2sg_p;2nd Person Singular;43396;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;2du_a;2nd Person Dual;43395;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;2du_s;2nd Person Dual;43394;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;2du_o;2nd Person Dual;43393;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;2du_p;2nd Person Dual;43392;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌al;;2pl_a;2nd Person Plural;43391;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;2pl_s;2nd Person Plural;43390;;;;darg1241;sumbatova-and-mutalov-2003
nus̄̌a ;;2pl_o;2nd Person Plural;43389;;;;darg1241;sumbatova-and-mutalov-2003
nis̄̌ala ;;2pl_p;2nd Person Plural;43388;;;;darg1241;sumbatova-and-mutalov-2003
itil ;;3sg_m_a;3rd Person Singular Masculine;43387;;;;darg1241;sumbatova-and-mutalov-2003
it ;;3sg_m_s;3rd Person Singular Masculine;43386;;;;darg1241;sumbatova-and-mutalov-2003
it;;3sg_m_o;3rd Person Singular Masculine;43385;;;;darg1241;sumbatova-and-mutalov-2003
itila ;;3sg_m_p;3rd Person Singular Masculine;43384;;;;darg1241;sumbatova-and-mutalov-2003
itil ;;3sg_n_a;3rd Person Singular Neuter;43383;;;;darg1241;sumbatova-and-mutalov-2003
it ;;3sg_n_s;3rd Person Singular Neuter;43382;;;;darg1241;sumbatova-and-mutalov-2003
it;;3sg_n_o;3rd Person Singular Neuter;43381;;;;darg1241;sumbatova-and-mutalov-2003
itila ;;3sg_n_p;3rd Person Singular Neuter;43380;;;;darg1241;sumbatova-and-mutalov-2003
it̄alli ;;3d-a;3rd Person Dual;43379;;;;darg1241;sumbatova-and-mutalov-2003
it̄i ;;3d-s;3rd Person Dual;43378;;;;darg1241;sumbatova-and-mutalov-2003
it̄i ;;3d-o;3rd Person Dual;43377;;;;darg1241;sumbatova-and-mutalov-2003
it̄alla ;;3d-p;3rd Person Dual;43376;;;;darg1241;sumbatova-and-mutalov-2003
it̄alli ;;3p-a;3rd Person Plural;43375;;;;darg1241;sumbatova-and-mutalov-2003
it̄i ;;3p-s;3rd Person Plural;43374;;;;darg1241;sumbatova-and-mutalov-2003
it̄i ;;3p-o;3rd Person Plural;43373;;;;darg1241;sumbatova-and-mutalov-2003
it̄alla ;;3p-p;3rd Person Plural;43372;;;;darg1241;sumbatova-and-mutalov-2003
