word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
no;;1sg_a;1st (excl) Person Singular;46878;;;;eder1237;wester-2014
no;;1sg_s;1st (excl) Person Singular;46877;;;;eder1237;wester-2014
no;;1sg_o;1st (excl) Person Singular;46876;;;;eder1237;wester-2014
na-;;1sg_p;1st (excl) Person Singular;46875;;;;eder1237;wester-2014
noxo;;1du_a;1st (excl) Person Dual;46874;;;;eder1237;wester-2014
noxo;;1du_s;1st (excl) Person Dual;46873;;;;eder1237;wester-2014
noxo;;1du_o;1st (excl) Person Dual;46872;;;;eder1237;wester-2014
naxa-;;1du_p;1st (excl) Person Dual;46871;;;;eder1237;wester-2014
noxo;;1pl_a;1st (excl) Person Plural;46870;;;;eder1237;wester-2014
noxo;;1pl_s;1st (excl) Person Plural;46869;;;;eder1237;wester-2014
noxo;;1pl_o;1st (excl) Person Plural;46868;;;;eder1237;wester-2014
naxa-;;1pl_p;1st (excl) Person Plural;46867;;;;eder1237;wester-2014
noxo;;12du_a;1st (incl) Person Dual;46866;;;;eder1237;wester-2014
noxo;;12du_s;1st (incl) Person Dual;46865;;;;eder1237;wester-2014
noxo;;12du_o;1st (incl) Person Dual;46864;;;;eder1237;wester-2014
naxa-;;12du_p;1st (incl) Person Dual;46863;;;;eder1237;wester-2014
noxo;;12pl_a;1st (incl) Person Plural;46862;;;;eder1237;wester-2014
noxo;;12pl_s;1st (incl) Person Plural;46861;;;;eder1237;wester-2014
noxo;;12pl_o;1st (incl) Person Plural;46860;;;;eder1237;wester-2014
naxa-;;12pl_p;1st (incl) Person Plural;46859;;;;eder1237;wester-2014
go;;2sg_a;2nd Person Singular;46858;;;;eder1237;wester-2014
go;;2sg_s;2nd Person Singular;46857;;;;eder1237;wester-2014
go;;2sg_o;2nd Person Singular;46856;;;;eder1237;wester-2014
ga-;;2sg_p;2nd Person Singular;46855;;;;eder1237;wester-2014
goxo;;2du_a;2nd Person Dual;46854;;;;eder1237;wester-2014
goxo;;2du_s;2nd Person Dual;46853;;;;eder1237;wester-2014
goxo;;2du_o;2nd Person Dual;46852;;;;eder1237;wester-2014
gaxa-;;2du_p;2nd Person Dual;46851;;;;eder1237;wester-2014
goxo;;2pl_a;2nd Person Plural;46850;;;;eder1237;wester-2014
goxo;;2pl_s;2nd Person Plural;46849;;;;eder1237;wester-2014
goxo;;2pl_o;2nd Person Plural;46848;;;;eder1237;wester-2014
gaxa-;;2pl_p;2nd Person Plural;46847;;;;eder1237;wester-2014
ewe;;3sg_m_a;3rd Person Singular Masculine;46846;;;;eder1237;wester-2014
ewe;;3sg_m_s;3rd Person Singular Masculine;46845;;;;eder1237;wester-2014
ewe;;3sg_m_o;3rd Person Singular Masculine;46844;;;;eder1237;wester-2014
wa-;;3sg_m_p;3rd Person Singular Masculine;46843;;;;eder1237;wester-2014
ege;;3sg_n_a;3rd Person Singular Neuter;46842;;;;eder1237;wester-2014
ege;;3sg_n_s;3rd Person Singular Neuter;46841;;;;eder1237;wester-2014
ege;;3sg_n_o;3rd Person Singular Neuter;46840;;;;eder1237;wester-2014
wa-;;3sg_n_p;3rd Person Singular Neuter;46839;;;;eder1237;wester-2014
yoxo;;3d-a;3rd Person Dual;46838;;;;eder1237;wester-2014
yoxo;;3d-s;3rd Person Dual;46837;;;;eder1237;wester-2014
yoxo;;3d-o;3rd Person Dual;46836;;;;eder1237;wester-2014
yaxa-;;3d-p;3rd Person Dual;46835;;;;eder1237;wester-2014
yoxo;;3p-a;3rd Person Plural;46834;;;;eder1237;wester-2014
yoxo;;3p-s;3rd Person Plural;46833;;;;eder1237;wester-2014
yoxo;;3p-o;3rd Person Plural;46832;;;;eder1237;wester-2014
yaxa-;;3p-p;3rd Person Plural;46831;;;;eder1237;wester-2014
