word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
nup,,1sg_a,1st (excl) Person Singular,39231,,,,koro1312,van-enk-and-de-vries-1997
nup,,1sg_s,1st (excl) Person Singular,39233,,,,koro1312,van-enk-and-de-vries-1997
nup,,1sg_o,1st (excl) Person Singular,39236,,,,koro1312,van-enk-and-de-vries-1997
nV-,,1sg_p,1st (excl) Person Singular,39237,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1du_a,1st (excl) Person Dual,39240,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1du_s,1st (excl) Person Dual,39242,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1du_o,1st (excl) Person Dual,39245,,,,koro1312,van-enk-and-de-vries-1997
nokhu-,,1du_p,1st (excl) Person Dual,39246,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1pl_a,1st (excl) Person Plural,39249,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1pl_s,1st (excl) Person Plural,39251,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,1pl_o,1st (excl) Person Plural,39254,,,,koro1312,van-enk-and-de-vries-1997
nokhu-,,1pl_p,1st (excl) Person Plural,39255,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12du_a,1st (incl) Person Dual,39258,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12du_s,1st (incl) Person Dual,39260,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12du_o,1st (incl) Person Dual,39263,,,,koro1312,van-enk-and-de-vries-1997
nokhu-,,12du_p,1st (incl) Person Dual,39264,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12pl_a,1st (incl) Person Plural,39267,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12pl_s,1st (incl) Person Plural,39269,,,,koro1312,van-enk-and-de-vries-1997
nokhup,,12pl_o,1st (incl) Person Plural,39272,,,,koro1312,van-enk-and-de-vries-1997
nokhu-,,12pl_p,1st (incl) Person Plural,39273,,,,koro1312,van-enk-and-de-vries-1997
gup,,2sg_a,2nd Person Singular,39276,,,,koro1312,van-enk-and-de-vries-1997
gup,,2sg_s,2nd Person Singular,39278,,,,koro1312,van-enk-and-de-vries-1997
gup,,2sg_o,2nd Person Singular,39281,,,,koro1312,van-enk-and-de-vries-1997
gV-,,2sg_p,2nd Person Singular,39282,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2du_a,2nd Person Dual,39285,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2du_s,2nd Person Dual,39287,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2du_o,2nd Person Dual,39289,,,,koro1312,van-enk-and-de-vries-1997
gekhené-,,2du_p,2nd Person Dual,39291,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2pl_a,2nd Person Plural,39294,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2pl_s,2nd Person Plural,39296,,,,koro1312,van-enk-and-de-vries-1997
gekhenép,,2pl_o,2nd Person Plural,39298,,,,koro1312,van-enk-and-de-vries-1997
gekhené-,,2pl_p,2nd Person Plural,39300,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_m_a,3rd Person Singular Masculine,39303,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_m_s,3rd Person Singular Masculine,39305,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_m_o,3rd Person Singular Masculine,39308,,,,koro1312,van-enk-and-de-vries-1997
yV-,,3sg_m_p,3rd Person Singular Masculine,39309,,,,koro1312,van-enk-and-de-vries-1997
yu,,3sg_f_a,3rd Person Singular Feminine,39311,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_f_a,3rd Person Singular Feminine,39312,,,,koro1312,van-enk-and-de-vries-1997
yu,,3sg_f_s,3rd Person Singular Feminine,39313,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_f_s,3rd Person Singular Feminine,39314,,,,koro1312,van-enk-and-de-vries-1997
yakhata,,3sg_f_o,3rd Person Singular Feminine,39315,,,,koro1312,van-enk-and-de-vries-1997
yu,,3sg_f_o,3rd Person Singular Feminine,39316,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_f_o,3rd Person Singular Feminine,39317,,,,koro1312,van-enk-and-de-vries-1997
yV-,,3sg_f_p,3rd Person Singular Feminine,39318,,,,koro1312,van-enk-and-de-vries-1997
yakha,,3sg_f_p,3rd Person Singular Feminine,39319,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_n_a,3rd Person Singular Neuter,39321,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_n_s,3rd Person Singular Neuter,39323,,,,koro1312,van-enk-and-de-vries-1997
yup,,3sg_n_o,3rd Person Singular Neuter,39326,,,,koro1312,van-enk-and-de-vries-1997
yV-,,3sg_n_p,3rd Person Singular Neuter,39327,,,,koro1312,van-enk-and-de-vries-1997
yekhené,,3du_m_a,3rd Person Dual Masculine,39329,,,,koro1312,van-enk-and-de-vries-1997
yekhenép,,3du_m_a,3rd Person Dual Masculine,39330,,,,koro1312,van-enk-and-de-vries-1997
