word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
nox,,1sg_a,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nonxap,,1sg_a,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nox,,1sg_s,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nonxap,,1sg_s,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nox,,1sg_o,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nonxap,,1sg_o,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
noxe,,1sg_p,1st (excl) Person Singular,,,,,oksa1245,loughnane-2009
nuxut,,1du_a,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxtalxe,,1du_a,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxut,,1du_s,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxtalxe,,1du_s,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxut,,1du_o,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxtalxe,,1du_o,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxte,,1du_p,1st (excl) Person Dual,,,,,oksa1245,loughnane-2009
nuxul,,1pl_a,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxlalxe,,1pl_a,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxul,,1pl_s,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxlalxe,,1pl_s,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxul,,1pl_o,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxlalxe,,1pl_o,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
nuxule,,1pl_p,1st (excl) Person Plural,,,,,oksa1245,loughnane-2009
dit,,12du_a,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
ditalxe,,12du_a,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
dit,,12du_s,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
ditalxe,,12du_s,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
dit,,12du_o,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
ditalxe,,12du_o,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
dite,,12du_p,1st (incl) Person Dual,,,,,oksa1245,loughnane-2009
dil,,12pl_a,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dilalxe,,12pl_a,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dil,,12pl_s,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dilalxe,,12pl_s,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dil,,12pl_o,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dilalxe,,12pl_o,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
dile,,12pl_p,1st (incl) Person Plural,,,,,oksa1245,loughnane-2009
go,,2sg_a,2nd Person Singular,,,,,oksa1245,loughnane-2009
golgap,,2sg_a,2nd Person Singular,,,,,oksa1245,loughnane-2009
go,,2sg_s,2nd Person Singular,,,,,oksa1245,loughnane-2009
golgap,,2sg_s,2nd Person Singular,,,,,oksa1245,loughnane-2009
go,,2sg_o,2nd Person Singular,,,,,oksa1245,loughnane-2009
golgap,,2sg_o,2nd Person Singular,,,,,oksa1245,loughnane-2009
gwe,,2sg_p,2nd Person Singular,,,,,oksa1245,loughnane-2009
gut,,2du_a,2nd Person Dual,,,,,oksa1245,loughnane-2009
gutalxe,,2du_a,2nd Person Dual,,,,,oksa1245,loughnane-2009
