word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ye;;1sg_a;1st (excl) Person Singular;39963;;;;usan1239;reesink-1987
ye;;1sg_s;1st (excl) Person Singular;39964;;;;usan1239;reesink-1987
ye-;;1sg_o;1st (excl) Person Singular;39965;;;;usan1239;reesink-1987
yonou;;1sg_p;1st (excl) Person Singular;39967;;;;usan1239;reesink-1987
in;;1du_a;1st (excl) Person Dual;39968;;;;usan1239;reesink-1987
in;;1du_s;1st (excl) Person Dual;39969;;;;usan1239;reesink-1987
ini-;;1du_o;1st (excl) Person Dual;39970;;;;usan1239;reesink-1987
ininou;;1du_p;1st (excl) Person Dual;39972;;;;usan1239;reesink-1987
in;;1pl_a;1st (excl) Person Plural;39973;;;;usan1239;reesink-1987
in;;1pl_s;1st (excl) Person Plural;39974;;;;usan1239;reesink-1987
ini-;;1pl_o;1st (excl) Person Plural;39975;;;;usan1239;reesink-1987
ininou;;1pl_p;1st (excl) Person Plural;39977;;;;usan1239;reesink-1987
in;;12du_a;1st (incl) Person Dual;39978;;;;usan1239;reesink-1987
in;;12du_s;1st (incl) Person Dual;39979;;;;usan1239;reesink-1987
ini-;;12du_o;1st (incl) Person Dual;39980;;;;usan1239;reesink-1987
ininou;;12du_p;1st (incl) Person Dual;39982;;;;usan1239;reesink-1987
in;;12pl_a;1st (incl) Person Plural;39983;;;;usan1239;reesink-1987
in;;12pl_s;1st (incl) Person Plural;39984;;;;usan1239;reesink-1987
ini-;;12pl_o;1st (incl) Person Plural;39985;;;;usan1239;reesink-1987
ininou;;12pl_p;1st (incl) Person Plural;39987;;;;usan1239;reesink-1987
ne;;2sg_a;2nd Person Singular;39988;;;;usan1239;reesink-1987
ne-;;2sg_s;2nd Person Singular;39989;;;;usan1239;reesink-1987
ne-;;2sg_o;2nd Person Singular;39990;;;;usan1239;reesink-1987
nonou;;2sg_p;2nd Person Singular;39992;;;;usan1239;reesink-1987
an;;2du_a;2nd Person Dual;39993;;;;usan1239;reesink-1987
an;;2du_s;2nd Person Dual;39994;;;;usan1239;reesink-1987
ani-;;2du_o;2nd Person Dual;39995;;;;usan1239;reesink-1987
aninou;;2du_p;2nd Person Dual;39997;;;;usan1239;reesink-1987
an;;2pl_a;2nd Person Plural;39998;;;;usan1239;reesink-1987
an;;2pl_s;2nd Person Plural;39999;;;;usan1239;reesink-1987
ani-;;2pl_o;2nd Person Plural;40000;;;;usan1239;reesink-1987
aninou;;2pl_p;2nd Person Plural;40002;;;;usan1239;reesink-1987
wo;;3sg_m_a;3rd Person Singular Masculine;40003;;;;usan1239;reesink-1987
wo;;3sg_m_s;3rd Person Singular Masculine;40004;;;;usan1239;reesink-1987
wo;;3sg_m_o;3rd Person Singular Masculine;62565;;;;usan1239;reesink-1987
wonou;;3sg_m_p;3rd Person Singular Masculine;40007;;;;usan1239;reesink-1987
wo;;3sg_f_a;3rd Person Singular Feminine;40008;;;;usan1239;reesink-1987
wo;;3sg_f_s;3rd Person Singular Feminine;40009;;;;usan1239;reesink-1987
(wo);;3sg_f_o;3rd Person Singular Feminine;40010;;;;usan1239;reesink-1987
