word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
ane;;1sg_a;1st (excl) Person Singular;42770;;;;wask1241;ross-2014
ane;;1sg_s;1st (excl) Person Singular;42769;;;;wask1241;ross-2014
aga;;1sg_o;1st (excl) Person Singular;42768;;;;wask1241;ross-2014
anega;;1sg_p;1st (excl) Person Singular;42767;;;;wask1241;ross-2014
anena;;1du_a;1st (excl) Person Dual;42766;;;;wask1241;ross-2014
anena;;1du_s;1st (excl) Person Dual;42765;;;;wask1241;ross-2014
aneŋa;;1du_o;1st (excl) Person Dual;42764;;;;wask1241;ross-2014
aneŋa;;1du_p;1st (excl) Person Dual;42763;;;;wask1241;ross-2014
anena;;1pl_a;1st (excl) Person Plural;42810;;;;wask1241;ross-2014
anena;;1pl_s;1st (excl) Person Plural;42809;;;;wask1241;ross-2014
aneŋa;;1pl_o;1st (excl) Person Plural;42808;;;;wask1241;ross-2014
aneŋa;;1pl_p;1st (excl) Person Plural;42807;;;;wask1241;ross-2014
anena;;12du_a;1st (incl) Person Dual;42806;;;;wask1241;ross-2014
anena;;12du_s;1st (incl) Person Dual;42805;;;;wask1241;ross-2014
aneŋa;;12du_o;1st (incl) Person Dual;42804;;;;wask1241;ross-2014
aneŋa;;12du_p;1st (incl) Person Dual;42803;;;;wask1241;ross-2014
anena;;12pl_a;1st (incl) Person Plural;42802;;;;wask1241;ross-2014
anena;;12pl_s;1st (incl) Person Plural;42801;;;;wask1241;ross-2014
aneŋa;;12pl_o;1st (incl) Person Plural;42800;;;;wask1241;ross-2014
aneŋa;;12pl_p;1st (incl) Person Plural;42799;;;;wask1241;ross-2014
ni;;2sg_a;2nd Person Singular;42798;;;;wask1241;ross-2014
ni;;2sg_s;2nd Person Singular;42797;;;;wask1241;ross-2014
ka;;2sg_o;2nd Person Singular;42796;;;;wask1241;ross-2014
nika;;2sg_p;2nd Person Singular;42795;;;;wask1241;ross-2014
nina;;2du_a;2nd Person Dual;42794;;;;wask1241;ross-2014
nina;;2du_s;2nd Person Dual;42793;;;;wask1241;ross-2014
niŋa;;2du_o;2nd Person Dual;42792;;;;wask1241;ross-2014
niŋa;;2du_p;2nd Person Dual;42791;;;;wask1241;ross-2014
nina;;2pl_a;2nd Person Plural;42790;;;;wask1241;ross-2014
nina;;2pl_s;2nd Person Plural;42789;;;;wask1241;ross-2014
niŋa;;2pl_o;2nd Person Plural;42788;;;;wask1241;ross-2014
niŋa;;2pl_p;2nd Person Plural;42787;;;;wask1241;ross-2014
nu;;3sg_m_a;3rd Person Singular Masculine;42786;;;;wask1241;ross-2014
nu;;3sg_m_s;3rd Person Singular Masculine;42785;;;;wask1241;ross-2014
ø;;3sg_m_o;3rd Person Singular Masculine;42784;;;;wask1241;ross-2014
ko;;3sg_m_p;3rd Person Singular Masculine;42783;;;;wask1241;ross-2014
nu;;3sg_n_a;3rd Person Singular Neuter;42782;;;;wask1241;ross-2014
nu;;3sg_n_s;3rd Person Singular Neuter;42781;;;;wask1241;ross-2014
ø;;3sg_n_o;3rd Person Singular Neuter;42780;;;;wask1241;ross-2014
ko;;3sg_n_p;3rd Person Singular Neuter;42779;;;;wask1241;ross-2014
nuna;;3d-a;3rd Person Dual;42778;;;;wask1241;ross-2014
nuna;;3d-s;3rd Person Dual;42777;;;;wask1241;ross-2014
ø;;3d-o;3rd Person Dual;42776;;;;wask1241;ross-2014
nuŋa;;3d-p;3rd Person Dual;42775;;;;wask1241;ross-2014
nuna;;3p-a;3rd Person Plural;42774;;;;wask1241;ross-2014
nuna;;3p-s;3rd Person Plural;42773;;;;wask1241;ross-2014
ø;;3p-o;3rd Person Plural;42772;;;;wask1241;ross-2014
nuŋa;;3p-p;3rd Person Plural;42771;;;;wask1241;ross-2014
