word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
na,,1sg_a,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
na,,1sg_s,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
ne-,,1sg_s,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
no-,,1sg_s,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
na-,,1sg_s,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
ne-,,1sg_o,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
no-,,1sg_o,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
na-,,1sg_o,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
ne-,,1sg_p,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
na-,,1sg_p,1st (excl) Person Singular,,,,,abui1241,kratochvil-2007
ni,,1du_a,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
ni,,1du_s,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
ni-,,1du_s,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
nu-,,1du_s,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
ni-,,1du_o,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
nu-,,1du_o,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
ni-,,1du_p,1st (excl) Person Dual,,,,,abui1241,kratochvil-2007
ni,,1pl_a,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
ni,,1pl_s,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
ni-,,1pl_s,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
nu-,,1pl_s,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
ni-,,1pl_o,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
nu-,,1pl_o,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
ni-,,1pl_p,1st (excl) Person Plural,,,,,abui1241,kratochvil-2007
pi,,12du_a,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pi,,12du_s,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pi-,,12du_s,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pu-,,12du_s,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
po-,,12du_s,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pi-,,12du_o,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pu-,,12du_o,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
po-,,12du_o,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pi-,,12du_p,1st (incl) Person Dual,,,,,abui1241,kratochvil-2007
pi,,12pl_a,1st (incl) Person Plural,,,,,abui1241,kratochvil-2007
pi,,12pl_s,1st (incl) Person Plural,,,,,abui1241,kratochvil-2007
pi-,,12pl_s,1st (incl) Person Plural,,,,,abui1241,kratochvil-2007
pu-,,12pl_s,1st (incl) Person Plural,,,,,abui1241,kratochvil-2007
