word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
d'ol,,1sg_a,1st singular transitive subject,,,,,akar1243,Temple1903
d'ol,,1sg_s,1st singular intransitive subject,,,,,akar1243,Temple1903
d'ol,,1sg_o,1st singular intransitive subject,,,,,akar1243,Temple1903
"d'-, dege",,1sg_p,1st singular possessive,,,From description possessive pronominal prefixes are used for obligatory possession. ,,akar1243,Temple1903
m'ôlo-chit,,12du_a,1st dual inclusive transitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,12du_s,1st dual inclusive intransitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,12du_o,1st dual inclusive intransitive subject,,,,,akar1243,Temple1903
"m'-, matat",,12du_p,1st dual inclusive possessive,,,,,akar1243,Temple1903
m'ôlo-chit,,1du_a,1st dual exclusive transitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,1du_s,1st dual exclusive intransitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,1du_o,1st dual exclusive intransitive subject,,,,,akar1243,Temple1903
"m'-, matat",,1du_p,1st dual exclusive possessive,,,,,akar1243,Temple1903
m'ôlo-chit,,12pl_a,1st plural inclusive transitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,12pl_s,1st plural inclusive intransitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,12pl_o,1st plural inclusive intransitive subject,,,,,akar1243,Temple1903
"m'-, matat",,12pl_p,1st plural inclusive possessive,,,,,akar1243,Temple1903
m'ôlo-chit,,1pl_a,1st plural exclusive transitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,1pl_s,1st plural exclusive intransitive subject,,,,,akar1243,Temple1903
m'ôlo-chit,,1pl_o,1st plural exclusive intransitive subject,,,,,akar1243,Temple1903
"m'-, matat",,1pl_p,1st plural exclusive possessive,,,,,akar1243,Temple1903
ng'ol,,2sg_a,2nd singular transitive subject,,,,,akar1243,Temple1903
ng'ol,,2sg_s,2nd singular intransitive subject,,,,,akar1243,Temple1903
ng'ol,,2sg_o,2nd singular intransitive subject,,,,,akar1243,Temple1903
"ng'-, ngege",,2sg_p,2nd singular possessive,,,,,akar1243,Temple1903
ng'olo-chit,,2du_a,2nd dual transitive subject,,,,,akar1243,Temple1903
ng'olo-chit,,2du_s,2nd dual intransitive subject,,,,,akar1243,Temple1903
ng'olo-chit,,2du_o,2nd dual intransitive subject,,,,,akar1243,Temple1903
"ng'-, ngatat",,2du_p,2nd dual possessive,,,,,akar1243,Temple1903
ng'olo-chit,,2pl_a,2nd plural transitive subject,,,,,akar1243,Temple1903
ng'olo-chit,,2pl_s,2nd plural intransitive subject,,,,,akar1243,Temple1903
ng'olo-chit,,2pl_o,2nd plural intransitive subject,,,,,akar1243,Temple1903
"ng'-, ngatat",,2pl_p,2nd plural possessive,,,,,akar1243,Temple1903
ol,,3sg_m_a,3rd singular gender1 transitive subject,,,,,akar1243,Temple1903
ol,,3sg_m_s,3rd singular gender1 intransitive subject,,,,,akar1243,Temple1903
ol,,3sg_m_o,3rd singular gender1 intransitive subject,,,,,akar1243,Temple1903
ege,,3sg_m_p,3rd singular gender1 possessive,,,,,akar1243,Temple1903
ol,,3sg_f_a,3rd singular gender2 transitive subject,,,,,akar1243,Temple1903
ol,,3sg_f_s,3rd singular gender2 intransitive subject,,,,,akar1243,Temple1903
ol,,3sg_f_o,3rd singular gender2 intransitive subject,,,,,akar1243,Temple1903
ege,,3sg_f_p,3rd singular gender2 possessive,,,,,akar1243,Temple1903
olo'chit,,3d-a,3rd dual transitive subject,,,,,akar1243,Temple1903
olo'chit,,3d-s,3rd dual intransitive subject,,,,,akar1243,Temple1903
olo'chit,,3d-o,3rd dual intransitive subject,,,,,akar1243,Temple1903
"k'-, atat",,3d-p,3rd dual possessive,,,k'- possessive form for inanimates only. ,,akar1243,Temple1903
