word;ipa;parameter;description;localid;alternative;comment;translation;glottocode;source
o;;1sg_a;1st (excl) Person Singular;52247;;;;bora1263;thiesen-weber-2012
o;;1sg_s;1st (excl) Person Singular;52246;;;;bora1263;thiesen-weber-2012
o;;1sg_o;1st (excl) Person Singular;52245;;;;bora1263;thiesen-weber-2012
tʰa;;1sg_p;1st (excl) Person Singular;52244;;;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;1du_a;1st (excl) Person Dual;52243;;this is the masculine, there is also a feminine mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;1du_s;1st (excl) Person Dual;52242;;this is the masculine, there is also a feminine mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;1du_o;1st (excl) Person Dual;52241;;this is the masculine, there is also a feminine mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
i;;1du_p;1st (excl) Person Dual;52240;;;;bora1263;thiesen-weber-2012
mɯ̀ː-ʔà;;1pl_a;1st (excl) Person Plural;52239;;;;bora1263;thiesen-weber-2012
mɯ̀ː-ʔà;;1pl_s;1st (excl) Person Plural;52238;;;;bora1263;thiesen-weber-2012
mɯ̀ː-ʔà;;1pl_o;1st (excl) Person Plural;52237;;;;bora1263;thiesen-weber-2012
i;;1pl_p;1st (excl) Person Plural;52236;;;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;12du_a;1st (incl) Person Dual;52235;;;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;12du_s;1st (incl) Person Dual;52234;;;;bora1263;thiesen-weber-2012
mɯ̀ˀ-tsʰì;;12du_o;1st (incl) Person Dual;52233;;;;bora1263;thiesen-weber-2012
i;;12du_p;1st (incl) Person Dual;52232;;;;bora1263;thiesen-weber-2012
mɛ;;12pl_a;1st (incl) Person Plural;52231;;;;bora1263;thiesen-weber-2012
mɛ;;12pl_s;1st (incl) Person Plural;52230;;;;bora1263;thiesen-weber-2012
mɛ;;12pl_o;1st (incl) Person Plural;52229;;;;bora1263;thiesen-weber-2012
mɛ;;12pl_p;1st (incl) Person Plural;52228;;;;bora1263;thiesen-weber-2012
ɯ;;2sg_a;2nd Person Singular;52227;;;;bora1263;thiesen-weber-2012
ɯ;;2sg_s;2nd Person Singular;52226;;;;bora1263;thiesen-weber-2012
ɯ;;2sg_o;2nd Person Singular;52225;;;;bora1263;thiesen-weber-2012
ti;;2sg_p;2nd Person Singular;52224;;;;bora1263;thiesen-weber-2012
à-mɯ̀ˀ-tsʰì;;2du_a;2nd Person Dual;52223;;this is the masculine form, there is also the feminine à-mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
à-mɯ̀ˀ-tsʰì;;2du_s;2nd Person Dual;52222;;this is the masculine form, there is also the feminine à-mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
à-mɯ̀ˀ-tsʰì;;2du_o;2nd Person Dual;52221;;this is the masculine form, there is also the feminine à-mɯ̀ˀ-pʰɨ̀;;bora1263;thiesen-weber-2012
i;;2du_p;2nd Person Dual;52220;;;;bora1263;thiesen-weber-2012
à-mɯ̀ː-ʔà;;2pl_a;2nd Person Plural;52219;;;;bora1263;thiesen-weber-2012
à-mɯ̀ː-ʔà;;2pl_s;2nd Person Plural;52218;;;;bora1263;thiesen-weber-2012
à-mɯ̀ː-ʔà;;2pl_o;2nd Person Plural;52217;;;;bora1263;thiesen-weber-2012
i;;2pl_p;2nd Person Plural;52216;;;;bora1263;thiesen-weber-2012
tì-ːpʲɛ;;3sg_m_a;3rd Person Singular Masculine;52215;; thɛ̀ is an inanimated form, as a third gender;;bora1263;thiesen-weber-2012
tì-ːpʲɛ;;3sg_m_s;3rd Person Singular Masculine;52214;; thɛ̀ is an inanimated form, as a third gender;;bora1263;thiesen-weber-2012
tì-ːpʲɛ;;3sg_m_o;3rd Person Singular Masculine;52213;; thɛ̀ is an inanimated form, as a third gender;;bora1263;thiesen-weber-2012
i;;3sg_m_p;3rd Person Singular Masculine;52212;;;;bora1263;thiesen-weber-2012
tìː-tʃɛ̀;;3sg_n_a;3rd Person Singular Neuter;52211;;;;bora1263;thiesen-weber-2012
tìː-tʃɛ̀;;3sg_n_s;3rd Person Singular Neuter;52210;;;;bora1263;thiesen-weber-2012
tìː-tʃɛ̀;;3sg_n_o;3rd Person Singular Neuter;52209;;;;bora1263;thiesen-weber-2012
i;;3sg_n_p;3rd Person Singular Neuter;52208;;;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ́tsʰì;;3d-a;3rd Person Dual;52207;;tìː-tʲʰɛ́pʰɨ̀ is a feminine form;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ́tsʰì;;3d-s;3rd Person Dual;52206;;tìː-tʲʰɛ́pʰɨ̀ is a feminine form;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ́tsʰì;;3d-o;3rd Person Dual;52205;;tìː-tʲʰɛ́pʰɨ̀ is a feminine form;;bora1263;thiesen-weber-2012
i;;3d-p;3rd Person Dual;52204;;;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ̀;;3p-a;3rd Person Plural;52203;;;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ̀;;3p-s;3rd Person Plural;52202;;;;bora1263;thiesen-weber-2012
tìː-tʲʰɛ̀;;3p-o;3rd Person Plural;52201;;;;bora1263;thiesen-weber-2012
i;;3p-p;3rd Person Plural;52200;;;;bora1263;thiesen-weber-2012
